rule,radius,phi_energy_raw,phi_energy_raw_sd,phi_energy_raw_sem,n_units,target_ref_count,sampling_status,qc_diagnostic_pass
very_low_tv_spectral_teacher,0.9,-0.052766355427968294,0.0027202344946742527,0.0004966445981455847,30,30,complete,False
very_low_tv_spectral_teacher,0.91,-0.0527795596647708,0.0026301435662783278,0.0004801963202425747,30,30,complete,False
very_low_tv_spectral_teacher,0.92,-0.053887616099812616,0.0025293781784374095,0.0004617991615971651,30,30,complete,False
very_low_tv_spectral_teacher,0.93,-0.05330505792306987,0.0029729176417504846,0.0005427780179972676,30,30,complete,False
very_low_tv_spectral_teacher,0.94,-0.054159288520710044,0.0029139817513401333,0.0005320178457891335,30,30,complete,False
very_low_tv_spectral_teacher,0.95,-0.05376367578332853,0.003243421921456138,0.0005921651166294253,30,30,complete,False
very_low_tv_spectral_teacher,0.96,-0.05492261043588655,0.003211109975274471,0.0005862657893625615,30,30,complete,False
very_low_tv_spectral_teacher,0.97,-0.05619638827642646,0.002851970221003461,0.0005206961411255297,30,30,complete,False
very_low_tv_spectral_teacher,0.98,-0.05559428137940843,0.0028508810203747696,0.0005204972812075354,30,30,complete,False
very_low_tv_spectral_teacher,0.99,-0.056214017342542916,0.0034618353008514574,0.0006320417615480093,30,30,complete,False
very_low_tv_spectral_teacher,1.0,-0.05640724151895084,0.003340766835767623,0.0006099377851050283,30,30,complete,False
real_even_odd,0.01,-0.00034708019314791,0.00034347569432409425,6.270979524535184e-05,30,30,complete,True
real_even_odd,0.02,-0.00037226021167360667,0.0003644548826155572,6.654005346714602e-05,30,30,complete,True
real_even_odd,0.03,-0.0004241551041437633,0.000401164542295738,7.324228969553701e-05,30,30,complete,True
real_even_odd,0.04,-0.0005213192240881567,0.0004549003674782522,8.305306422840941e-05,30,30,complete,True
real_even_odd,0.05,-0.0006926657881800734,0.0005305544875953408,9.686555361385435e-05,30,30,complete,True
real_even_odd,0.06,-0.0009561261829070568,0.0006194110910680625,0.00011308847564895483,30,30,complete,True
real_even_odd,0.07,-0.00132167486023532,0.0007129484170092802,0.0001301659767778609,30,30,complete,True
real_even_odd,0.08,-0.0018129591623284034,0.0008322786299150406,0.0001519525932446539,30,30,complete,True
real_even_odd,0.09,-0.0024002805961629565,0.0009203966490480643,0.0001680406688452635,30,30,complete,True
real_even_odd,0.1,-0.003105953618003787,0.0010445944317856017,0.0001907159779110885,30,30,complete,True
real_even_odd,0.11,-0.003915648655337837,0.0012119338163832502,0.00022126782981214343,30,30,complete,True
real_even_odd,0.12,-0.004873212690071893,0.0013350133505043175,0.0002437389755472552,30,30,complete,True
real_even_odd,0.13,-0.005746484446106524,0.0014294003537124328,0.00026097160581138763,30,30,complete,True
real_even_odd,0.14,-0.0067810809233788535,0.0015477685009254206,0.0002825825739176028,30,30,complete,True
real_even_odd,0.15,-0.007908643283205051,0.0016066677124989591,0.0002933360495169682,30,30,complete,True
real_even_odd,0.16,-0.00900253075272923,0.0017348343656933016,0.00031673597187512927,30,30,complete,True
real_even_odd,0.17,-0.010095968910135558,0.0018942839870843638,0.00034584735668231035,30,30,complete,True
real_even_odd,0.18,-0.01150811690326322,0.001986822893777687,0.0003627425722299099,30,30,complete,True
real_even_odd,0.19,-0.012742672628103774,0.0022513042390680375,0.00041103003851485596,30,30,complete,True
real_even_odd,0.2,-0.014046416703093933,0.0020587498339080246,0.00037587457476381304,30,30,complete,True
real_even_odd,0.21,-0.015247103301648798,0.00219135804323602,0.0004000854106169163,30,30,complete,True
real_even_odd,0.22,-0.016467026655548812,0.0024371129518575203,0.00044495391297345524,30,30,complete,True
real_even_odd,0.23,-0.017775112344465153,0.002314546719621073,0.0004225764829120157,30,30,complete,True
real_even_odd,0.24,-0.01921416208068444,0.0023450737251945984,0.00042814992610058425,30,30,complete,True
real_even_odd,0.25,-0.02013726914901379,0.0024777323063278787,0.00045236995854502644,30,30,complete,True
real_even_odd,0.26,-0.02169338748239173,0.0022901156336153495,0.0004181159972754545,30,30,complete,False
real_even_odd,0.27,-0.022958240126859052,0.0023777676046069017,0.000434118984516075,30,30,complete,False
real_even_odd,0.28,-0.023848635994524914,0.0026125668907156997,0.00047698727301204104,30,30,complete,False
real_even_odd,0.29,-0.025085335967680596,0.00286447304215678,0.0005229788335182384,30,30,complete,False
real_even_odd,0.3,-0.02625532341412368,0.002652565633558063,0.0004842900109209112,30,30,complete,True
real_even_odd,0.31,-0.027497083821550562,0.0025272031556175766,0.00046140205857666183,30,30,complete,True
real_even_odd,0.32,-0.02884395149651027,0.002543220858015286,0.0004643264775508718,30,30,complete,False
real_even_odd,0.33,-0.029446951755903148,0.002416680785315517,0.00044122352680220275,30,30,complete,False
real_even_odd,0.34,-0.03107868843611471,0.0026974978671963526,0.0004924934768951724,30,30,complete,False
real_even_odd,0.35,-0.03235488679803597,0.0023540479867796105,0.0004297883946029382,30,30,complete,True
real_even_odd,0.36,-0.03283570097836073,0.0034319637640580973,0.0006265879900383193,30,30,complete,False
real_even_odd,0.37,-0.03350905694950048,0.0019947790077288995,0.00036419515325696337,30,30,complete,False
real_even_odd,0.38,-0.03548656894413168,0.002772514761800076,0.0005061896253513214,30,30,complete,False
real_even_odd,0.39,-0.035758470199559175,0.0026883965125795027,0.0004908318044860052,30,30,complete,False
real_even_odd,0.4,-0.03725065986532827,0.002315759885271518,0.00042279797564292857,30,30,complete,False
real_even_odd,0.41,-0.03780105734771513,0.0029165646202753844,0.0005324894109821054,30,30,complete,False
real_even_odd,0.42,-0.038594785470375675,0.002758304717413242,0.0005035952380667153,30,30,complete,False
real_even_odd,0.43,-0.039778602255541466,0.002881030173125676,0.0005260017382246491,30,30,complete,False
real_even_odd,0.44,-0.04115571354737516,0.0030791439280233195,0.0005621721957278117,30,30,complete,False
