eta,rule,radius,n_units,d_delta_phi_energy_dd,d_delta_phi_energy_dd_sem,d_phi_energy_direct_dd,d_phi_energy_direct_dd_sem,derivative_source
0.15,eta_0p15,0.91,30,-0.0220665220370611,0.00205294609608,-0.0220665220370611,0.00205294609608,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.92,30,-0.0230729045859878,0.0014711573244902,-0.0230729045859878,0.0014711573244902,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.93,30,-0.0210055984085906,0.0015195014108598,-0.0210055984085906,0.0015195014108598,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.94,30,-0.025011608552957,0.0015666137205382,-0.025011608552957,0.0015666137205382,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.95,30,-0.0198909453250218,0.0014129274226039,-0.0198909453250218,0.0014129274226039,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.96,30,-0.0232426279791077,0.0016990596865602,-0.0232426279791077,0.0016990596865602,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.97,30,-0.019489355117211,0.0018710704916522,-0.019489355117211,0.0018710704916522,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.98,30,-0.0214470291150664,0.0014868224073905,-0.0214470291150664,0.0014868224073905,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,0.99,30,-0.0213333619738352,0.0015714324868147,-0.0213333619738352,0.0015714324868147,sampling_time_direct_radial_score_derivative
0.15,eta_0p15,1.0,30,-0.0237338585282691,0.0017668310560395,-0.0237338585282691,0.0017668310560395,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.01,30,-0.0142123202680203,0.001009630348,-0.0142123202680203,0.001009630348,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.02,30,-0.0372006698141559,0.0020693666109735,-0.0372006698141559,0.0020693666109735,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.03,30,-0.077080758282424,0.003222257136485,-0.077080758282424,0.003222257136485,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.04,30,-0.1292222027531233,0.0042652655934665,-0.1292222027531233,0.0042652655934665,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.05,30,-0.182475519535472,0.0052993205501994,-0.182475519535472,0.0052993205501994,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.06,30,-0.2331157351785781,0.0054042411159479,-0.2331157351785781,0.0054042411159479,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.07,30,-0.287986716809195,0.0069925308437611,-0.287986716809195,0.0069925308437611,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.08,30,-0.3340720475095168,0.0064420998531614,-0.3340720475095168,0.0064420998531614,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.09,30,-0.3705125782613513,0.0071884642805631,-0.3705125782613513,0.0071884642805631,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.1,30,-0.4105171922599039,0.0061996357476753,-0.4105171922599039,0.0061996357476753,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.11,30,-0.4356637400817105,0.0075289946644014,-0.4356637400817105,0.0075289946644014,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.12,30,-0.4749526823370227,0.0089409731096593,-0.4749526823370227,0.0089409731096593,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.13,30,-0.4997391662221068,0.0095273011831946,-0.4997391662221068,0.0095273011831946,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.14,30,-0.5239936754323024,0.0102202176127859,-0.5239936754323024,0.0102202176127859,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.15,30,-0.5250768646105641,0.0073297065019863,-0.5250768646105641,0.0073297065019863,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.16,30,-0.5360049189152555,0.0106175201906212,-0.5360049189152555,0.0106175201906212,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.17,30,-0.5548486385788852,0.0077029859488292,-0.5548486385788852,0.0077029859488292,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.18,30,-0.5431841450042931,0.0067479824161899,-0.5431841450042931,0.0067479824161899,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.19,30,-0.5354034961705625,0.0081126234898318,-0.5354034961705625,0.0081126234898318,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.2,30,-0.5275590427803488,0.0090994541756634,-0.5275590427803488,0.0090994541756634,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.21,30,-0.5109954848996825,0.0073728277012921,-0.5109954848996825,0.0073728277012921,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.22,30,-0.4948531457900113,0.0072586855023717,-0.4948531457900113,0.0072586855023717,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.23,30,-0.4764878792772042,0.0080720114377116,-0.4764878792772042,0.0080720114377116,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.24,30,-0.4354051045289924,0.0064730461047452,-0.4354051045289924,0.0064730461047452,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.25,30,-0.4207577337917091,0.0079371987296812,-0.4207577337917091,0.0079371987296812,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.26,30,-0.3869435868373534,0.0073353395630612,-0.3869435868373534,0.0073353395630612,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.27,30,-0.357410894083249,0.0069479114282303,-0.357410894083249,0.0069479114282303,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.28,30,-0.3312902343110561,0.006911547842646,-0.3312902343110561,0.006911547842646,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.29,30,-0.300012000996595,0.0070235342590163,-0.300012000996595,0.0070235342590163,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.3,30,-0.2763200574169582,0.0079940851773992,-0.2763200574169582,0.0079940851773992,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.31,30,-0.2408297097662291,0.0079974095114353,-0.2408297097662291,0.0079974095114353,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.32,30,-0.2257798930084219,0.0069481040753176,-0.2257798930084219,0.0069481040753176,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.33,30,-0.1931503014917418,0.0057558549843036,-0.1931503014917418,0.0057558549843036,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.34,30,-0.1782192384301676,0.0072961987780001,-0.1782192384301676,0.0072961987780001,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.35,30,-0.1635366616711207,0.0071539594311693,-0.1635366616711207,0.0071539594311693,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.36,30,-0.148589920692751,0.006089267427362,-0.148589920692751,0.006089267427362,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.37,30,-0.128297146843202,0.0059509003236737,-0.128297146843202,0.0059509003236737,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.38,30,-0.1150794676971833,0.0057028976055194,-0.1150794676971833,0.0057028976055194,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.39,30,-0.0975038924552682,0.004882383102219,-0.0975038924552682,0.004882383102219,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.4,30,-0.0898175177422545,0.0050865213778858,-0.0898175177422545,0.0050865213778858,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.41,30,-0.0707343566086309,0.0046893207004642,-0.0707343566086309,0.0046893207004642,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.42,30,-0.0721015023158133,0.0046129120654884,-0.0721015023158133,0.0046129120654884,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.43,30,-0.0665458386693031,0.0044626174930174,-0.0665458386693031,0.0044626174930174,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.44,30,-0.0569145623203385,0.0049719175577677,-0.0569145623203385,0.0049719175577677,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.45,30,-0.0515292344176203,0.0037123704510148,-0.0515292344176203,0.0037123704510148,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.46,30,-0.0505353156175024,0.0035620707023114,-0.0505353156175024,0.0035620707023114,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.47,30,-0.0478518624566983,0.0045423654970683,-0.0478518624566983,0.0045423654970683,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.48,30,-0.0470469178047938,0.0035699860509953,-0.0470469178047938,0.0035699860509953,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.49,30,-0.0437591702775898,0.0023968564008015,-0.0437591702775898,0.0023968564008015,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.5,30,-0.0372989053998206,0.0037664742281102,-0.0372989053998206,0.0037664742281102,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.51,30,-0.0405682642301899,0.0032316452957473,-0.0405682642301899,0.0032316452957473,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.52,30,-0.0351341935289444,0.0025846361065206,-0.0351341935289444,0.0025846361065206,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.53,30,-0.0281857184514228,0.0026155547700127,-0.0281857184514228,0.0026155547700127,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.54,30,-0.0336710643448249,0.0025227880771054,-0.0336710643448249,0.0025227880771054,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.55,30,-0.0317509867500993,0.0024702850867248,-0.0317509867500993,0.0024702850867248,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.56,30,-0.0318022802085524,0.0028838733887617,-0.0318022802085524,0.0028838733887617,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.57,30,-0.031359171439098,0.0021065159908118,-0.031359171439098,0.0021065159908118,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.58,30,-0.0283993261720929,0.0026359761954308,-0.0283993261720929,0.0026359761954308,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.59,30,-0.0269386392428899,0.00242347640758,-0.0269386392428899,0.00242347640758,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.6,30,-0.0256899671438761,0.0022510422757128,-0.0256899671438761,0.0022510422757128,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.61,30,-0.0214235272624627,0.0018749824125651,-0.0214235272624627,0.0018749824125651,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.62,30,-0.0240966921622536,0.0024672257678016,-0.0240966921622536,0.0024672257678016,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.63,30,-0.0233327836841669,0.00189773994953,-0.0233327836841669,0.00189773994953,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.64,30,-0.0220998403816881,0.0023433797746128,-0.0220998403816881,0.0023433797746128,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.65,30,-0.0203842794139816,0.0023669852296178,-0.0203842794139816,0.0023669852296178,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.66,30,-0.0236364087259412,0.0021175466303463,-0.0236364087259412,0.0021175466303463,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.67,30,-0.0221159482594653,0.0024384575249175,-0.0221159482594653,0.0024384575249175,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.68,30,-0.0252924958671139,0.0025679395563281,-0.0252924958671139,0.0025679395563281,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.69,30,-0.0199207823448907,0.0023672886372824,-0.0199207823448907,0.0023672886372824,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.7,30,-0.0204905522939577,0.0016384490208275,-0.0204905522939577,0.0016384490208275,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.71,30,-0.0199902257858167,0.0024078695674593,-0.0199902257858167,0.0024078695674593,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.72,30,-0.0204831812658702,0.0019080342953941,-0.0204831812658702,0.0019080342953941,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.73,30,-0.0235405432155968,0.0021288275532698,-0.0235405432155968,0.0021288275532698,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.74,30,-0.0198527568698356,0.0017450377197237,-0.0198527568698356,0.0017450377197237,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.75,30,-0.0157573449147089,0.002194925061945,-0.0157573449147089,0.002194925061945,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.76,30,-0.0169375955989058,0.0022444024827984,-0.0169375955989058,0.0022444024827984,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.77,30,-0.0165031441607999,0.0015009326480097,-0.0165031441607999,0.0015009326480097,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.78,30,-0.0195153446136594,0.0020093334796468,-0.0195153446136594,0.0020093334796468,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.79,30,-0.017104012016321,0.0017266448757494,-0.017104012016321,0.0017266448757494,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.8,30,-0.0186931475547346,0.001622077576442,-0.0186931475547346,0.001622077576442,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.81,30,-0.0160092609004248,0.0018097253512409,-0.0160092609004248,0.0018097253512409,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.82,30,-0.0149103685191774,0.0016454765856293,-0.0149103685191774,0.0016454765856293,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.83,30,-0.0192482267168127,0.0018653612874464,-0.0192482267168127,0.0018653612874464,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.84,30,-0.0168932318328667,0.0016390290030712,-0.0168932318328667,0.0016390290030712,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.85,30,-0.0193668446988402,0.0020042577384292,-0.0193668446988402,0.0020042577384292,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.86,30,-0.0137940317288854,0.0015618631928977,-0.0137940317288854,0.0015618631928977,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.87,30,-0.0195421896117172,0.0017973861097902,-0.0195421896117172,0.0017973861097902,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.88,30,-0.0138275280076424,0.0018063469257396,-0.0138275280076424,0.0018063469257396,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.89,30,-0.0151029647104029,0.0017366370291716,-0.0151029647104029,0.0017366370291716,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.9,30,-0.0153430168665599,0.0015046373091684,-0.0153430168665599,0.0015046373091684,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.91,30,-0.0157246642631482,0.0021155368405502,-0.0157246642631482,0.0021155368405502,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.92,30,-0.0139632707204386,0.0017525445467401,-0.0139632707204386,0.0017525445467401,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.93,30,-0.0156646955089962,0.00175319286839,-0.0156646955089962,0.00175319286839,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.94,30,-0.0162928544087907,0.0016141121064991,-0.0162928544087907,0.0016141121064991,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.95,30,-0.0140904485357466,0.0021111690123385,-0.0140904485357466,0.0021111690123385,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.96,30,-0.0136532865941215,0.0017534561965983,-0.0136532865941215,0.0017534561965983,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.97,30,-0.0145296929266091,0.0013301440389422,-0.0145296929266091,0.0013301440389422,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.98,30,-0.0143768030533203,0.0014624558252064,-0.0143768030533203,0.0014624558252064,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,0.99,30,-0.0148415342002419,0.0013520060763433,-0.0148415342002419,0.0013520060763433,sampling_time_direct_radial_score_derivative
0.25,eta_0p25,1.0,30,-0.0142841930560799,0.0013682319191612,-0.0142841930560799,0.0013682319191612,sampling_time_direct_radial_score_derivative
