pair_id,pair_label,pair_order,pair_rank_complexity_desc,complexity_mean,radius,n_units,delta_phi_energy_unit_mean,delta_phi_energy_unit_sem,phi_energy_raw_mean,phi_energy_raw_sem
pair_2_4,2/4,3,23,0.0247395833333333,0.16,30,-0.0014188261653814344,3.413297071510199e-05,-0.0022938545665996146,7.231642073362225e-05
pair_2_4,2/4,3,23,0.0247395833333333,0.17,30,-0.001711609088817934,3.864769450324906e-05,-0.002586637490036114,7.4251457683621e-05
pair_2_4,2/4,3,23,0.0247395833333333,0.18,30,-0.0020299531642241973,4.533453419143374e-05,-0.0029049815654423774,8.087511303411213e-05
pair_2_4,2/4,3,23,0.0247395833333333,0.19,30,-0.002347906836957412,5.619773732058984e-05,-0.0032229352381755927,9.088008987606106e-05
pair_2_4,2/4,3,23,0.0247395833333333,0.2,30,-0.002632641047900482,5.8296350071094595e-05,-0.0035076694491186626,9.139358352176901e-05
pair_2_4,2/4,3,23,0.0247395833333333,0.21,30,-0.0029810150649389982,6.283412624895742e-05,-0.003856043466157179,9.406733414565635e-05
pair_2_4,2/4,3,23,0.0247395833333333,0.22,30,-0.003333446816230686,7.149609371699187e-05,-0.004208475217448866,0.00010195173115741162
pair_2_4,2/4,3,23,0.0247395833333333,0.23,30,-0.0036480745015814928,7.16516601539747e-05,-0.004523102902799674,0.00010121668856468726
pair_2_4,2/4,3,23,0.0247395833333333,0.24,30,-0.003963956878531596,8.192292097480272e-05,-0.004838985279749778,0.00011194148534999333
pair_2_4,2/4,3,23,0.0247395833333333,0.25,30,-0.004339162566760478,9.675721089526777e-05,-0.005214190967978659,0.00012588891170709401
pair_2_4,2/4,3,23,0.0247395833333333,0.26,30,-0.004625801729048671,9.341811506183088e-05,-0.005500830130266852,0.00012363806774905346
pair_2_4,2/4,3,23,0.0247395833333333,0.27,30,-0.004961621511442873,0.00010423875203122051,-0.005836649912661052,0.00013521321049472215
pair_2_4,2/4,3,23,0.0247395833333333,0.28,30,-0.005388002115680508,0.00010285558195828193,-0.006263030516898689,0.00012700180932933257
pair_2_4,2/4,3,23,0.0247395833333333,0.29,30,-0.005655481458921945,0.0001118754581344476,-0.006530509860140125,0.00012823897779094034
pair_2_4,2/4,3,23,0.0247395833333333,0.3,30,-0.005933436587318684,0.00010406358814218117,-0.0068084649885368645,0.00013420167256994513
pair_2_4,2/4,3,23,0.0247395833333333,0.31,30,-0.006320713732180457,0.00014009822176369092,-0.007195742133398638,0.00016791927799919936
pair_2_4,2/4,3,23,0.0247395833333333,0.32,30,-0.00659043466136438,0.00011092425355173627,-0.00746546306258256,0.00013027518080842765
pair_2_4,2/4,3,23,0.0247395833333333,0.33,30,-0.0070344610634690925,0.00012698575358859572,-0.007909489464687273,0.00014941404564585418
pair_2_4,2/4,3,23,0.0247395833333333,0.34,30,-0.007323424860915193,0.00013372000171925396,-0.00819845326213337,0.00015729159234847357
pair_2_4,2/4,3,23,0.0247395833333333,0.35,30,-0.007698578255770204,0.00014145922304733275,-0.008573606656988383,0.0001659706375332176
pair_2_4,2/4,3,23,0.0247395833333333,0.36,30,-0.007899187579328908,0.00015275152486347965,-0.008774215980547086,0.00017089610500243275
pair_2_4,2/4,3,23,0.0247395833333333,0.37,30,-0.008222095932261463,0.00013424625876593444,-0.009097124333479641,0.00014463224294798503
pair_2_4,2/4,3,23,0.0247395833333333,0.38,30,-0.008533561033292843,0.00016720247190220964,-0.009408589434511025,0.0001952156102981291
pair_2_4,2/4,3,23,0.0247395833333333,0.39,30,-0.008953270094906611,0.00015083926408939244,-0.009828298496124793,0.0001708270544822234
pair_2_4,2/4,3,23,0.0247395833333333,0.4,30,-0.009370703925379722,0.00013519623265129447,-0.010245732326597904,0.00016363730254608026
pair_2_4,2/4,3,23,0.0247395833333333,0.41,30,-0.009628378877465742,0.0001625165300036305,-0.010503407278683926,0.00018040267419947004
pair_2_4,2/4,3,23,0.0247395833333333,0.42,30,-0.00976635010197654,0.00012835057153434072,-0.01064137850319472,0.00015623449259547206
pair_2_4,2/4,3,23,0.0247395833333333,0.43,30,-0.010187141327088915,0.00015748348509744988,-0.011062169728307094,0.00018575982190416899
pair_2_4,2/4,3,23,0.0247395833333333,0.44,30,-0.010498455371154283,0.000170281462983689,-0.011373483772372463,0.00019113794894822392
pair_2_4,2/4,3,23,0.0247395833333333,0.45,30,-0.010843593717210272,0.00019850189331653987,-0.011718622118428453,0.0002159239945635647
pair_2_4,2/4,3,23,0.0247395833333333,0.46,30,-0.011074989834097024,0.00018018560541380375,-0.011950018235315203,0.0002019479621480154
pair_2_4,2/4,3,23,0.0247395833333333,0.47,30,-0.011343691067758935,0.00017267711030735165,-0.012218719468977114,0.0001915720462605664
pair_2_4,2/4,3,23,0.0247395833333333,0.48,30,-0.011649511996631194,0.0001992482087280304,-0.012524540397849369,0.00022240745480630613
pair_2_4,2/4,3,23,0.0247395833333333,0.49,30,-0.011793368963407758,0.00022010556940582073,-0.01266839736462594,0.00023765245161924624
pair_2_4,2/4,3,23,0.0247395833333333,0.5,30,-0.012126956795644033,0.00017812076637085082,-0.013001985196862215,0.00019648196459839978
pair_2_4,2/4,3,23,0.0247395833333333,0.51,30,-0.012461687260775215,0.00018044528967225496,-0.0133367156619934,0.00019680650357613172
pair_2_4,2/4,3,23,0.0247395833333333,0.52,30,-0.012762851912958307,0.0001985121797008915,-0.013637880314176485,0.00021899586855762262
pair_2_4,2/4,3,23,0.0247395833333333,0.53,30,-0.013237432886087652,0.0002090660831057537,-0.014112461287305833,0.00023046768594691961
pair_2_4,2/4,3,23,0.0247395833333333,0.54,30,-0.01349704027051663,0.00017359545831092854,-0.01437206867173481,0.0001821844675945788
pair_2_4,2/4,3,23,0.0247395833333333,0.55,30,-0.013671641931120665,0.00020871203601061414,-0.01454667033233885,0.0002291584022683939
pair_2_4,2/4,3,23,0.0247395833333333,0.56,30,-0.013926124467812346,0.00021877918767306527,-0.014801152869030524,0.00024005891048932735
pair_2_4,2/4,3,23,0.0247395833333333,0.57,30,-0.013961923832800288,0.0002525767339000147,-0.01483695223401847,0.000269854923785956
pair_2_4,2/4,3,23,0.0247395833333333,0.58,30,-0.014261672430956895,0.00018835147476286825,-0.015136700832175077,0.00020089281586807938
pair_2_4,2/4,3,23,0.0247395833333333,0.59,30,-0.014817882360262484,0.0001851171957620242,-0.015692910761480664,0.00020630786357557436
pair_2_4,2/4,3,23,0.0247395833333333,0.6,30,-0.014718673222025119,0.0001729114049996341,-0.015593701623243302,0.00018346511861882926
pair_2_4,2/4,3,23,0.0247395833333333,0.61,30,-0.015323295199256593,0.00022690042895706487,-0.01619832360047477,0.00023998649548579424
pair_2_4,2/4,3,23,0.0247395833333333,0.62,30,-0.01540848862075938,0.00020706959006520985,-0.01628351702197756,0.00021973647952418154
pair_2_4,2/4,3,23,0.0247395833333333,0.63,30,-0.015594891390241016,0.0002075061309872165,-0.0164699197914592,0.00021707884285816908
pair_2_4,2/4,3,23,0.0247395833333333,0.64,30,-0.015720898597577235,0.00022111135806447146,-0.016595926998795415,0.00023712101031293884
pair_2_4,2/4,3,23,0.0247395833333333,0.65,30,-0.01637606393339104,0.00021283259859837886,-0.01725109233460922,0.0002324133837275933
pair_2_4,2/4,3,23,0.0247395833333333,0.66,30,-0.016467941784505686,0.00021067271870979704,-0.01734297018572387,0.00022693510860006546
pair_2_4,2/4,3,23,0.0247395833333333,0.67,30,-0.016381645104400218,0.00020725959185453373,-0.017256673505618395,0.0002242314103182819
pair_2_4,2/4,3,23,0.0247395833333333,0.68,30,-0.016724015063128688,0.00022551456964359335,-0.017599043464346868,0.0002483371014063334
pair_2_4,2/4,3,23,0.0247395833333333,0.69,30,-0.017118779485559656,0.00022165344446656082,-0.017993807886777836,0.00023693503715594214
pair_2_4,2/4,3,23,0.0247395833333333,0.7,30,-0.0173667273859552,0.0002512968556825727,-0.018241755787173377,0.000267580940624416
pair_2_4,2/4,3,23,0.0247395833333333,0.71,30,-0.017565091532326584,0.00021819700122842657,-0.018440119933544767,0.00023810429033848453
pair_2_4,2/4,3,23,0.0247395833333333,0.72,30,-0.01789425402096809,0.00024084644424586217,-0.01876928242218627,0.0002567999124835768
pair_2_4,2/4,3,23,0.0247395833333333,0.73,30,-0.018357218929669926,0.00023194067224474704,-0.01923224733088811,0.0002487100840321238
pair_2_4,2/4,3,23,0.0247395833333333,0.74,30,-0.018417759565062884,0.00024093874873954647,-0.019292787966281068,0.00026915981649117024
pair_2_4,2/4,3,23,0.0247395833333333,0.75,30,-0.018649467125282267,0.00022895339742109357,-0.019524495526500447,0.0002400278160254451
pair_2_4,2/4,3,23,0.0247395833333333,0.76,30,-0.018876549602225016,0.00023281643117787772,-0.019751578003443186,0.0002572117427105785
pair_2_4,2/4,3,23,0.0247395833333333,0.77,30,-0.018803548380325552,0.00021055499891129337,-0.019678576781543732,0.00022190515491988234
pair_2_4,2/4,3,23,0.0247395833333333,0.78,30,-0.019008636316112805,0.00026595513002315637,-0.01988366471733099,0.00028856156969363076
pair_2_4,2/4,3,23,0.0247395833333333,0.79,30,-0.01963255577073385,0.0002795207019623178,-0.020507584171952028,0.000299451097180389
pair_2_4,2/4,3,23,0.0247395833333333,0.8,30,-0.01976417503338512,0.00025129970202508755,-0.0206392034346033,0.0002652204283990684
pair_2_4,2/4,3,23,0.0247395833333333,0.81,30,-0.019818105999975324,0.0002490138187996058,-0.020693134401193514,0.000256243998705326
pair_2_4,2/4,3,23,0.0247395833333333,0.82,30,-0.02005446665633498,0.00025961820877306235,-0.020929495057553163,0.00027180177657065046
pair_2_4,2/4,3,23,0.0247395833333333,0.83,30,-0.020263174519256334,0.00019768887571571965,-0.021138202920474518,0.00021800175792098295
pair_2_4,2/4,3,23,0.0247395833333333,0.84,30,-0.0202494299425804,0.0002841971821975019,-0.021124458343798575,0.0003065594793964847
pair_2_4,2/4,3,23,0.0247395833333333,0.85,30,-0.02067407084874257,0.00029577458779495047,-0.02154909924996075,0.00031527446812718637
pair_2_4,2/4,3,23,0.0247395833333333,0.86,30,-0.021421237424488798,0.0001974256990023189,-0.022296265825706974,0.00021694474979637573
pair_2_4,2/4,3,23,0.0247395833333333,0.87,30,-0.02095333667797121,0.00022712738445565197,-0.021828365079189387,0.00024967066074610796
pair_2_4,2/4,3,23,0.0247395833333333,0.88,30,-0.021577335382818644,0.00023779009112022707,-0.022452363784036818,0.00025711718467984966
pair_2_4,2/4,3,23,0.0247395833333333,0.89,30,-0.02125360824373993,0.00028452805876981165,-0.022128636644958104,0.00030861721634925466
pair_2_4,2/4,3,23,0.0247395833333333,0.9,30,-0.021924033682504895,0.00029985853898870573,-0.022799062083723075,0.00032078094147545646
pair_2_4,2/4,3,23,0.0247395833333333,0.91,30,-0.021611543177685762,0.00024118930480587018,-0.022486571578903942,0.00025791889821659853
pair_2_4,2/4,3,23,0.0247395833333333,0.92,30,-0.021935822501723993,0.00029686158026545406,-0.02281085090294218,0.00031829580198619237
pair_2_4,2/4,3,23,0.0247395833333333,0.93,30,-0.0224968575912426,0.00023236480871317646,-0.023371885992460775,0.0002324504112067798
pair_2_4,2/4,3,23,0.0247395833333333,0.94,30,-0.022153432096524355,0.00032202939056865797,-0.02302846049774253,0.0003336002403699451
