run,rule,radius,target_ref_count,observed_ref_count,n_samples_min,n_samples_max,sampling_complete,diagnostic_phi_available,strict_claim_qc_pass,claim_status_updated,strict_claim_fail_reason,unit_strict_qc_pass_count,unit_split_fail_count,unit_split_fail_fraction,refs_remaining_if_drop_split_fail,split_fail_ref_ids,max_split_logZ_per_P_diff,split_logZ_per_P_diff_q99,split_logZ_per_P_diff_q95,split_logZ_per_P_diff_q90,split_logZ_per_P_diff_median,q05_ess_fraction,finite_unit_fraction,bootstrap_sd_delta_phi_energy,delta_phi_energy,delta_phi_full,phi_energy_raw
60ref,low_tv_spectral_teacher,2.5,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,20,40,0.6666666666666666,20,"000,001,003,004,005,006,007,009,010,011,012,014,015,016,018,019,020,021,024,025,027,028,029,034,035,036,037,039,043,044,045,046,048,050,051,052,054,055,057,059",0.0270017035833214,0.02460932448960257,0.020480774885569503,0.01757550409210216,0.007042477258098,0.5721142225164203,1.0,0.000745485437015,-0.1143541414451058,3.1032137290042128,-0.1201742560288516
60ref,random_label,0.1,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,56,4,0.06666666666666667,56,"010,025,055,056",0.0062017214033416,0.006179710991958178,0.004328724919576698,0.00353927483620571,0.00110622446860635,0.5563758679380446,1.0,0.0,0.0,0.0,-0.0270706691082514
60ref,random_label,0.2,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,28,32,0.5333333333333333,28,"000,002,003,004,005,006,010,011,013,015,016,017,018,019,020,026,027,028,033,036,037,039,040,042,043,049,050,051,052,053,054,059",0.0185860374316348,0.01741563752700583,0.01072311469675756,0.00938319613742183,0.00424513052440155,0.6201953743384936,1.0,0.0011022656851227,-0.0667459022731731,0.6261196256331516,-0.0938165713814246
60ref,random_label,0.3,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,20,40,0.6666666666666666,20,"002,003,004,005,007,008,009,010,014,015,016,017,018,019,020,022,023,024,025,026,028,029,034,035,036,037,038,042,043,044,045,049,050,051,054,055,056,057,058,059",0.0255170805388762,0.021938161944621812,0.016047593185788515,0.014268249958464081,0.0071453796664235,0.6331876552553007,1.0,0.0011253905385072,-0.1152460262204883,0.9829198535534042,-0.1423166953287397
60ref,random_label,0.4,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,24,36,0.6,24,"001,003,009,011,012,014,015,017,018,019,021,024,025,027,029,030,031,032,034,035,036,037,038,041,044,045,046,047,048,052,053,055,056,057,058,059",0.0162531313958989,0.015543756593493599,0.013797025389116863,0.010534691138826971,0.00466914021080835,0.6406852313675503,1.0,0.0009879756031413,-0.1302156011263368,1.2555154546863128,-0.1572862702345882
60ref,random_label,0.5,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,25,35,0.5833333333333334,25,"000,001,003,006,008,009,010,015,016,017,019,021,023,025,026,029,030,031,032,033,035,038,039,041,042,043,044,048,050,052,053,055,056,058,059",0.0221252736028337,0.01948638583873877,0.010714228412567936,0.01023973725620958,0.00505309859722345,0.6066809234831587,1.0,0.0006586668090003,-0.1308012245792372,1.4779827106454222,-0.1578718936874886
60ref,random_label,0.6,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,41,19,0.31666666666666665,41,"005,010,013,015,023,028,030,035,036,037,041,042,043,044,048,050,056,057,058",0.0143066126913126,0.012843263048598263,0.007985601621671732,0.00703770991198802,0.00288977151193955,0.5982843217978572,1.0,0.0007467598254946,-0.1313444272526976,1.6596869804275198,-0.158415096360949
60ref,random_label,0.7,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,34,26,0.43333333333333335,34,"000,003,006,007,008,012,014,015,020,021,022,024,026,030,031,033,034,035,039,040,042,044,047,052,054,055",0.0092530557636995,0.008573662234272398,0.007246075315192278,0.00654773769045806,0.0032536112842149996,0.6087545221875816,1.0,0.0007089481778262,-0.1319403440172505,1.8131791060746107,-0.1590110131255019
60ref,random_label,0.8,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,43,17,0.2833333333333333,43,"001,003,005,009,012,018,021,022,026,028,029,031,037,038,043,052,057",0.0093708847507763,0.007901295510419862,0.0058725850381324135,0.00541493929360655,0.00259254405677275,0.5640705305444965,1.0,0.0006623344535071,-0.1320634204843564,1.946533163234618,-0.1591340895926078
60ref,random_label,0.9,60,60,1024,1024,True,True,False,diagnostic_only_split_instability,max_split_logZ_per_P_diff,45,15,0.25,45,"008,010,013,014,016,025,027,030,035,036,037,038,039,041,047",0.0115702344510867,0.009709825251735506,0.008090495803626615,0.00620056378601977,0.0019305733818454499,0.5888813018240281,1.0,0.0005810446575008,-0.1328767753727965,2.0634549841749887,-0.159947444481048
