run,rule,ref_id,radius_count,split_fail_radius_count,finite_fail_radius_count,ess_fail_radius_count,split_logZ_per_P_diff_max,split_logZ_per_P_diff_median,split_logZ_per_P_diff_mean,first_split_fail_radius
60ref,random_label,57,25,9,0,0,0.0162531313958989,0.0035602760515036,0.0036990768279396165,0.3
60ref,random_label,58,25,10,0,0,0.010884755173527,0.0030181998998076,0.004244819557546287,0.3
60ref,random_label,59,25,12,0,0,0.0103526868716538,0.003923979204572,0.004441641289383332,0.2
60ref,real_even_odd,0,25,14,0,0,0.0144500479875294,0.0044241717355441,0.005714282430857478,0.9
60ref,real_even_odd,1,25,11,0,0,0.0169773068021933,0.0026020522512108,0.004964093083248777,0.8
60ref,real_even_odd,2,25,13,0,0,0.0192331896241081,0.0042303988712131,0.005719296563209035,0.8
60ref,real_even_odd,3,25,9,0,0,0.0138291087627977,0.0028969384176426,0.004079903398572351,0.5
60ref,real_even_odd,4,25,10,0,0,0.0207922688629857,0.0030680266385457,0.004359949376126666,0.6
60ref,real_even_odd,5,25,10,0,0,0.0155936825442307,0.0031454479426613,0.004607363821364445,0.6
60ref,real_even_odd,6,25,9,0,0,0.0139928947890099,0.0029406305796576,0.004257412104810946,0.8
60ref,real_even_odd,7,25,6,0,0,0.010653006955057,0.0021972902001231,0.003087458333584816,0.6
60ref,real_even_odd,8,25,10,0,0,0.0125113871509284,0.0032268619037037,0.004075431374331307,0.6
60ref,real_even_odd,9,25,7,0,0,0.0179540194527401,0.001949673327373,0.003503655127557027,0.5
60ref,real_even_odd,10,25,11,0,0,0.0145762961684736,0.0030077936774276,0.0046605581247588426,0.4
60ref,real_even_odd,11,25,6,0,0,0.0094386755558255,0.0014080442835096,0.0025601172986553576,1.0
60ref,real_even_odd,12,25,12,0,0,0.0128443110703404,0.0036318642155255,0.00442495453752117,0.4
60ref,real_even_odd,13,25,9,0,0,0.0180044290919837,0.0028137751248254,0.004327095620896958,0.9
60ref,real_even_odd,14,25,14,0,0,0.0181939954200792,0.0043473958491549,0.005797092824258344,0.5
60ref,real_even_odd,15,25,8,0,0,0.0088783564202668,0.002528864733784,0.0031071550235390994,0.6
60ref,real_even_odd,16,25,11,0,0,0.0132233754419755,0.003463286880338,0.004421421792254296,1.0
60ref,real_even_odd,17,25,13,0,0,0.0154787142494728,0.0043021296456723,0.004333796374583489,0.7
60ref,real_even_odd,18,25,12,0,0,0.0160455887499737,0.0033864288277862,0.00515243606478526,0.7
60ref,real_even_odd,19,25,6,0,0,0.0090887098561805,0.0016081850484971,0.0024963833682310394,1.2
60ref,real_even_odd,20,25,11,0,0,0.0153471917609267,0.0027957914143381,0.005184407439028361,0.9
60ref,real_even_odd,21,25,8,0,0,0.0114297536930623,0.0028123670718914,0.0034795214848761767,0.6
