rule,ref_id,delta_phi_r_0.1,delta_phi_r_0.2,delta_phi_r_0.3,delta_phi_r_0.4,delta_phi_r_0.5,delta_phi_r_0.6,delta_phi_r_0.7,delta_phi_r_0.8,delta_phi_r_0.9,delta_phi_r_1.0,delta_phi_r_1.1,delta_phi_r_1.2,delta_phi_r_1.3,delta_phi_r_1.4,delta_phi_r_1.5,delta_phi_r_1.6,delta_phi_r_1.7,delta_phi_r_1.8,delta_phi_r_1.9,delta_phi_r_2.0,delta_phi_r_2.1,delta_phi_r_2.2,delta_phi_r_2.3,delta_phi_r_2.4,delta_phi_r_2.5
low_tv_spectral_teacher,10,0.0,-0.0122358989844015,-0.0264357518196163,-0.0329601861532912,-0.0419434240589968,-0.0481606457973449,-0.0504677648233601,-0.0615754037175798,-0.0596704966144788,-0.0701521337275421,-0.0708248134361752,-0.0754236644485675,-0.0816284729228347,-0.0862865136064787,-0.091604585411758,-0.0867992722964067,-0.092622569617208,-0.1036544276902033,-0.0989260865965348,-0.1029146747172345,-0.1081693078865627,-0.1119073477427836,-0.1084387292641576,-0.1134366703642203,-0.1192870530232358
low_tv_spectral_teacher,11,0.0,-0.0130218336781906,-0.0237402579753662,-0.0346914737462404,-0.0405861125582497,-0.0492976643111873,-0.0499634413959522,-0.0622236614544156,-0.0633153555665791,-0.0686253928137486,-0.076445484882159,-0.0802989160196091,-0.0773425226859084,-0.077439811747733,-0.086154814586446,-0.0895563351007042,-0.1003171734242916,-0.1010555621127582,-0.100481704016477,-0.1025930111747212,-0.1100949665949116,-0.0936876793155301,-0.1072895777618383,-0.1167586240710828,-0.1201741852140071
low_tv_spectral_teacher,12,0.0,-0.0131387866814107,-0.0264112160570037,-0.0327371886991027,-0.0419376366845693,-0.0502311739549128,-0.052250081378703,-0.0609022839938064,-0.0686586400461262,-0.0729486054332664,-0.0795967453228342,-0.0832630972916287,-0.0775487791012042,-0.0880612339907037,-0.0888113437539065,-0.0960841370692835,-0.09525929798487,-0.0911853675375164,-0.1053040635449707,-0.0963638460598586,-0.1129848947123141,-0.1137278986262736,-0.1156135910806321,-0.1135208485135926,-0.1025755393486512
low_tv_spectral_teacher,13,0.0,-0.011134789472135,-0.0230684131068237,-0.0333209931709387,-0.0419845597402217,-0.0541434242580095,-0.0586473444988436,-0.0671411649230447,-0.0715082332403419,-0.0727222335180527,-0.0708957165191565,-0.0843400408941043,-0.0820107170555811,-0.0882556883746187,-0.0953712109527454,-0.0954564495245234,-0.0952590362781692,-0.0975930603351266,-0.0994004355439718,-0.1064975371427054,-0.1081165825240642,-0.1093867286792933,-0.1114883199289754,-0.1175516410240572,-0.1236438943800093
low_tv_spectral_teacher,14,0.0,-0.0110949765079332,-0.0216435238398683,-0.0363032946742349,-0.0432195485680041,-0.0495720889860572,-0.0579614462973123,-0.0601258113218227,-0.0659681233813265,-0.0754763598595547,-0.074344028446436,-0.0769830868634638,-0.089468617622421,-0.0936333958412088,-0.0885016764467068,-0.0954984027983938,-0.0990467333109829,-0.0953139333980396,-0.1004060877941416,-0.1134534831108428,-0.1038850934934536,-0.1226296533288086,-0.0960986329439718,-0.1223271360425599,-0.1239034811738788
low_tv_spectral_teacher,15,0.0,-0.0135949236118526,-0.0250849641839109,-0.0383980033784991,-0.0465664034668815,-0.0518339054655064,-0.0586152471530776,-0.0646083484016931,-0.0719661946909325,-0.0712292387008036,-0.0771978983094979,-0.0749627119446918,-0.0861916841113215,-0.0899189306432137,-0.0897139319203758,-0.0914683953681337,-0.1048604936500632,-0.0952336019842443,-0.0966812771331889,-0.1040612763769402,-0.0997502983551827,-0.1108659359750945,-0.1180697148457982,-0.1147500337107429,-0.106389086905943
low_tv_spectral_teacher,16,0.0,-0.0096856145841683,-0.0239517774585309,-0.0351026075084553,-0.0430026350663492,-0.0461741141027048,-0.0616590787135166,-0.0649682610366698,-0.0680578614382993,-0.0722796824892647,-0.0772612613697522,-0.0761358375254919,-0.0816424977324275,-0.0853247616301563,-0.0862633269265731,-0.0900026919827725,-0.09229552114429,-0.1011487987322124,-0.103562969145763,-0.1066280066082888,-0.1106506680322505,-0.1156533147325096,-0.1151281494715591,-0.1250788591287323,-0.1176184738398044
low_tv_spectral_teacher,17,0.0,-0.0100191881777467,-0.021817827251409,-0.0332167410107778,-0.0422803769960513,-0.048901117124628,-0.0567402933539395,-0.0617535889950623,-0.0688782265972716,-0.0722631544359161,-0.079093802203681,-0.0848825055351015,-0.0807320262543687,-0.0919732603965127,-0.0927519690839102,-0.0996528172776924,-0.0958489181875588,-0.0981303494615897,-0.1010321386631459,-0.1131277043400706,-0.111251236138029,-0.1141950528210731,-0.1148610347720876,-0.1147098286372615,-0.1196694239984005
low_tv_spectral_teacher,18,0.0,-0.0140810021828993,-0.0289199337822096,-0.0375159251301241,-0.0468088753320003,-0.054655718402117,-0.0566457891180864,-0.0605700869870637,-0.073140659504574,-0.074559501934436,-0.0775416958623842,-0.0775741966167244,-0.0832494702625114,-0.0852072453427537,-0.0948106663461129,-0.0885303787307617,-0.0916965113261685,-0.1020953826649539,-0.0962186414558933,-0.1021840231708846,-0.1074655285629513,-0.1063123934944622,-0.1150381849243901,-0.1087059653132209,-0.1130013798654787
low_tv_spectral_teacher,19,0.0,-0.0133454166645742,-0.0270257174979045,-0.0339221740853166,-0.0444042685445533,-0.0534069111959103,-0.0583268880159317,-0.0645389062181699,-0.0699695482994712,-0.072281764129843,-0.0749650540036985,-0.0726850549017561,-0.0857827651391742,-0.0874215005848819,-0.0942784897049937,-0.0973625179187547,-0.0972376760579802,-0.0977999365757843,-0.1010633693268123,-0.0994555710922177,-0.0993681552654629,-0.1067214315409377,-0.1134921120565672,-0.106120445434287,-0.1158229616634125
