rule,ref_id,phi_curve_cluster,pc1,pc2,pc3,mean_delta_phi,final_delta_phi
low_tv_spectral_teacher,16,1,-0.6024508238697622,1.5140825824754933,1.1033196228375617,-0.0763710708160217,-0.1176184738398044
low_tv_spectral_teacher,17,1,-1.608904204793,2.4248032915026116,-0.27450201515770395,-0.0771113032685314,-0.1196694239984005
low_tv_spectral_teacher,18,1,-1.051453189560698,-4.090780384667374,-0.040028615362082354,-0.0758611662525265,-0.1130013798654787
low_tv_spectral_teacher,19,1,-0.5110588410391619,-2.4262236307229545,-1.030587350539507,-0.07547194543673584,-0.1158229616634125
low_tv_spectral_teacher,20,0,4.583135508434835,-0.11686435791025118,-3.1380398547332193,-0.0713736350326567,-0.1078638403232819
low_tv_spectral_teacher,21,0,1.108296016439715,-0.6095205097337121,-0.34651095320973163,-0.07498816874806911,-0.1136619025935953
low_tv_spectral_teacher,22,1,-2.1027207156710173,1.5172067927114075,-0.24732262664107038,-0.07718092526235734,-0.1206893117140211
low_tv_spectral_teacher,23,1,-0.42324184064468273,1.7363485648865338,0.6546632566010104,-0.07644036639767579,-0.116602913337163
low_tv_spectral_teacher,24,0,0.8735814759624762,-0.7261501997777331,0.6558412134040866,-0.0749344638067768,-0.1095448556691823
low_tv_spectral_teacher,25,1,-1.0066865605756323,0.2491408726737564,-1.481278529399033,-0.07654587459628447,-0.1201239320716082
low_tv_spectral_teacher,26,0,1.2188658968520558,-1.2443222357923123,0.5715714070279625,-0.07441529581423886,-0.1107423906619974
low_tv_spectral_teacher,27,1,-1.849738676057858,1.3116286666610872,-1.2156719158574036,-0.07677267124755148,-0.1158419418830861
low_tv_spectral_teacher,28,1,-1.0982744050720894,3.86234807447922,-1.3276808369112558,-0.07705262546045479,-0.1093879733659912
low_tv_spectral_teacher,29,1,-0.8029618309626876,-0.0676438019666817,-0.6772557325231975,-0.07634978500620707,-0.1173516397345271
low_tv_spectral_teacher,30,1,0.27417011242906086,0.47531621008453806,-1.7014965264082087,-0.07553181738067331,-0.1169436980404463
low_tv_spectral_teacher,31,1,-0.30690793336408867,-1.573824138571878,0.9645447275718994,-0.07535754565045724,-0.1195308302772695
low_tv_spectral_teacher,32,0,1.21377645771202,-1.4338990068397464,2.7597972234924866,-0.07453839702485167,-0.1170665152441388
low_tv_spectral_teacher,33,0,0.8039130756752838,-2.588898289420184,-0.28052903934297846,-0.07464048015254005,-0.1150890881532148
low_tv_spectral_teacher,34,0,4.575111139373922,0.33541629776879806,0.8369446089355155,-0.07270942035383997,-0.1191232239836799
low_tv_spectral_teacher,35,1,-0.6875383867609446,1.646924474107462,0.548425269934855,-0.07682689153315819,-0.1098583380677278
low_tv_spectral_teacher,36,0,4.041291374180796,-2.3210762194446346,-0.4566092606054017,-0.07189492989716728,-0.10675654981643
low_tv_spectral_teacher,37,1,-2.0325076646165754,-2.540644104100917,-0.7411771635583884,-0.07726908977783788,-0.1119985656131345
low_tv_spectral_teacher,38,1,-0.1861278593294132,1.8301720484842825,2.507869729911992,-0.07654668121049917,-0.1277910882868936
low_tv_spectral_teacher,39,0,1.7763820205844825,-0.05215898106105541,0.16873983993280312,-0.07440973219861322,-0.104071866617544
low_tv_spectral_teacher,40,1,0.48241624582427134,3.922893233912395,0.5368517973705887,-0.07505385466447327,-0.1174378518867237
low_tv_spectral_teacher,41,1,0.8894514216075854,1.9515624553397906,0.3556983920603191,-0.07538022977237052,-0.1233174025608759
low_tv_spectral_teacher,42,1,-2.4894209032163666,-1.8952061012319745,0.17155319798441399,-0.07833393510625598,-0.1208074561022046
low_tv_spectral_teacher,43,1,-0.12078606536689195,-0.3820185067832207,2.2705032815181094,-0.07600842680420543,-0.1019890898898468
low_tv_spectral_teacher,44,1,-0.23251262564774722,-1.0209286017593713,-0.8314308840269155,-0.07606440287328077,-0.1105190018026815
low_tv_spectral_teacher,45,0,1.3531303004163495,-0.6672055102539303,0.5788823935137103,-0.07523759092482207,-0.1031504323532812
low_tv_spectral_teacher,46,1,-0.3536226697381873,2.2150433169255503,-1.2769055615580658,-0.07611134465883658,-0.1052881660543785
low_tv_spectral_teacher,47,0,1.3688964950192242,-1.8772789687703635,-0.8007033121685283,-0.07395380214032274,-0.1100877148032871
low_tv_spectral_teacher,48,1,-0.5986267195106467,-1.4699254499530596,0.30787167724065334,-0.07571732053691706,-0.119997792882023
low_tv_spectral_teacher,49,1,-2.1225885570292338,0.0850229138968586,0.3998844717404741,-0.07688054025957845,-0.1252888978738058
low_tv_spectral_teacher,50,0,1.7598297032996815,1.3617401106273772,0.29369324041871714,-0.07444042886551008,-0.1222839916418441
low_tv_spectral_teacher,51,1,-0.3722696812566714,0.6832930897124095,-0.367109589339743,-0.07575454846130485,-0.1149593512716869
low_tv_spectral_teacher,52,0,3.681292137802172,-0.1961325396455981,-0.20040243936224367,-0.07318750228563042,-0.102396055695105
low_tv_spectral_teacher,53,0,2.8769611036145686,-0.34999725622992756,1.3551653193897766,-0.07331484387206781,-0.1163646256024237
low_tv_spectral_teacher,54,0,2.7189546014684747,-1.0998514774538422,1.6896011406563534,-0.07430578872892787,-0.1094018842758196
low_tv_spectral_teacher,55,0,1.7094119308566962,0.2063898922078385,2.1329624221721324,-0.07497603599351112,-0.1113307526952194
low_tv_spectral_teacher,56,1,-0.3965847664393991,-0.8946079139552611,2.315421377539027,-0.07602866692326686,-0.1167659608473027
