rule,radius,d0,target_ref_count,observed_ref_count,missing_ref_count,finite_unit_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,max_split_dlogZ_dr_per_P_diff,max_ce_replay_abs_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,missing_ref_ids
real_even_odd,0.22,0.1,30,30,0,30,1.0,0.6348049606497633,0.0027156742684459278,0.029214096232342092,0.0,0.0002935967390908442,True,complete,
real_even_odd,0.23,0.1,30,30,0,30,1.0,0.6129721375911608,0.003206023552604849,0.02725373461122533,0.0,0.00028197950573106875,True,complete,
real_even_odd,0.24,0.1,30,30,0,30,1.0,0.5688689874529174,0.003554125934718946,0.03458652345093316,0.0,0.0002901025505902918,True,complete,
real_even_odd,0.25,0.1,30,30,0,30,1.0,0.5713590809933804,0.003793711307789905,0.043205694454709065,0.0,0.0002824615295310863,True,complete,
real_even_odd,0.26,0.1,30,30,0,30,1.0,0.5665076961635362,0.0046911874904302184,0.030295624091199416,0.0,0.00028036001789346205,False,complete,
real_even_odd,0.27,0.1,30,30,0,30,1.0,0.6627486353062547,0.004164242149917272,0.049277346052029,0.0,0.0002726381028417865,False,complete,
real_even_odd,0.28,0.1,30,30,0,30,1.0,0.6432381787859949,0.0046227451449303405,0.0367755308526109,0.0,0.000350216272252775,False,complete,
real_even_odd,0.29,0.1,30,30,0,30,1.0,0.590737349082823,0.004278242767080828,0.03220568944515799,0.0,0.00035830994463800515,False,complete,
real_even_odd,0.3,0.1,30,30,0,30,1.0,0.6263724324794313,0.003919567009161552,0.04655693710447352,0.0,0.0003316417290689624,True,complete,
real_even_odd,0.31,0.1,30,30,0,30,1.0,0.6011848156974894,0.0039090171265731295,0.03174688239301546,0.0,0.0003169146980651381,True,complete,
real_even_odd,0.32,0.1,30,30,0,30,1.0,0.5924006359896233,0.0046208527662920254,0.04324217621988394,0.0,0.00033737536274581315,False,complete,
real_even_odd,0.33,0.1,30,30,0,30,1.0,0.677686737313325,0.004601760039134561,0.04599437697291162,0.0,0.00030019517273849116,False,complete,
real_even_odd,0.34,0.1,30,30,0,30,1.0,0.5930786269787529,0.005221225862231481,0.03433904870929178,0.0,0.0003337180193826613,False,complete,
real_even_odd,0.35,0.1,30,30,0,30,1.0,0.6140046282386311,0.0025599951636369844,0.03470477802761263,0.0,0.00032621677593271873,True,complete,
real_even_odd,0.36,0.1,30,30,0,30,1.0,0.6674775891680034,0.010093947679064963,0.0390784575846589,0.0,0.0004813776052077922,False,complete,
real_even_odd,0.37,0.1,30,30,0,30,1.0,0.5787051603039399,0.007193995119973761,0.02936607432326461,0.0,0.0002962004699397622,False,complete,
real_even_odd,0.38,0.1,30,30,0,30,1.0,0.61340008352767,0.006185910030544424,0.04165177085570063,0.0,0.00036323932875339214,False,complete,
real_even_odd,0.39,0.1,30,30,0,30,1.0,0.5967537501296263,0.0072470127385940285,0.04122254917107761,0.0,0.00039149103035493633,False,complete,
real_even_odd,0.4,0.1,30,30,0,30,1.0,0.5903948951599743,0.007017698159691164,0.04034228435811064,0.0,0.00028356019712418766,False,complete,
real_even_odd,0.41,0.1,30,30,0,30,1.0,0.6202839369104485,0.005396585970787375,0.03646447954819416,0.0,0.0004165187348314863,False,complete,
real_even_odd,0.42,0.1,30,30,0,30,1.0,0.6742555422782165,0.005983782777889085,0.04160779482347789,0.0,0.0004065522046062346,False,complete,
real_even_odd,0.43,0.1,30,30,0,30,1.0,0.6099025160905087,0.007853767932252622,0.03538324791335009,0.0,0.00041009291450856217,False,complete,
real_even_odd,0.44,0.1,30,30,0,30,1.0,0.5947754716789734,0.008174245952287194,0.029423296449716516,0.0,0.0004939626079643052,False,complete,
real_even_odd,0.45,0.1,30,30,0,30,1.0,0.6415733683773724,0.006570754440035155,0.030521721789242454,0.0,0.0003909072507819756,False,complete,
real_even_odd,0.46,0.1,30,30,0,30,1.0,0.6159886253587695,0.00793829968265275,0.032914231798863845,0.0,0.000509583085464954,False,complete,
real_even_odd,0.47,0.1,30,30,0,30,1.0,0.6037040586106486,0.007406173888492101,0.0375362779001864,0.0,0.00041666747287682094,False,complete,
real_even_odd,0.48,0.1,30,30,0,30,1.0,0.580062199370976,0.007859045514399955,0.027242701278945427,0.0,0.00041046427347631297,False,complete,
real_even_odd,0.49,0.1,30,30,0,30,1.0,0.5682588785094921,0.007486902694320742,0.02674509348546311,0.0,0.00038279964665514715,False,complete,
