rule,radius,d0,delta_phi_energy,delta_phi_full,n_units,qc_pass,diagnostic_status,bootstrap_sd
random_label,1.0,0.01,-0.1500864977589066,4.4532656186729325,60,False,raw_no_claim,0.0005219003780235528
random_label,1.25,0.01,-0.15121147005958252,4.675196103114294,60,False,raw_no_claim,0.0003241596732355648
random_label,1.5,0.01,-0.15196523115478877,4.856691920306609,60,False,raw_no_claim,0.0005847613005660085
random_label,1.75,0.01,-0.15335902894845424,5.009387945380144,60,False,raw_no_claim,0.00044409159335652643
random_label,2.0,0.01,-0.15466559421734088,5.1415600560391255,60,False,raw_no_claim,0.000684616090221449
random_label,2.25,0.01,-0.15618452654111245,5.257777659949844,60,False,raw_no_claim,0.0002441344215324
random_label,2.5,0.01,-0.1578292893840378,5.361451817614465,60,False,raw_no_claim,0.0002939635256043228
real_even_odd,0.01,0.01,0.0,0.0,60,True,claimable_rule_radius,0.0
real_even_odd,0.02,0.01,0.010222355103679573,0.7030958889283071,60,False,raw_no_claim,0.02392617869986191
real_even_odd,0.03,0.01,0.025464412062687163,1.1236429809168735,60,False,raw_no_claim,0.018863787165257065
real_even_odd,0.05,0.01,0.02524246915603802,1.6340449935473298,60,False,raw_no_claim,0.01729999092427708
real_even_odd,0.08,0.01,0.014729990940906379,2.093350592414789,60,False,raw_no_claim,0.019897620700806817
real_even_odd,0.12,0.01,0.021228136182433705,2.5051537726858752,60,False,raw_no_claim,0.016888878038762444
real_even_odd,0.15,0.01,0.001849456993718999,2.708830550239197,60,False,raw_no_claim,0.019282829030403487
real_even_odd,0.2,0.01,0.011480142665375195,3.006029734705922,60,False,raw_no_claim,0.01837147197025111
real_even_odd,0.3,0.01,-0.008014917050897323,3.391839710019209,60,False,raw_no_claim,0.015690261310089406
real_even_odd,0.45,0.01,-0.02024386836335684,3.784915793736307,60,False,raw_no_claim,0.019028840444795917
real_even_odd,0.65,0.01,-0.03780582466645279,4.134933443938266,60,False,raw_no_claim,0.016986774933687075
real_even_odd,0.85,0.01,-0.04744906257169565,4.393448285013572,60,False,raw_no_claim,0.017521717159059886
real_even_odd,1.0,0.01,-0.054454260690880406,4.548897855740959,60,False,raw_no_claim,0.017882698496523207
real_even_odd,1.25,0.01,-0.06447229342579112,4.7619352797480845,60,False,raw_no_claim,0.017903573394419517
real_even_odd,1.5,0.01,-0.07170641085120351,4.936950740610194,60,False,raw_no_claim,0.017770689200443723
real_even_odd,1.75,0.01,-0.07732291016945468,5.0854240641591435,60,False,raw_no_claim,0.01848357134740923
real_even_odd,2.0,0.01,-0.08480962970878367,5.2114160205476825,60,False,raw_no_claim,0.017956305173752483
real_even_odd,2.25,0.01,-0.08896253309242083,5.324999653398536,60,False,raw_no_claim,0.018508518018804224
