beta,radius,finite_ref_count,mean_logZ_inf,mean_logZ_inf_full,sd_logZ_inf,sd_logZ_inf_full,mean_logZ_inf_per_P,mean_logZ_inf_full_per_P,mean_reference_prior_log_weight,mean_theta_ref_norm_sq,aggregate_ref_level_ess,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_weighted_error,mean_weighted_accuracy,mean_weighted_ce_l2_ratio,min_smc_cess_fraction,max_smc_step_count,mean_smc_step_count,mean_smc_mh_acceptance,claim
0.1,0.01,100,-0.013678791836805048,-2.8110735450219266,0.006704842254534148,0.6875645227303735,-5.374770859255422e-06,-0.0011045475618946666,-2.797394753185122,14238.739293712268,102398.9231109234,0.9999609744504655,4.875689433024765e-07,2.778322703778035e-07,0.003586347706880154,0.9964136522931196,0.0055429570444483515,0.9999082284563492,1.0,1.0,0.9998828125,pass
0.1,0.02,100,-0.034777001436745024,-2.832171754621866,0.012355235541274863,0.6931864476080368,-1.3664833570430264e-05,-0.0011128376246058412,-2.797394753185122,14238.739293712268,102380.56198347725,0.9994466348616878,8.922101404163225e-07,4.5620538918576447e-07,0.011180982475546958,0.988819017524453,0.01292563245023023,0.9989724853025652,1.0,1.0,0.999208984375,pass
0.1,0.03,100,-0.07964951801168657,-2.8770442711968083,0.028543143198446766,0.7052939943651153,-3.129647073150749e-05,-0.0011304692617669187,-2.797394753185122,14238.739293712268,102309.24779465681,0.9977590723588982,2.2472830374259062e-06,1.1308837244000796e-06,0.023262293302474216,0.9767377066975256,0.028580407583064602,0.9964257754007542,1.0,1.0,0.998447265625,pass
0.1,0.04,100,-0.14802976104637922,-2.9454245142315005,0.05254586917237197,0.7234857314410902,-5.8164935578145074e-05,-0.0011573377266135563,-2.797394753185122,14238.739293712268,102152.58629493578,0.9938054758188504,4.5633037076766845e-06,2.2009736015998535e-06,0.03772247659891374,0.9622775234010864,0.05241817502059828,0.9913817802812211,1.0,1.0,0.997138671875,pass
0.1,0.05,100,-0.23610320227037807,-3.0334979554555,0.08134143913554091,0.7461622777563195,-9.277139578403853e-05,-0.00119194418681945,-2.797394753185122,14238.739293712268,101895.76632773128,0.9878011423907894,6.144529861825299e-06,2.9505642955073235e-06,0.05296481887669693,0.947035181123303,0.08313948448116996,0.9829899296445945,1.0,1.0,0.9953125,pass
0.1,0.06,100,-0.3409991817856173,-3.1383939349707384,0.11493799136664966,0.772546811375938,-0.00013398789068197142,-0.0012331606817173825,-2.797394753185122,14238.739293712268,101533.06261850956,0.9814492219162106,8.371819295434518e-06,4.399275684288545e-06,0.06850031767037552,0.9314996823296245,0.1196933664572627,0.97378669104339,1.0,1.0,0.994296875,pass
0.1,0.07,100,-0.45803484061737243,-3.2554295938024946,0.15048112626551066,0.801586075051387,-0.00017997439709916403,-0.0012791471881345754,-2.797394753185122,14238.739293712268,101069.0152998996,0.9709074077487627,8.72587128704502e-06,6.21496512208127e-06,0.08360850186517477,0.916391498134825,0.16044207804037666,0.9612769479055397,1.0,1.0,0.992607421875,pass
0.1,0.08,100,-0.5847739914199385,-3.38216874460506,0.1873502474970482,0.8325765213646096,-0.0002297736704989935,-0.0013289464615344048,-2.797394753185122,14238.739293712268,100507.16544283259,0.9622065139579954,1.3601103494311985e-05,7.518388092670082e-06,0.09824417462479522,0.9017558253752052,0.2044446636602918,0.9414007448355489,1.0,1.0,0.99119140625,pass
0.1,0.09,100,-0.7191710246273881,-3.516565777812509,0.22722294881259947,0.8663090738483018,-0.00028258193502058473,-0.0013817547260559957,-2.797394753185122,14238.739293712268,99879.62405501537,0.9500333733951116,1.12790819108447e-05,8.085016518440746e-06,0.11226168008224838,0.8877383199177515,0.25101471124269215,0.9260463936935971,1.0,1.0,0.989462890625,pass
0.1,0.1,100,-0.8587437088817156,-3.6561384620668376,0.26956341431679826,0.9015039029593864,-0.0003374238541774914,-0.0014365966452129027,-2.797394753185122,14238.739293712268,99121.3567308845,0.9355458993121163,1.4658385545700088e-05,1.1044251605316715e-05,0.12563687453047984,0.8743631254695201,0.29912138650353987,0.8986003666539925,1.0,1.0,0.9883203125,pass
0.14,0.01,100,-0.016230698827397104,-1.8873332391491864,0.0076038389770203526,0.30058096302360837,-6.377484804478233e-06,-0.0007415847698032166,-1.871102540321789,9523.911930237908,102399.62325813132,0.9999920833150429,1.9307256459829638e-07,2.915475964633559e-07,0.0038316459532679137,0.996168354046732,0.009447100073274312,0.9999818387810668,1.0,1.0,0.999853515625,pass
0.14,0.02,100,-0.02904342588400142,-1.9001459662057905,0.00804770699608124,0.3021804325495186,-1.1411955160707826e-05,-0.0007466192401594462,-1.871102540321789,9523.911930237908,102392.87625472847,0.9998301666130022,1.002379756308894e-06,3.0429925197706365e-07,0.009525138024705646,0.9904748619752942,0.016250015980612213,0.9997437313984493,1.0,1.0,0.999541015625,pass
0.14,0.03,100,-0.05535715433730229,-1.9264596946590913,0.012038133861274773,0.3069484954139117,-2.1751337657093236e-05,-0.0007569586226558316,-1.871102540321789,9523.911930237908,102364.57620904912,0.999219815846001,1.1119538154620685e-06,4.964950523697548e-07,0.01857868391193991,0.9814213160880602,0.030084012175095726,0.9986101230079087,1.0,1.0,0.998916015625,pass
0.14,0.04,100,-0.09558363187599872,-1.9666861721977875,0.022922510999244847,0.3154113130427218,-3.755741920471462e-05,-0.0007727647042034528,-1.871102540321789,9523.911930237908,102298.02499803236,0.9978409313564709,2.5167716068902082e-06,8.732348845970974e-07,0.029769262568981915,0.970230737431018,0.05112270304172483,0.995548767713394,1.0,1.0,0.9979296875,pass
0.14,0.05,100,-0.14776410551615857,-2.0188666458379476,0.03814308124391248,0.32674080603922856,-5.806055226568117e-05,-0.0007932678372644195,-1.871102540321789,9523.911930237908,102189.54094926258,0.9955310400690798,4.467870908320803e-06,1.4662886804284024e-06,0.04204024429072762,0.9579597557092723,0.07830874857279213,0.9917934235444624,1.0,1.0,0.99740234375,pass
0.14,0.06,100,-0.21085415069791644,-2.0819566910197054,0.05678593342329333,0.3410238382253854,-8.285035390880803e-05,-0.0008180576389075463,-1.871102540321789,9523.911930237908,102025.5450047187,0.991910911685612,4.517777869870783e-06,2.1935753174820166e-06,0.05490711528437633,0.9450928847156236,0.11106912855055052,0.9862758931855489,1.0,1.0,0.996162109375,pass
