eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem
0.05,0.1,30,-0.006211779797997157,0.0014233628208412529,0.0002598693081629796
0.05,0.11,30,-0.007732193378732307,0.0015978529615767929,0.00029172670354401495
0.05,0.12,30,-0.009376116398359197,0.0016300471197563603,0.0002976045257622944
0.05,0.13,30,-0.011055923168955727,0.0018416060079903868,0.00033622971753779135
0.05,0.14,30,-0.012991945583969067,0.0019205623216284257,0.0003506451022167935
0.05,0.15,30,-0.01516992732215908,0.0021910105118051336,0.0004000219603488702
0.05,0.16,30,-0.01720536307322177,0.0020164271153670327,0.00036814753888386525
0.05,0.17,30,-0.0194739331348893,0.0022185975028877632,0.0004050586327854201
0.05,0.18,30,-0.02153992689554853,0.0025156093033901145,0.0004592853204455408
0.05,0.19,30,-0.02381542684783789,0.002554801522343052,0.0004664408079119427
0.05,0.2,30,-0.026025543915658752,0.002766075733510275,0.000505014025003742
0.05,0.21,30,-0.027493687372906733,0.002940033856303132,0.0005367742876420425
0.05,0.22,30,-0.03019067537541814,0.003285837158536005,0.0005999090440062828
0.05,0.23,30,-0.032790086481257315,0.002973117091641201,0.00054281443239868
0.05,0.24,30,-0.03471033124546337,0.00288552175017844,0.0005268217842481726
0.05,0.25,30,-0.037567806700427815,0.0028348784630585462,0.0005175756273342471
0.05,0.26,30,-0.039326635688991765,0.0036410411844001274,0.0006647601298337591
0.05,0.27,30,-0.04189029495031726,0.0034078971128424836,0.0006221940407868522
0.05,0.28,30,-0.04305984284485607,0.0032307344748875957,0.0005898487164018479
0.05,0.29,30,-0.04473036564402692,0.003240053594142676,0.0005915501470125441
0.05,0.3,30,-0.047177331748342585,0.003153233656270272,0.00057569906754124
0.05,0.31,30,-0.04831777798561334,0.0033809684345372857,0.0006172775592696669
0.05,0.32,30,-0.05109751405795655,0.0036963459559947484,0.0006748573534804405
0.05,0.33,30,-0.05266476462763299,0.0032709531177389064,0.0005971916023758167
0.05,0.34,30,-0.05341558833968271,0.003113809339157827,0.0005685012049423324
0.05,0.35,30,-0.055640278568193084,0.003097908070013104,0.0005655980436744901
0.05,0.36,30,-0.057668656143296984,0.0032792851184339665,0.0005987128106190944
0.05,0.37,30,-0.058042424567110076,0.004179956041799993,0.0007631520711579543
0.05,0.38,30,-0.05992514210637241,0.0035934332350118425,0.0006560681472349165
0.05,0.39,30,-0.06029176977123851,0.0023731890926745594,0.0004332830664276913
0.05,0.4,30,-0.06246904999123712,0.002992827466968236,0.000546413038126517
0.05,0.41,30,-0.06348432506085513,0.0033243433078175943,0.0006069392728610121
0.05,0.42,30,-0.06401153722650146,0.0035567875625206395,0.0006493775934154568
0.05,0.43,30,-0.06542350925625588,0.0033152254158550047,0.0006052745811594101
0.05,0.44,30,-0.0667831462744755,0.0030715184533887645,0.0005607799809048023
0.05,0.45,30,-0.06707864619128268,0.003660084203451346,0.0006682368935328767
0.05,0.46,30,-0.06853092168157965,0.0034841999449876683,0.0006361249682426684
0.05,0.47,30,-0.06896087595216692,0.0032118201536833484,0.0005863954496073598
0.05,0.48,30,-0.07022068539934226,0.0036773535330083176,0.0006713898273166579
0.05,0.49,30,-0.0715159950990331,0.003093941183578363,0.0005648737926133669
0.05,0.5,30,-0.07163430858097697,0.0028784502329022893,0.0005255307077388612
0.05,0.51,30,-0.07236647404107674,0.0033023630983557333,0.0006029262540140289
0.05,0.52,30,-0.07290675815950301,0.003567422657090613,0.0006513192871478485
0.05,0.53,30,-0.07442311192017396,0.0035656595547951587,0.0006509973901817125
0.05,0.54,30,-0.07449946001818757,0.002418068034150677,0.00044147680262883286
0.05,0.55,30,-0.07583312501058885,0.002625982762209528,0.00047943666482729437
0.05,0.56,30,-0.07634100307214702,0.003233705521972304,0.000590391152904416
0.05,0.57,30,-0.07759300278930605,0.0030871353702286723,0.0005636312267821026
0.05,0.58,30,-0.07748837346256289,0.0033701034632922047,0.0006152938959904742
0.05,0.59,30,-0.07836609935116809,0.0032094770331838993,0.0005859676562898595
0.05,0.6,30,-0.07958052642544211,0.001761053292182602,0.0003215228710323822
0.05,0.61,30,-0.07989164880552567,0.0030535695508761983,0.0005575029746419376
0.05,0.62,30,-0.0799301981945379,0.003206601046174695,0.0005854425753031818
