eta,rule,radius,n_units,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_mean,delta_phi_energy_sd,delta_phi_energy_sem,ess_fraction_min,ess_fraction_mean,split_logZ_per_P_diff_max,weighted_ce_mean,weighted_error_mean,elapsed_s_mean,d_phi_energy_raw_dd_unit_mean,d_phi_energy_raw_dd_unit_sd,d_phi_energy_raw_dd_unit_sem,d_delta_phi_energy_dd_unit_mean,d_delta_phi_energy_dd_unit_sd,d_delta_phi_energy_dd_unit_sem,d_phi_energy_raw_dd,d_delta_phi_energy_dd
0.3,eta_0p30,0.15,90,-0.047179424521677296,0.004783106608051656,0.0005041837057615169,-0.025772842580305853,0.003335100568528131,0.00035155046740904567,0.501114084918248,0.8251078721523781,0.011807917729046423,0.13289206465064363,0.05389122767254874,23.980876925256517,-0.545992625951497,0.059486281257706726,0.006270404610257964,-0.545992625951497,0.05948628125770672,0.006270404610257964,-0.545992625951497,-0.545992625951497
0.3,eta_0p30,0.2,90,-0.07600584453652115,0.007158301300339384,0.0007545512095605832,-0.054599262595149696,0.005948628125770674,0.0006270404610257966,0.5091605908422159,0.7936863743424664,0.017055354272832682,0.23523505545793483,0.09550581571501791,28.64272554980384,-0.5433092062364563,0.059463212568235585,0.006267972956879166,-0.5433092062364564,0.0594632125682356,0.006267972956879166,-0.5433092062364564,-0.5433092062364563
0.3,eta_0p30,0.25,90,-0.10151034514532295,0.007637387180675805,0.0008050512954502488,-0.08010376320395149,0.006817241580677748,0.0007186003584849404,0.5615633506298773,0.8066851148284767,0.016265592904264544,0.3333668421961947,0.13632609256328895,31.522872858577305,-0.434691364412405,0.06043967923686768,0.006370901581282977,-0.434691364412405,0.06043967923686768,0.006370901581282977,-0.4346913644124051,-0.4346913644124051
0.3,eta_0p30,0.3,90,-0.11947498097776163,0.007546221331435603,0.0007954415711694963,-0.09806839903639018,0.006931567874182345,0.0007306514079489217,0.5750042563780736,0.7974610492617774,0.021215394438402535,0.412742585874251,0.17561963791832885,32.59431005583869,-0.29946143128662556,0.05994021732438663,0.006318253673018182,-0.2994614312866256,0.059940217324386605,0.0063182536730181805,-0.2994614312866255,-0.2994614312866255
0.3,eta_0p30,0.35,90,-0.13145648827398548,0.005901856902998167,0.0006221103412620549,-0.11004990633261404,0.0059733585764031195,0.0006296472794111589,0.5233916917505484,0.7970269024490332,0.01647640379724686,0.47355797465614424,0.21030916948920805,33.01646786795722,-0.1776089044865505,0.06750779364125585,0.007115946257300012,-0.1776089044865505,0.06750779364125584,0.007115946257300012,-0.1776089044865503,-0.17760890448655064
0.3,eta_0p30,0.4,90,-0.13723587142641666,0.006005715787718857,0.000633058028960796,-0.11582928948504523,0.0064400377759220445,0.0006788395863146248,0.527587799827518,0.803381331923187,0.015388891841225221,0.5110863463841999,0.23927756469877856,32.67162278228336,-0.10243522721125099,0.05793736394190238,0.006107134389417431,-0.10243522721125099,0.057937363941902444,0.006107134389417437,-0.10243522721125076,-0.10243522721125098
0.3,eta_0p30,0.45,90,-0.1417000109951106,0.004533474896162946,0.0004778702129023417,-0.12029342905373916,0.0052781450603359885,0.0005563653403809527,0.5655925852277814,0.7834505558293634,0.01190068954011961,0.5473839432260358,0.26745871864135895,31.693696490923564,-0.06239465487819486,0.053232162970342944,0.005611162658785266,-0.06239465487819484,0.05323216297034296,0.005611162658785266,-0.062394654878194844,-0.062394654878194844
0.3,eta_0p30,0.5,90,-0.14347533691423614,0.003458084046933469,0.000364514064286745,-0.12206875497286471,0.004367913242742851,0.0004604184823026448,0.5302526116692753,0.801973854034286,0.012722434086381585,0.5651061769250455,0.2826425249383815,31.233381096522013,-0.03336339953495796,0.04751815893004551,0.005008853747893782,-0.03336339953495796,0.047518158930045504,0.005008853747893781,-0.033363399534957816,-0.033363399534957816
0.3,eta_0p30,0.55,90,-0.14503635094860637,0.003761226757601203,0.0003964681116796609,-0.12362976900723494,0.004583836427570766,0.00048317878442576904,0.5865932441183709,0.8270256337384008,0.011874474252503642,0.582598566719582,0.2971353255878595,30.540586196051702,-0.03270715176249445,0.03814125333832164,0.004020441112086571,-0.03270715176249443,0.038141253338321635,0.0040204411120865705,-0.03270715176249461,-0.03270715176249439
0.3,eta_0p30,0.6,90,-0.14674605209048558,0.002832123767169791,0.0002985320573250985,-0.12533947014911412,0.0039872777681755674,0.00042029598037292146,0.5101676368173234,0.8120769516188089,0.012178909046579277,0.5961436707767661,0.30945266973406904,30.011197577582465,-0.02786612884593078,0.037484550518765335,0.003951218556898156,-0.02786612884593085,0.03748455051876532,0.003951218556898154,-0.027866128845930982,-0.027866128845930982
