run,beta,radius,dataset_count,dphi_energy_dr,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,source
30 dataset,0.37,0.17,30,-0.0007635748916386759,6.511158215890277e-05,0.0001331681378775468,final_proxy_summary
30 dataset,0.37,0.18,30,-0.0007908694418302516,6.735217511022892e-05,0.00013775066499755264,final_proxy_summary
30 dataset,0.37,0.19,30,-0.0008153530039154438,6.921592580877079e-05,0.000141562463171756,final_proxy_summary
30 dataset,0.37,0.2,30,-0.000838720347451155,7.08374367090134e-05,0.00014487882532997348,final_proxy_summary
30 dataset,0.37,0.21,30,-0.0008626869328235486,7.238785979246553e-05,0.00014804979657809657,final_proxy_summary
30 dataset,0.37,0.22,30,-0.0008864651841643521,7.418243484054111e-05,0.00015172011466145247,final_proxy_summary
30 dataset,0.37,0.23,30,-0.000907090301115613,7.535822739169329e-05,0.00015412488044006773,final_proxy_summary
30 dataset,0.37,0.24,30,-0.00092680878494193,7.681027146366484e-05,0.000157094644017747,final_proxy_summary
30 dataset,0.37,0.25,30,-0.0009474899242466596,7.80689216565492e-05,0.00015966887270131016,final_proxy_summary
30 dataset,0.37,0.26,30,-0.0009667743366210568,7.904810907278633e-05,0.00016167153583020167,final_proxy_summary
30 dataset,0.37,0.27,30,-0.0009846827337001355,7.97644331015302e-05,0.00016313658296716055,final_proxy_summary
30 dataset,0.37,0.28,30,-0.0010021850594174155,8.049163737044144e-05,0.00016462388269382325,final_proxy_summary
30 dataset,0.37,0.29,30,-0.001019357609399762,8.119726673485846e-05,0.0001660670567862882,final_proxy_summary
30 dataset,0.37,0.3,30,-0.0010355846637587855,8.183074237610156e-05,0.0001673626599453276,final_proxy_summary
30 dataset,0.39,0.01,30,-2.752977787612131e-05,4.085274095136164e-06,8.35532367560934e-06,final_proxy_summary
30 dataset,0.39,0.02,30,-7.85777909635154e-05,1.1863169705327458e-05,2.42629063309864e-05,final_proxy_summary
30 dataset,0.39,0.03,30,-0.0001440742115269853,1.9695244121219686e-05,4.028129708575836e-05,final_proxy_summary
30 dataset,0.39,0.04,30,-0.0002125445651064207,2.6481419823335844e-05,5.416058478844703e-05,final_proxy_summary
30 dataset,0.39,0.05,30,-0.0002786283605168996,3.215846734112311e-05,6.577145065162144e-05,final_proxy_summary
30 dataset,0.39,0.06,30,-0.00033994557692650025,3.688855059224184e-05,7.544555712656489e-05,final_proxy_summary
30 dataset,0.39,0.07,30,-0.0003958468240160522,4.1117399503440915e-05,8.409452427184984e-05,final_proxy_summary
30 dataset,0.39,0.08,30,-0.00044779109705860406,4.483069117646364e-05,9.168905847140046e-05,final_proxy_summary
30 dataset,0.39,0.09,30,-0.000496634936793131,4.853125499147462e-05,9.925756127846459e-05,final_proxy_summary
30 dataset,0.39,0.1,30,-0.0005407223728027046,5.1676593103675295e-05,0.00010569050002006713,final_proxy_summary
30 dataset,0.39,0.11,30,-0.0005813487360073603,5.457598483995346e-05,0.00011162042194325785,final_proxy_summary
30 dataset,0.39,0.12,30,-0.0006202462146678138,5.7531422937042595e-05,0.0001176649715449128,final_proxy_summary
30 dataset,0.39,0.13,30,-0.0006568281720703053,6.0353642754455125e-05,0.00012343705917209925,final_proxy_summary
30 dataset,0.39,0.14,30,-0.0006900575079167466,6.270139091405438e-05,0.00012823874330037416,final_proxy_summary
30 dataset,0.39,0.15,30,-0.0007230785999508375,6.491792128836812e-05,0.00013277205692460812,final_proxy_summary
30 dataset,0.39,0.16,30,-0.000753989836450402,6.731362411804594e-05,0.0001376718193656064,final_proxy_summary
30 dataset,0.39,0.17,30,-0.0007820448097839005,6.907372703959232e-05,0.0001412716340339574,final_proxy_summary
30 dataset,0.39,0.18,30,-0.0008098673933383257,7.06785709886009e-05,0.00014455390844946706,final_proxy_summary
