eta,ref_id,radius,phi_energy_raw
0.05,2,0.3,-0.0483995997183429
0.05,2,0.31,-0.049331763138247
0.05,2,0.32,-0.0526834128976899
0.05,2,0.33,-0.0531906973763721
0.05,2,0.34,-0.0562911905902234
0.05,2,0.35,-0.0603023641888328
0.05,2,0.36,-0.0573110453306647
0.05,2,0.37,-0.0619122745161316
0.05,2,0.38,-0.0624079983048667
0.05,2,0.39,-0.0636252916661221
0.05,2,0.4,-0.0626877139971672
0.05,2,0.41,-0.0641554626445291
0.05,2,0.42,-0.0667662878490406
0.05,2,0.43,-0.0674069308570523
0.05,2,0.44,-0.0673017236385831
0.05,2,0.45,-0.0664879866055432
0.05,2,0.46,-0.0650188358615969
0.05,2,0.47,-0.0724481724588122
0.05,2,0.48,-0.0686183337582404
0.05,2,0.49,-0.0710195899764642
0.05,2,0.5,-0.0734853791202709
0.05,2,0.51,-0.072127971001833
0.05,2,0.52,-0.074884060491198
0.05,2,0.53,-0.0788982976331315
0.05,2,0.54,-0.0764326260654569
0.05,2,0.55,-0.0785282073147182
0.05,2,0.56,-0.0749223136048606
0.05,2,0.57,-0.0790746072236955
0.05,2,0.58,-0.0789067464944626
0.05,2,0.59,-0.0792103632706946
0.05,2,0.6,-0.0814560666633912
0.05,2,0.61,-0.0839552927604383
0.05,2,0.62,-0.0821024543562724
0.05,2,0.63,-0.0795245241216192
0.05,2,0.64,-0.084575985036672
0.05,2,0.65,-0.0833556664391939
0.05,2,0.66,-0.0853354573448568
0.05,2,0.67,-0.0858659341121269
0.05,2,0.68,-0.086829870341863
0.05,2,0.69,-0.0890743559363781
0.05,2,0.7,-0.0827614464300212
0.05,2,0.71,-0.0888113982416567
0.05,2,0.72,-0.0863928138010904
0.05,2,0.73,-0.0888944234104248
0.05,2,0.74,-0.0913081841205678
0.05,2,0.75,-0.0863747736217072
0.05,2,0.76,-0.0929318838381617
0.05,2,0.77,-0.087838197260063
0.05,2,0.78,-0.0897762026640501
0.05,2,0.79,-0.0888786453181034
0.05,2,0.8,-0.0927017582344095
0.05,2,0.81,-0.0881035025386505
0.05,2,0.82,-0.0923603030726003
0.05,2,0.83,-0.0912365173999967
0.05,2,0.84,-0.0918763538366431
0.05,2,0.85,-0.0890692884807543
0.05,2,0.86,-0.0937313000437286
0.05,2,0.87,-0.094153705600472
0.05,2,0.88,-0.0924529633179635
0.05,2,0.89,-0.0900956133255496
0.05,2,0.9,-0.0969117762657173
0.05,2,0.91,-0.0928672502251702
0.05,2,0.92,-0.0957746305863354
0.05,2,0.93,-0.0990993448018957
0.05,2,0.94,-0.0985125372791242
0.05,2,0.95,-0.0984516164437774
0.05,2,0.96,-0.0976352739541839
0.05,2,0.97,-0.0992199073345956
0.05,2,0.98,-0.0986812702658908
0.05,2,0.99,-0.1054491950887133
0.05,2,1.0,-0.0984509901686828
0.05,3,0.01,-0.0008188744405567
0.05,3,0.02,-0.0008949637389203
0.05,3,0.03,-0.0010562315303333
0.05,3,0.04,-0.0013120191546966
0.05,3,0.05,-0.0017559528130388
0.05,3,0.06,-0.0023448738919712
0.05,3,0.07,-0.0031378358200497
0.05,3,0.08,-0.0040502060294802
0.05,3,0.09,-0.0051898812277698
0.05,3,0.1,-0.0065314248144269
0.05,3,0.11,-0.0081108329777414
