rule,ref_id,neighbor_rank,neighbor_rule,neighbor_ref_id,feature_distance
real_even_odd,12,4,real_even_odd,57,11.661952098573014
real_even_odd,12,5,very_low_tv_spectral_teacher,69,12.04619254873989
real_even_odd,13,1,real_even_odd,49,8.851430144555668
real_even_odd,13,2,very_low_tv_spectral_teacher,45,9.106152081882078
real_even_odd,13,3,very_low_tv_spectral_teacher,15,9.940860099161517
real_even_odd,13,4,real_even_odd,1023,10.471632325003414
real_even_odd,13,5,very_low_tv_spectral_teacher,7,10.651216062703847
real_even_odd,14,1,real_even_odd,31,10.119834811727182
real_even_odd,14,2,real_even_odd,1020,10.468382102299367
real_even_odd,14,3,real_even_odd,20,10.514833246635076
real_even_odd,14,4,real_even_odd,48,10.872757300376213
real_even_odd,14,5,very_low_tv_spectral_teacher,23,10.946200351027336
real_even_odd,15,1,real_even_odd,20,6.413205510750824
real_even_odd,15,2,real_even_odd,1001,8.436098626730793
real_even_odd,15,3,real_even_odd,49,9.009861533230625
real_even_odd,15,4,real_even_odd,28,9.37351756517362
real_even_odd,15,5,very_low_tv_spectral_teacher,5,9.531611546315954
real_even_odd,16,1,very_low_tv_spectral_teacher,77,9.182437241614497
real_even_odd,16,2,very_low_tv_spectral_teacher,26,9.518964417036443
real_even_odd,16,3,very_low_tv_spectral_teacher,55,9.547186257981268
real_even_odd,16,4,real_even_odd,38,9.684290946050746
real_even_odd,16,5,real_even_odd,1014,9.858753643070996
real_even_odd,17,1,real_even_odd,48,10.880390503854924
real_even_odd,17,2,very_low_tv_spectral_teacher,15,10.959990986278616
real_even_odd,17,3,very_low_tv_spectral_teacher,66,10.961399658073368
real_even_odd,17,4,real_even_odd,1023,11.025236071665166
real_even_odd,17,5,real_even_odd,1001,11.053531861629013
real_even_odd,18,1,real_even_odd,1020,10.367765963564084
real_even_odd,18,2,real_even_odd,51,11.055326508403356
real_even_odd,18,3,real_even_odd,20,11.152115659444027
real_even_odd,18,4,real_even_odd,47,11.313292085997368
real_even_odd,18,5,real_even_odd,1027,11.370234167574447
real_even_odd,19,1,real_even_odd,1019,9.215129365069117
real_even_odd,19,2,real_even_odd,2,9.218296178379322
real_even_odd,19,3,very_low_tv_spectral_teacher,18,9.813991401519957
real_even_odd,19,4,real_even_odd,1023,9.819695052647367
