pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_0_2,0/2,2461,0.25,0.0002241540448609,-0.000224154
pair_0_2,0/2,2461,0.25,7.710557628588022e-05,-7.71056e-05
pair_0_2,0/2,2461,0.25,2.5418084815167347e-05,2.54181e-05
pair_0_2,0/2,2461,0.25,0.0004003767559464,0.000400377
pair_0_2,0/2,2461,0.25,0.0001038723537254,-0.000103872
pair_0_2,0/2,2461,0.25,0.0001780768057066,-0.000178077
pair_0_2,0/2,2461,0.25,0.0001978017687116,0.000197802
pair_0_2,0/2,2461,0.25,0.0003378398691859,-0.00033784
pair_0_2,0/2,2461,0.25,2.11453144968142e-06,-2.11453e-06
pair_0_2,0/2,2461,0.25,0.0003461570106625,0.000346157
pair_0_2,0/2,2461,0.25,8.772790596485501e-05,-8.77279e-05
pair_0_2,0/2,2461,0.25,0.0003111783660049,0.000311178
pair_0_2,0/2,2461,0.25,6.757994915594566e-05,6.75799e-05
pair_0_2,0/2,2461,0.25,6.656471884248367e-05,6.65647e-05
pair_0_2,0/2,2461,0.25,0.0004150388248596,0.000415039
pair_0_2,0/2,2461,0.25,0.0002025782820886,-0.000202578
pair_0_2,0/2,2461,0.3,0.000461742434889,-0.000461742
pair_0_2,0/2,2461,0.3,0.000319976805467,0.000319977
pair_0_2,0/2,2461,0.3,0.0006350880167148,0.000635088
pair_0_2,0/2,2461,0.3,0.0011813247244461,0.00118132
pair_0_2,0/2,2461,0.3,0.0001477132978519,-0.000147713
pair_0_2,0/2,2461,0.3,0.0003027407846824,-0.000302741
pair_0_2,0/2,2461,0.3,8.028235231934345e-05,8.02824e-05
pair_0_2,0/2,2461,0.3,0.0004183598543007,-0.00041836
pair_0_2,0/2,2461,0.3,0.0010283064021976,0.00102831
pair_0_2,0/2,2461,0.3,0.0001661938559908,0.000166194
pair_0_2,0/2,2461,0.3,0.0006434305237592,-0.000643431
pair_0_2,0/2,2461,0.3,0.0008119325900164,-0.000811933
pair_0_2,0/2,2461,0.3,0.0003551796046405,-0.00035518
pair_0_2,0/2,2461,0.3,0.0001252110866655,0.000125211
pair_0_2,0/2,2461,0.3,0.0002987042637937,0.000298704
pair_0_2,0/2,2461,0.3,0.0002155283300657,-0.000215528
pair_0_2,0/2,2461,0.3,0.0003480071160874,0.000348007
pair_0_2,0/2,2461,0.3,0.0008642563708519,-0.000864256
pair_0_2,0/2,2461,0.3,0.0010530643792809,0.00105306
pair_0_2,0/2,2461,0.3,0.0004351582874545,0.000435158
pair_0_2,0/2,2461,0.3,0.0002360394458102,0.000236039
pair_0_2,0/2,2461,0.3,0.000449323776406,0.000449324
pair_0_2,0/2,2461,0.3,0.0003172962711056,0.000317296
pair_0_2,0/2,2461,0.3,0.0006140712952098,-0.000614071
pair_0_2,0/2,2461,0.3,0.0003943378357295,-0.000394338
pair_0_2,0/2,2461,0.3,0.0003146745875705,0.000314675
pair_0_2,0/2,2461,0.3,0.0001301380559915,0.000130138
pair_0_2,0/2,2461,0.3,0.0002635263826664,-0.000263526
pair_0_2,0/2,2461,0.3,0.0001958076904935,0.000195808
pair_0_2,0/2,2461,0.3,0.0001396365409566,-0.000139637
pair_0_2,0/2,2461,0.35,2.71979049886729e-05,2.71979e-05
pair_0_2,0/2,2461,0.35,0.0001694682588673,0.000169468
pair_0_2,0/2,2461,0.35,0.0006305493662772,0.000630549
pair_0_2,0/2,2461,0.35,0.000357971749937,0.000357972
pair_0_2,0/2,2461,0.35,0.0001947113866178,-0.000194711
pair_0_2,0/2,2461,0.35,0.0007577687668189,-0.000757769
pair_0_2,0/2,2461,0.35,0.0002210110693546,0.000221011
pair_0_2,0/2,2461,0.35,0.0003452093545442,-0.000345209
pair_0_2,0/2,2461,0.35,0.0004555014794952,-0.000455501
pair_0_2,0/2,2461,0.35,0.0002188719369828,-0.000218872
pair_0_2,0/2,2461,0.35,1.4368641816881289e-05,1.43686e-05
pair_0_2,0/2,2461,0.35,0.0005173366587283,0.000517337
pair_0_2,0/2,2461,0.35,0.0007779689117026,0.000777969
pair_0_2,0/2,2461,0.35,0.0009715512529825,0.000971551
pair_0_2,0/2,2461,0.35,0.0009410680522534,0.000941068
pair_0_2,0/2,2461,0.35,0.0004541455827651,0.000454146
pair_0_2,0/2,2461,0.35,0.0001092413075926,-0.000109241
pair_0_2,0/2,2461,0.35,0.000364851899981,0.000364852
pair_0_2,0/2,2461,0.35,0.0004467883336658,-0.000446788
pair_0_2,0/2,2461,0.35,0.0004181223067212,-0.000418122
pair_0_2,0/2,2461,0.35,0.0001580084009718,0.000158008
pair_0_2,0/2,2461,0.35,0.0013077393227086,-0.00130774
pair_0_2,0/2,2461,0.35,0.0005548964831688,-0.000554896
pair_0_2,0/2,2461,0.35,1.9316822544069968e-05,1.93168e-05
pair_0_2,0/2,2461,0.35,0.0001632083345904,-0.000163208
pair_0_2,0/2,2461,0.35,9.891472220755488e-05,-9.89147e-05
pair_0_2,0/2,2461,0.35,0.0001858341848843,0.000185834
pair_0_2,0/2,2461,0.35,0.0004706220646757,0.000470622
pair_0_2,0/2,2461,0.35,0.0003184832070195,0.000318483
pair_0_2,0/2,2461,0.35,1.9009870865493434e-05,-1.90099e-05
pair_0_2,0/2,2461,0.4,8.574096488757201e-05,-8.5741e-05
pair_0_2,0/2,2461,0.4,0.0002175726999361,-0.000217573
pair_0_2,0/2,2461,0.4,0.0006237006614033,0.000623701
pair_0_2,0/2,2461,0.4,0.001135278311616,-0.00113528
pair_0_2,0/2,2461,0.4,0.0003652186474417,0.000365219
pair_0_2,0/2,2461,0.4,0.0004258193366864,-0.000425819
pair_0_2,0/2,2461,0.4,0.0003004562695138,-0.000300456
pair_0_2,0/2,2461,0.4,0.0006253365166955,-0.000625337
pair_0_2,0/2,2461,0.4,0.0009535716783221,-0.000953572
pair_0_2,0/2,2461,0.4,0.0002612942747928,-0.000261294
pair_0_2,0/2,2461,0.4,0.0014229021299864,0.0014229
pair_0_2,0/2,2461,0.4,0.000395204805773,-0.000395205
pair_0_2,0/2,2461,0.4,3.488814682100799e-05,-3.48881e-05
pair_0_2,0/2,2461,0.4,8.13988323956245e-05,8.13988e-05
pair_0_2,0/2,2461,0.4,0.0003252300125847,0.00032523
pair_0_2,0/2,2461,0.4,0.0006268299539036,0.00062683
pair_0_2,0/2,2461,0.4,0.0001707638895672,0.000170764
pair_0_2,0/2,2461,0.4,0.0009951875533689,0.000995188
pair_0_2,0/2,2461,0.4,0.0008599515938169,0.000859952
pair_0_2,0/2,2461,0.4,7.573998859377213e-05,7.574e-05
