beta,radius,ref_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,claim
0.05,1.07,1800,0.9314917934724717,-0.0027204239962685113,0.9342122174687402,-6.923479070503361,2.0638889149449744,pass
0.05,1.08,1800,0.922865611850776,-0.002696492493253501,0.9255621043440295,-6.86257339533016,2.046055147684478,pass
0.05,1.09,1800,0.9143908513373414,-0.0026798575539906696,0.9170707088913321,-6.820237474906254,2.0274809030296512,pass
0.05,1.1,1800,0.9060828399039178,-0.0026508625429476906,0.9087337024468655,-6.746445171801873,1.986789093414433,pass
0.05,1.11,1800,0.8979070406145883,-0.002639871720143276,0.9005469123347315,-6.718473527764638,1.9875683225152347,pass
0.05,1.12,1800,0.8898962225530397,-0.0026100923501317878,0.8925063149031714,-6.6426850310854,1.933728303385884,pass
0.05,1.13,1800,0.8820150364140369,-0.0025929925165401727,0.8846080289305771,-6.599165954594739,1.9194464983135644,pass
0.05,1.14,1800,0.8742732499110802,-0.0025750594674743004,0.8768483093785545,-6.553526344722094,1.9402456153685494,pass
0.05,1.15,1800,0.8666699559448748,-0.002553585526040049,0.8692235414709149,-6.498875163771924,1.8938305901461199,pass
0.05,1.16,1800,0.8591978167686591,-0.0025324183102651133,0.8617302350789242,-6.445004599624713,1.862084939743361,pass
0.05,1.17,1800,0.8518415698457187,-0.0025234495487703274,0.8543650193944891,-6.422179101620483,1.8879073596258313,pass
0.05,1.18,1800,0.8446314795351909,-0.0024931583390058153,0.8471246378741967,-6.345087972769799,1.8396166081901852,pass
0.05,1.19,1800,0.8375272570427479,-0.0024786863955312956,0.8400059434382792,-6.308256876627147,1.8332993789419096,pass
0.05,1.2,1800,0.8305378156272265,-0.0024680782824002146,0.8330058939096268,-6.281259228708546,1.8250730885524855,pass
0.05,1.21,1800,0.823675027773776,-0.0024465199051927566,0.8261215476789687,-6.226393158715565,1.7834124900863728,pass
0.05,1.22,1800,0.8169134739119484,-0.0024365856712910633,0.8193500595832394,-6.201110533435756,1.7785613485660732,pass
0.05,1.23,1800,0.8102795047139075,-0.0024091722710941066,0.8126886769850017,-6.1313434299345015,1.754360161629467,pass
0.05,1.24,1800,0.8037330733190707,-0.0024016627225034535,0.8061347360415742,-6.112231628771289,1.7388730774622567,pass
0.05,1.25,1800,0.7973055937825321,-0.002380064370709624,0.7996856581532417,-6.057263823455993,1.715779383654119,pass
0.05,1.26,1800,0.7909728296371313,-0.0023661169434655866,0.7933389465805969,-6.021767621119918,1.7115865792412184,pass
0.05,1.27,1800,0.7847422642943255,-0.0023499189273689922,0.7870921832216945,-5.980543670154085,1.6661040244578504,pass
0.05,1.28,1800,0.7786129042532023,-0.002330121287072793,0.7809430255402751,-5.930158675600259,1.669194864711338,pass
0.05,1.29,1800,0.7725678433466379,-0.0023213602902241322,0.774889203636862,-5.9078619386204165,1.6413246005297526,pass
0.05,1.3,1800,0.7666220602269104,-0.0023064572281296923,0.7689285174550401,-5.869933645590067,1.613343449144793,pass
0.05,1.31,1800,0.7607735250476868,-0.0022853090680017797,0.7630588341156885,-5.81611157806453,1.6085585146676302,pass
0.05,1.32,1800,0.7550027541849008,-0.002275331187487177,0.7572780853723879,-5.7907178721548656,1.600890865684805,pass
