beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.05,0.35,1800,1.250307762016845,-0.0019629616971884884,1.250307762016845,-0.0019629616971884884,0.0,1.2522707237140336,pass
0.05,0.36,1800,1.2784028548561375,-0.0020276767177294865,1.2784028548561375,-0.0020276767177294865,0.0,1.2804305315738669,pass
0.05,0.37,1800,1.3057283483169992,-0.0020903916398000025,1.3057283483169992,-0.0020903916398000025,0.0,1.3078187399567993,pass
0.05,0.38,1800,1.3323251446203659,-0.0021513637360477027,1.3323251446203659,-0.0021513637360477027,0.0,1.3344765083564136,pass
0.05,0.39,1800,1.358229461975769,-0.002212326305946964,1.358229461975769,-0.002212326305946964,0.0,1.3604417882817161,pass
0.05,0.4,1800,1.3834781407278898,-0.002271507479969297,1.3834781407278898,-0.002271507479969297,0.0,1.385749648207859,pass
0.05,0.41,1800,1.4081022630641884,-0.002330295332238628,1.4081022630641884,-0.002330295332238628,0.0,1.410432558396427,pass
0.05,0.42,1800,1.432132069305249,-0.002388572084156052,1.432132069305249,-0.002388572084156053,8.673617379884035e-19,1.4345206413894052,pass
0.05,0.43,1800,1.4555965560448874,-0.0024453369796982524,1.4555965560448874,-0.0024453369796982524,0.0,1.4580418930245855,pass
0.05,0.44,1800,1.4785214695445834,-0.0025009084951824506,1.4785214695445834,-0.0025009084951824506,0.0,1.4810223780397658,pass
0.05,0.45,1800,1.5009306765147832,-0.0025557271782784548,1.5009306765147832,-0.0025557271782784548,0.0,1.5034864036930615,pass
0.05,0.46,1800,1.5228459408720014,-0.0026107334271753954,1.5228459408720014,-0.0026107334271753954,0.0,1.5254566742991769,pass
0.05,0.47,1800,1.544290655001054,-0.002663774143754016,1.544290655001054,-0.002663774143754016,0.0,1.546954429144808,pass
0.05,0.48,1800,1.5652827673726837,-0.002716798510546995,1.5652827673726837,-0.002716798510546995,0.0,1.5679995658832306,pass
0.05,0.49,1800,1.5858413251815147,-0.002769426023428902,1.5858413251815147,-0.002769426023428902,0.0,1.5886107512049437,pass
0.05,0.5,1800,1.6059855108692773,-0.0028200094577761443,1.6059855108692773,-0.002820009457776144,-4.336808689942018e-19,1.6088055203270535,pass
0.05,0.51,1800,1.6257298236974855,-0.0028705429327040505,1.6257298236974855,-0.0028705429327040505,0.0,1.6286003666301896,pass
0.05,0.52,1800,1.6450902977674964,-0.002920524823583648,1.6450902977674964,-0.002920524823583648,0.0,1.6480108225910801,pass
0.05,0.53,1800,1.6640827714082487,-0.002968761597545127,1.6640827714082487,-0.0029687615975451274,4.336808689942018e-19,1.6670515330057938,pass
0.05,0.54,1800,1.6827182537730372,-0.00301806759539587,1.6827182537730372,-0.00301806759539587,0.0,1.685736321368433,pass
0.05,0.55,1800,1.7010132514176028,-0.0030649987413572674,1.7010132514176028,-0.0030649987413572674,0.0,1.7040782501589602,pass
