beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.05,0.34,1800,-1.082734545663774,-0.004348778068414905,-1.082734545663774,-0.004348778068414905,-1.0808247014799046,-0.002438933884545428,-1.0816839923167727,-0.0032982247214134383,-1.0804164225227946,-0.0019098441838694769,24740.2170500544,-1.0783857675953592,1800,-16.627338585940837,5.385351124407858,2.9334874666367505,-0.006533335397226262,2.9400208020339766,pass
0.05,0.35,1800,-1.0538225493718456,-0.00441292865489627,-1.0538225493718456,-0.00441292865489627,-1.0519127051879762,-0.0025030844710267927,-1.05275612993215,-0.0033465092152005446,-1.0514893302513821,-0.0019098441838694769,24740.217050054398,-1.0494096207169494,1800,-16.3520110280901,5.317027776812574,2.84959505600917,-0.006425151680978429,2.8560202076901486,pass
0.05,0.36,1800,-1.0257274565325534,-0.0044776436754372685,-1.0257274565325534,-0.0044776436754372685,-1.023817612348684,-0.0025677994915677908,-1.024643466963037,-0.0033936541059210097,-1.0233778572624161,-0.0019098441838694769,24740.217050054398,-1.0212498128571161,1800,-16.084823477070145,5.2445812979105595,2.770366146636384,-0.006320166395705361,2.7766863130320893,pass
0.05,0.37,1800,-0.9984019630716914,-0.004540358597507783,-0.9984019630716914,-0.004540358597507783,-0.9964921188878219,-0.002630514413638307,-0.9973012038135093,-0.0034395993393257,-0.9960365232338527,-0.0019098441838694769,24740.217050054398,-0.9938616044741836,1800,-15.822436613625056,5.167229634596011,2.695423669572515,-0.006217067431679786,2.701640737004195,pass
0.05,0.38,1800,-0.9718051667683247,-0.004601330693755484,-0.9718051667683247,-0.004601330693755484,-0.9698953225844553,-0.002691486509886007,-0.9706883292232577,-0.003484493148688347,-0.9694243432994144,-0.0019098441838694769,24740.217050054398,-0.9672038360745693,1800,-15.560110442846158,5.092276216345716,2.6244309358202034,-0.00611399231546018,2.6305449281356634,pass
0.05,0.39,1800,-0.9459008494129215,-0.004662293263654744,-0.9459008494129215,-0.004662293263654744,-0.943991005229052,-0.002752449079785268,-0.9447676625470094,-0.0035291063977426038,-0.9435044345571463,-0.0019098441838694769,24740.217050054398,-0.9412385561492668,1800,-15.313340854728018,5.021062711995489,2.5570780283780725,-0.0060170298053941135,2.5630950581834666,pass
0.05,0.4,1800,-0.920652170660801,-0.004721474437677078,-0.920652170660801,-0.004721474437677078,-0.9187423264769314,-0.002811630253807601,-0.9195035373073743,-0.0035728410842504445,-0.9182409497552692,-0.0019098441838694769,24740.217050054398,-0.9159306962231238,1800,-15.0675282491542,4.938811224602184,2.4930972384089767,-0.005920443319903419,2.4990176817288803,pass
0.05,0.41,1800,-0.8960280483245026,-0.004780262289946408,-0.8960280483245026,-0.004780262289946408,-0.894118204140633,-0.002870418106076933,-0.8948635899672895,-0.0036158039327334164,-0.8936016862188761,-0.0019098441838694769,24740.217050054398,-0.8912477860345561,1800,-14.83441601420169,4.877732704631694,2.4322371837981476,-0.005828847156857246,2.438066030955005,pass
0.05,0.42,1800,-0.8719982420834416,-0.004838539041863834,-0.8719982420834416,-0.004838539041863834,-0.8700883978995722,-0.002928694857994357,-0.8708181164763602,-0.0036584134347825014,-0.8695568565019587,-0.0019098441838694769,24740.217050054398,-0.8671597030415777,1800,-14.60170659104356,4.803136421205721,2.374279430472226,-0.00573740926956525,2.380016839741791,pass
0.05,0.43,1800,-0.8485337553438035,-0.004895303937406034,-0.8485337553438035,-0.004895303937406034,-0.8466239111599341,-0.0029854597535365567,-0.8473380880173855,-0.0036996366109880185,-0.8460773310081976,-0.0019098441838694769,24740.217050054398,-0.8436384514063975,1800,-14.366020144242095,4.713861281074373,2.3190228092822003,-0.005644801628385892,2.3246676109105864,pass
