rule,radius,d0,target_ref_count,observed_ref_count,missing_ref_count,finite_unit_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,missing_ref_ids
real_even_odd,1.7,0.1,90,90,0,90,1.0,0.6439348772601977,0.01609291522147132,0.0004499470461361498,False,complete,
real_even_odd,1.8,0.1,90,90,0,90,1.0,0.6302291832926412,0.017847278408725117,0.0005075770498622208,False,complete,
real_even_odd,1.9,0.1,90,90,0,90,1.0,0.6250277254916331,0.022642376574203534,0.0005038084400764211,False,complete,
real_even_odd,2.0,0.1,90,90,0,90,1.0,0.6044469405303673,0.01756688555352566,0.000502791395024379,False,complete,
real_even_odd,2.1,0.1,90,90,0,90,1.0,0.5702139834642043,0.019610126822647272,0.00043220845843073874,False,complete,
real_even_odd,2.2,0.1,90,90,0,90,1.0,0.5951726128222216,0.025837490335051266,0.0005760414459097242,False,complete,
real_even_odd,2.3,0.1,90,90,0,90,1.0,0.5974202411155864,0.019712732175695375,0.000578218525760545,False,complete,
real_even_odd,2.4,0.1,90,90,0,90,1.0,0.6185093576743812,0.02849817646544112,0.0006140632620825482,False,complete,
real_even_odd,2.5,0.1,90,90,0,90,1.0,0.6211270831719004,0.02369225235992589,0.0005801834787226832,False,complete,
teacher_nn,0.1,0.1,90,90,0,90,1.0,0.5806542668008167,0.0011458230026631087,0.0,True,complete,
teacher_nn,0.2,0.1,90,90,0,90,1.0,0.6212621030864401,0.006562255285091727,0.00016875566528587251,False,complete,
teacher_nn,0.3,0.1,90,90,0,90,1.0,0.5941702599805011,0.008127618888717032,0.0002171462601587183,False,complete,
teacher_nn,0.4,0.1,90,90,0,90,1.0,0.6364243789860148,0.0070774237681738685,0.00023416416074382496,False,complete,
teacher_nn,0.5,0.1,90,90,0,90,1.0,0.6047707590942036,0.008114465587551755,0.0002993756547197291,False,complete,
teacher_nn,0.6,0.1,90,90,0,90,1.0,0.6042703139928541,0.014515509186248289,0.0003545732361190663,False,complete,
teacher_nn,0.7,0.1,90,90,0,90,1.0,0.611746215600678,0.01249325577111689,0.00039269820057815356,False,complete,
teacher_nn,0.8,0.1,90,90,0,90,1.0,0.6157307621313445,0.017650150725705423,0.00037464572231066717,False,complete,
teacher_nn,0.9,0.1,90,90,0,90,1.0,0.5970863666481083,0.016447792553872402,0.00034132544695241016,False,complete,
teacher_nn,1.0,0.1,90,90,0,90,1.0,0.5853267950016423,0.01615434135801206,0.0003597256733930126,False,complete,
teacher_nn,1.1,0.1,90,90,0,90,1.0,0.6323424890348972,0.017263242383801506,0.0004335845871205592,False,complete,
teacher_nn,1.2,0.1,90,90,0,90,1.0,0.5847412842825941,0.014069468993723647,0.0003965212994321588,False,complete,
teacher_nn,1.3,0.1,90,90,0,90,1.0,0.6360073293766574,0.015564616333746836,0.000409988511917082,False,complete,
teacher_nn,1.4,0.1,90,90,0,90,1.0,0.5937373488192939,0.016902852320704292,0.0004517056547400067,False,complete,
teacher_nn,1.5,0.1,90,90,0,90,1.0,0.598384823165948,0.016786641708232353,0.0004467997042755975,False,complete,
