source,group,label,nmstv,ref_id,radius,d_phi_energy_direct_dd,d2_phi_energy_direct_dd2,positive_curvature,negative_curvature
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.56,-0.05357906791198104,0.39575460190503264,0.39575460190503264,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.57,-0.05053525577420769,-0.05509617320631355,0.0,0.05509617320631355
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.58,-0.05468099137610739,-0.21481062972130527,0.0,0.21481062972130527
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.59,-0.0548314683686338,0.05248876750492926,0.05248876750492926,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.6,-0.05363121602600881,0.5204177227267208,0.5204177227267208,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.61,-0.04442311391409938,0.07120734708791243,0.07120734708791243,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.62,-0.05220706908425056,-0.2670357205850933,0.0,0.2670357205850933
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.63,-0.04976382832580125,0.20014437470311375,0.20014437470311375,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.64,-0.04820418159018828,0.528671200632918,0.528671200632918,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.65,-0.03919040431314288,-0.3732263986192099,0.0,0.3732263986192099
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.66,-0.055668709562572485,-0.4278693668694471,0.0,0.4278693668694471
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.67,-0.04774779165053183,0.35604297197043966,0.35604297197043966,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.68,-0.048547850123163684,0.013205982969290542,0.013205982969290542,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.69,-0.047483671991146024,-0.009511499900558995,0.0,0.009511499900558995
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.7,-0.04873808012117489,-0.28602264936714805,0.0,0.28602264936714805
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.71,-0.053204124978489,0.5464238104717603,0.5464238104717603,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.72,-0.03780960391173968,0.6919800469021959,0.6919800469021959,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.73,-0.03936452404044506,-0.06487277604484043,0.0,0.06487277604484043
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.74,-0.03910705943263649,0.08754193577031799,0.08754193577031799,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.75,-0.0376136853250387,0.07255626278870175,0.07255626278870175,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.76,-0.03765593417686245,-0.3000319568167278,0.0,0.3000319568167278
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.77,-0.04361432446137326,0.3348147579116789,0.3348147579116789,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.78,-0.030959639018628866,0.08863282005381956,0.08863282005381956,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.79,-0.04184166806029687,-0.5803811534561394,0.0,0.5803811534561394
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.8,-0.04256726208775167,0.07567005963418572,0.07567005963418572,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.81,-0.040328266867613156,0.21626962875532163,0.21626962875532163,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.82,-0.03824186951264525,0.02297318656498204,0.02297318656498204,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.83,-0.03986880313631356,-0.6154329753043168,0.0,0.6154329753043168
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.84,-0.0505505290187316,0.11024877276354172,0.11024877276354172,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.85,-0.037663827681042726,0.7769390513755243,0.7769390513755243,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.86,-0.0350117479912211,-0.34945188184663767,0.0,0.34945188184663767
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.87,-0.044652865317975486,-0.31672723281354864,0.0,0.31672723281354864
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.88,-0.04134629264749208,0.2772286008931233,0.2772286008931233,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.89,-0.03910829330011301,0.2407152442676277,0.2407152442676277,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.9,-0.03653198776213952,0.5618154407303011,0.5618154407303011,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.3245703473792008,0,0.91,-0.02787198448550698,0.572668542127406,0.572668542127406,0.0
