beta,radius,ref_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,claim
0.05,0.65,2700,1.5350240363966008,-0.0028329985134793205,1.5378570349100802,-7.20998121680487,1.65878150175636,pass
0.05,0.66,2700,1.5117576033027005,-0.002798567442075419,1.5145561707447759,-7.122354140081941,1.6286418663725077,pass
0.05,0.67,2700,1.4891868130675794,-0.0027640416959311565,1.4919508547635105,-7.034486116144794,1.602973913657761,pass
0.05,0.68,2700,1.4672788136447525,-0.002731587372235776,1.4700104010169883,-6.95188986234005,1.5760614233625636,pass
0.05,0.69,2700,1.446006747050562,-0.002699155400962735,1.4487059024515248,-6.869350495450161,1.549608916086249,pass
0.05,0.7,2700,1.4253433455861009,-0.0026667582589735097,1.4280101038450743,-6.786899769087582,1.522163711205616,pass
0.05,0.71,2700,1.4052620315564013,-0.002635253924658039,1.4078972854810594,-6.706721238254709,1.503211599560091,pass
0.05,0.72,2700,1.3857363787875117,-0.002606777728532915,1.3883431565160447,-6.634249319116269,1.480532907880961,pass
0.05,0.73,2700,1.3667466068385856,-0.0025781502731297415,1.3693247571117153,-6.561392445115192,1.4586768141786355,pass
0.05,0.74,2700,1.3482707729754073,-0.0025495955266901325,1.3508203685020974,-6.488720615426387,1.4328538302636344,pass
0.05,0.75,2700,1.3302887088045217,-0.0025207214508811554,1.3328094302554028,-6.415236092492541,1.4042940611309662,pass
0.05,0.76,2700,1.3127806730735614,-0.0024917909942703802,1.3152724640678317,-6.341608080418117,1.381163128139758,pass
0.05,0.77,2700,1.2957238557896262,-0.002467147705895924,1.2981910034955222,-6.278890911505126,1.3638904919180046,pass
0.05,0.78,2700,1.2791077564043478,-0.002439772687385497,1.2815475290917333,-6.209221489396089,1.3461318761343564,pass
0.05,0.79,2700,1.2629104073956512,-0.0024150010746677767,1.265325408470319,-6.146177735029492,1.3221586952916495,pass
0.05,0.8,2700,1.2471180470089696,-0.0023907938554706422,1.2495088408644401,-6.0845703621727845,1.2997948179442156,pass
0.05,0.81,2700,1.2317168267995486,-0.002365978992490698,1.2340828057920394,-6.021416535888826,1.2796475752605656,pass
0.05,0.82,2700,1.2166912917060382,-0.002341723771464255,1.2190330154775024,-5.959686998376529,1.2569669238952015,pass
0.05,0.83,2700,1.2020268205813651,-0.002319050131348264,1.2043458707127135,-5.901982584281332,1.2302711214954354,pass
0.05,0.84,2700,1.1877109263358139,-0.0022974935350817587,1.1900084198708956,-5.847121046783076,1.2226401190581881,pass
0.05,0.85,2700,1.1737348694458196,-0.002273451367771213,1.1760083208135907,-5.785933730977737,1.195303890941839,pass
0.05,0.86,2700,1.1600799673448536,-0.0022538381104395947,1.1623338054552932,-5.736017991068769,1.1851686995757977,pass
0.05,0.87,2700,1.1467405209506745,-0.0022331258212245813,1.148973646771899,-5.683305215016559,1.1652665888525238,pass
0.05,0.88,2700,1.133705196783324,-0.002211931275257993,1.135917128058582,-5.629365095531592,1.1404863182266698,pass
0.05,0.89,2700,1.120962780624742,-0.0021912336354288063,1.1231540142601708,-5.576689602166312,1.1270729027034487,pass
0.05,0.9,2700,1.1085014529747301,-0.002173072238105523,1.1106745252128356,-5.5304688459785565,1.1075360523235762,pass
0.05,0.91,2700,1.0963140472374808,-0.0021552634125764285,1.0984693106500572,-5.48514538500701,1.0930453713144186,pass
