beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.05,0.89,2700,-0.12078737849357274,-0.004299351556385848,-0.12078737849357274,-0.004299351556385848,-0.11975602513648198,-0.0032679981992950824,-0.11989844526235477,-0.003410418325167882,-0.11913631019883357,-0.0010313533570907652,13360.202955421626,-0.11648802693718689,2700,-5.576689602166312,1.1270729027034487,1.120962780624742,-0.0021912336354288063,1.1231540142601708,pass
0.05,0.9,2700,-0.10964026359916175,-0.004321146965169591,-0.10964026359916175,-0.004321146965169591,-0.10860891024207098,-0.0032897936080788256,-0.1087450631301001,-0.003425946496107952,-0.10798350810057607,-0.0010313533570907652,13360.202955421626,-0.10531911663399215,2700,-5.5304688459785565,1.1075360523235762,1.1085014529747301,-0.002173072238105523,1.1106745252128356,pass
0.05,0.91,2700,-0.09861756635156199,-0.004343944121763243,-0.09861756635156199,-0.004343944121763243,-0.09758621299447123,-0.003312590764672478,-0.09771634538127544,-0.00344272315147668,-0.09695524257680897,-0.0010313533570907654,13360.202955421626,-0.09427362222979875,2700,-5.48514538500701,1.0930453713144186,1.0963140472374808,-0.0021552634125764285,1.0984693106500572,pass
0.05,0.92,2700,-0.0877136907295515,-0.004364844701674977,-0.0877136907295515,-0.004364844701674977,-0.08668233737246074,-0.0033334913445842124,-0.08680693957969168,-0.00345809355181516,-0.08604634968926145,-0.0010313533570907654,13360.202955421626,-0.08334884602787652,2700,-5.435106195531199,1.077035563948218,1.0843938251901046,-0.0021356016485387813,1.0865294268386434,pass
0.05,0.93,2700,-0.07692813205031492,-0.0043859542224873324,-0.07692813205031492,-0.0043859542224873324,-0.07589677869322416,-0.003354600865396568,-0.07601535585636401,-0.0034731780285364284,-0.0752557778032767,-0.0010313533570907654,13360.20295542163,-0.07254217782782758,2700,-5.387139000993178,1.0579420666657984,1.0727295606942038,-0.0021167540278951586,1.074846314722099,pass
0.05,0.94,2700,-0.0662582686671691,-0.0044071774849236516,-0.0662582686671691,-0.0044071774849236516,-0.06522691531007833,-0.003375824127832887,-0.06534031599287492,-0.0034892248106294676,-0.06458073459562293,-0.0010313533570907654,13360.20295542163,-0.06185109118224545,2700,-5.342907225626548,1.0437066531017365,1.0613124053036456,-0.0020993741554524744,1.063411779459098,pass
0.05,0.95,2700,-0.05570106241465955,-0.004427922563214104,-0.05570106241465955,-0.004427922563214104,-0.05466970905756879,-0.003396569206123338,-0.054779145698316586,-0.0035060058468711353,-0.054020031432768956,-0.0010313533570907654,13360.20295542163,-0.05127313985144545,2700,-5.293448978937814,1.026007634607542,1.050138030594565,-0.002079940659700516,1.0522179712542654,pass
0.05,0.96,2700,-0.04525488179393896,-0.004448927350116117,-0.04525488179393896,-0.004448927350116117,-0.044223528436848195,-0.003417573993025352,-0.044326900600712066,-0.0035209461568892196,-0.043568180264985615,-0.0010313533570907654,13360.20295542163,-0.040805954443822845,2700,-5.253235557274827,1.010505414510971,1.0391932276788705,-0.002064139708162997,1.0412573673870336,pass
0.05,0.97,2700,-0.03491590668332324,-0.00446866745302909,-0.03491590668332324,-0.00446866745302909,-0.033884553326232476,-0.0034373140959383245,-0.03398347571966701,-0.0035362364893728655,-0.03322530415379374,-0.0010313533570907654,13360.20295542163,-0.03044723923029415,2700,-5.214007382740323,0.9957118890845541,1.0284740294649877,-0.002048725887127828,1.0305227553521155,pass
0.05,0.98,2700,-0.024684310386738965,-0.004489541264629134,-0.024684310386738965,-0.004489541264629134,-0.0236529570296482,-0.0034581879075383697,-0.023746319947969552,-0.003551550825859721,-0.022988670607648976,-0.0010313533570907654,13360.20295542163,-0.02019476912210983,2700,-5.1755187399709355,0.9776182667455405,1.0179736143838776,-0.0020336026483186386,1.020007217032196,pass
0.05,0.99,2700,-0.014556349076280693,-0.004509962274195157,-0.014556349076280693,-0.004509962274195157,-0.013524995719189928,-0.0034786089171043913,-0.013613224584354799,-0.0035668377822692635,-0.012855955880402108,-0.0010313533570907654,13360.20295542163,-0.010046386802085536,2700,-5.133862455505946,0.9659767195282573,1.0076868790732667,-0.002017234756583869,1.0097041138298506,pass
0.05,1.0,2700,-0.004530039110856131,-0.004530039110856131,-0.004530039110856131,-0.004530039110856131,-0.0034986857537653657,-0.0034986857537653657,-0.003582826155642071,-0.003582826155642071,-0.0028257719575849652,-0.0010313533570907654,13360.20295542163,0.0,2700,-5.097028461630859,0.9511909151228441,0.9976043110170408,-0.0020027616745111427,0.999607072691552,pass
0.05,1.01,2700,0.005395946734081385,-0.004550474362366405,0.005395946734081385,-0.004550474362366405,0.00642730009117215,-0.00351912100527564,0.006349891185103621,-0.0035965299113441688,0.00710583630147709,-0.0010313533570907652,13360.202955421626,0.00994642109644779,2700,-5.056266477902368,0.936792450879226,0.9877232277839751,-0.0019867451779577087,0.9897099729619329,pass
0.05,1.02,2700,0.015225605013330985,-0.0045692412898050575,0.015225605013330985,-0.0045692412898050575,0.01625695837042175,-0.003537887932714292,0.01618222361997608,-0.0036126226831599633,0.01693846786956861,-0.0010313533570907652,13360.202955421626,0.019794846303136042,2700,-5.018215270001512,0.9212286532771455,0.9780351401920715,-0.0019717938192540326,0.9800069340113255,pass
0.05,1.03,2700,0.02495705357240525,-0.00459013420853346,0.02495705357240525,-0.00459013420853346,0.025988406929496017,-0.0035587808514426942,0.02591845005914118,-0.0036287377217975314,0.026674454150119688,-0.0010313533570907654,13360.202955421626,0.029547187780938712,2700,-4.982632608050331,0.9121366196019889,0.968534491164365,-0.001957812419666142,0.9704923035840312,pass
0.05,1.04,2700,0.034597119392945255,-0.0046081828710813465,0.034597119392945255,-0.0046081828710813465,0.03562847275003602,-0.0035768295139905807,0.03556257356043854,-0.0036427287035880624,0.03631812490602588,-0.0010313533570907654,13360.202955421626,0.039205302264026604,2700,-4.948074740209926,0.895776426104854,0.9592164131291301,-0.0019442336896699122,0.9611606468188,pass
0.05,1.05,2700,0.04414290536387718,-0.004628087817669041,0.04414290536387718,-0.004628087817669041,0.04517425872096795,-0.003596734460578276,0.04511360934501352,-0.003657383836532708,0.04586864092967278,-0.0010313533570907654,13360.20295542163,0.04877099318154622,2700,-4.912376959428409,0.8827419848839843,0.9500765288399664,-0.0019302070567498658,0.9520067358967162,pass
