source,group,label,nmstv,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,d_phi_energy_direct_dd_mean,d_phi_energy_direct_dd_sd,d_phi_energy_direct_dd_sem,d_phi_energy_fd_dd_mean,d_phi_energy_fd_dd_sd,d_phi_energy_fd_dd_sem,ess_fraction_min,split_logZ_per_P_diff_max,split_dlogZ_dr_per_P_diff_max,ce_replay_max_abs_diff_max
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.58,30,-0.0375024708741832,0.0019348436442728368,0.00035325250307124474,-0.04983360653238225,0.006091656433404785,0.0011121792137157558,-0.0238158007729273,0.11666002535709434,0.021299109149068414,0.5297030583059781,0.0066070904086746,0.0290060741902122,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.59,30,-0.03814549254733683,0.0018867657038577788,0.0003444747122433392,-0.04887076918946135,0.0053539654930726,0.0009774958908867109,-0.06829014999038777,0.10690725056769197,0.019518504232260623,0.6059749420939534,0.0058426606920665,0.0303628004752395,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.6,30,-0.03886827387399096,0.001714070406075064,0.0003129450088531176,-0.04957081157701196,0.005906690577121397,0.0010784092230975324,-0.07250464672477243,0.12190946302270055,0.02225752095695834,0.517399381620169,0.0070106185806431,0.0228123091687091,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.61,30,-0.039595585481832285,0.0020802950255842155,0.0003798081705927541,-0.04828135563248855,0.0067220590104391156,0.0012272744509661195,-0.06329218779191063,0.12373514073023946,0.022590842578009467,0.5783097669187606,0.0058770671111799,0.0250875254122042,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.62,30,-0.04013411762982917,0.001976791672199813,0.00036091113011739803,-0.049613898196040625,0.0050047283381231085,0.0009137342016584562,-0.020826780360804,0.11675328864179532,0.021316136617340997,0.6211596809811536,0.0049897934594701,0.0224934944806394,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.63,30,-0.040012121089048364,0.002367355542397876,0.0004322180107353981,-0.048501141726450765,0.005069610519846544,0.0009255800131618147,-0.044948294384376725,0.09520019630999017,0.017381098332633897,0.5334523346561767,0.0097264901824014,0.0158965806942226,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.64,30,-0.0410330835175167,0.002325740416862182,0.00042462016307229515,-0.04523873642275371,0.0052819250400622155,0.000964343163831151,-0.07992032649052375,0.1254655653869726,0.02290677345086143,0.6026146147991032,0.0079616111880417,0.0305261279541679,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.65,30,-0.04161052761885884,0.002169835275456999,0.0003961559088127443,-0.04738074139666099,0.005109571415983233,0.0009328758412392095,-0.03982477451748883,0.13047847883222582,0.023822002041790136,0.5419429037975778,0.0048162240602157,0.0215234196197666,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.66,30,-0.04182957900786648,0.001974352914657802,0.00036046587594471685,-0.04674014700559361,0.006595835953240322,0.001204229379064438,-0.03209835632980561,0.11715876655249516,0.02139016641676112,0.6482364569784337,0.0079329581263916,0.0282603231603896,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.67,30,-0.042252494745454956,0.0025727319089635836,0.00046971443365089426,-0.04501058731231708,0.0065633716043141796,0.001198302226990582,-0.028301427289554797,0.1418415488349826,0.025896605296130193,0.5908520685514151,0.006156718721558,0.0179159761840982,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.68,30,-0.04239560755365758,0.0026329289155672033,0.000480704853121257,-0.04579333997095006,0.00621512626026903,0.001134721616830691,-0.02389252797757598,0.12978418585221815,0.023695242066234242,0.5649708838876847,0.0076163037279618,0.0167252802087942,0.0
advanced,very_low_tv_spectral_teacher,rule: very low tv,0.32457034737920076,0.69,30,-0.04273034530500646,0.0023101130452868493,0.00042176700843018675,-0.04490298232537326,0.004610615970774786,0.0008417794570623102,-0.057545451156477946,0.1258255369225721,0.0229724949608973,0.6046681638468779,0.0072035415643043,0.024042186640527,0.0
