rule,radius,d0,delta_phi_energy,delta_phi_full,n_units,qc_pass,diagnostic_status,bootstrap_sd
low_tv_spectral_teacher,0.84,0.01,-0.12508471521987483,4.30398284682958,30,False,raw_no_claim,0.001555914645841508
low_tv_spectral_teacher,0.85,0.01,-0.12443201913368508,4.316465328451582,30,False,raw_no_claim,0.0013893503944305322
low_tv_spectral_teacher,0.86,0.01,-0.1258421852433891,4.326746584639706,30,False,raw_no_claim,0.0014834199953491212
low_tv_spectral_teacher,0.87,0.01,-0.12823930561094873,4.33590572259016,30,False,raw_no_claim,0.0013133115601492067
low_tv_spectral_teacher,0.88,0.01,-0.12961403967774657,4.345955172426012,30,False,raw_no_claim,0.0016409753217003099
low_tv_spectral_teacher,0.89,0.01,-0.13117796588225059,4.355686340537717,30,False,raw_no_claim,0.001081886380830385
low_tv_spectral_teacher,0.9,0.01,-0.132193670589825,4.365839525334467,30,False,raw_no_claim,0.0011921064618804357
low_tv_spectral_teacher,0.91,0.01,-0.13061645673958105,4.37846221301986,30,False,raw_no_claim,0.001198159571289737
low_tv_spectral_teacher,0.92,0.01,-0.1337219923577645,4.386281433259358,30,False,raw_no_claim,0.0014854275407172241
low_tv_spectral_teacher,0.93,0.01,-0.13192957098271135,4.398880502710161,30,False,raw_no_claim,0.0017683276128713362
low_tv_spectral_teacher,0.94,0.01,-0.1340485910288195,4.407452549400572,30,False,raw_no_claim,0.001502667220971649
low_tv_spectral_teacher,0.95,0.01,-0.13387627811813438,4.418202793943677,30,False,raw_no_claim,0.0013048865140291588
low_tv_spectral_teacher,0.96,0.01,-0.13663525539508015,4.425910982582244,30,False,raw_no_claim,0.001509997946204745
low_tv_spectral_teacher,0.97,0.01,-0.13690797459170084,4.435996959309036,30,False,raw_no_claim,0.0013817222409049398
low_tv_spectral_teacher,0.98,0.01,-0.1394698106574772,4.443687574259179,30,False,raw_no_claim,0.001617801558818187
low_tv_spectral_teacher,0.99,0.01,-0.1417607559120527,4.451544992426196,30,False,raw_no_claim,0.0016349262364211874
low_tv_spectral_teacher,1.0,0.01,-0.1410920482562829,4.462260068175556,30,False,raw_no_claim,0.0012960923385698425
low_tv_spectral_teacher,1.01,0.01,-0.143828217229845,4.469470301776105,30,False,raw_no_claim,0.0012843747777907723
low_tv_spectral_teacher,1.02,0.01,-0.1448705115814153,4.478276414291373,30,False,raw_no_claim,0.0015825035886475175
low_tv_spectral_teacher,1.03,0.01,-0.14536792334068957,4.487531325848982,30,False,raw_no_claim,0.0015242247295292734
low_tv_spectral_teacher,1.04,0.01,-0.14609965129477226,4.496457694392538,30,False,raw_no_claim,0.0016583722010976708
low_tv_spectral_teacher,1.05,0.01,-0.14668158283375093,4.50544143595774,30,False,raw_no_claim,0.0012213266913171398
low_tv_spectral_teacher,1.06,0.01,-0.14654354018667284,4.515054480457525,30,False,raw_no_claim,0.0015439616789868688
low_tv_spectral_teacher,1.07,0.01,-0.14894885823592233,4.522035195793903,30,False,raw_no_claim,0.0015870274348329702
low_tv_spectral_teacher,1.08,0.01,-0.14844228430396164,4.531840489907852,30,False,raw_no_claim,0.0013155445651992833
low_tv_spectral_teacher,1.09,0.01,-0.15006289315915644,4.539432897525483,30,False,raw_no_claim,0.0018564134051445758
low_tv_spectral_teacher,1.1,0.01,-0.1516901254024341,4.546934543443362,30,False,raw_no_claim,0.0018836425265213459
low_tv_spectral_teacher,1.11,0.01,-0.15282979555514375,4.554841136036972,30,False,raw_no_claim,0.0013600640947106022
low_tv_spectral_teacher,1.12,0.01,-0.15342381043856848,4.563212250405956,30,False,raw_no_claim,0.0013968554870660873
low_tv_spectral_teacher,1.13,0.01,-0.15050907924975185,4.575012419755241,30,False,raw_no_claim,0.0012074198933031783
low_tv_spectral_teacher,1.14,0.01,-0.15413853259695126,4.580190117752383,30,False,raw_no_claim,0.002008549365935808
low_tv_spectral_teacher,1.15,0.01,-0.15318398811476777,4.589874894244391,30,False,raw_no_claim,0.001502728760430797
low_tv_spectral_teacher,1.16,0.01,-0.15864239118424034,4.593071135811937,30,False,raw_no_claim,0.0021509815674977603
low_tv_spectral_teacher,1.17,0.01,-0.15680069289914417,4.6034931890226565,30,False,raw_no_claim,0.0013144800831599254
low_tv_spectral_teacher,1.18,0.01,-0.15589697495492894,4.6129042367099204,30,False,raw_no_claim,0.001550966846084763
low_tv_spectral_teacher,1.19,0.01,-0.15704910532472285,4.620187643415266,30,False,raw_no_claim,0.0015423511181007086
low_tv_spectral_teacher,1.2,0.01,-0.15762493943901826,4.627976755280343,30,False,raw_no_claim,0.0016397889987490887
low_tv_spectral_teacher,1.21,0.01,-0.16023169719386204,4.633665524065889,30,False,raw_no_claim,0.0014497313705046778
low_tv_spectral_teacher,1.22,0.01,-0.16064381066219902,4.641480660425289,30,False,raw_no_claim,0.0020830901918808204
low_tv_spectral_teacher,1.23,0.01,-0.16169189198110523,4.648592666962029,30,False,raw_no_claim,0.001312302450872649
low_tv_spectral_teacher,1.24,0.01,-0.16036780849404797,4.658010763993893,30,False,raw_no_claim,0.0020453891681188404
low_tv_spectral_teacher,1.25,0.01,-0.16251555089259684,4.66389202228128,30,False,raw_no_claim,0.0015825509590521028
low_tv_spectral_teacher,1.26,0.01,-0.16541106430788075,4.668961532771133,30,False,raw_no_claim,0.0011625474299790468
low_tv_spectral_teacher,1.27,0.01,-0.16287900982536566,4.679395645884525,30,False,raw_no_claim,0.0018929339260036425
