metric,run,beta,radius,dataset_count,mean,sem,ci95_half_width,ci95_low,ci95_high,source
phi_energy,30 dataset,0.31,0.26,30,-0.0005070892274356366,3.49635633240296e-05,7.150851610488915e-05,-0.0005785977435405257,-0.0004355807113307474,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.27,30,-0.0005165785569995101,3.545878979965487e-05,7.252136797240686e-05,-0.0005890999249719169,-0.0004440571890271032,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.28,30,-0.0005265266038341943,3.600262746584164e-05,7.363364088780033e-05,-0.0006001602447219946,-0.00045289296294639394,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.29,30,-0.0005363812300572738,3.6435694455308274e-05,7.451936233168665e-05,-0.0006109005923889605,-0.0004618618677255872,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.31,0.3,30,-0.0005464713728591862,3.6935888952152196e-05,7.554237494346349e-05,-0.0006220137478026497,-0.0004709289979157227,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.01,30,-0.0002938971805569232,2.907562004525873e-05,5.946631997995096e-05,-0.00035336350053687414,-0.00023443086057697222,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.02,30,-0.00029458934323616236,2.9154103701346137e-05,5.962683707980387e-05,-0.00035421618031596623,-0.0002349625061563585,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.03,30,-0.00029591202047587014,2.9295274431415252e-05,5.991556364154274e-05,-0.0003558275841174129,-0.0002359964568343274,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.04,30,-0.0002978603625246806,2.947638950890143e-05,6.028598556665464e-05,-0.0003581463480913352,-0.00023757437695802594,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
phi_energy,30 dataset,0.33,0.05,30,-0.0003004298698540198,2.9684694670077777e-05,6.0712017456901726e-05,-0.00036114188731092156,-0.0002397178523971181,02_dnn/05_proxy_local_entropy/raw_outputs/18_beta_cell_90_dataset_30_reference/d_0.01_to_2.50_dense/summary_tables/high_beta_curve_comparison.csv
