eta,ref_id,radius,phi_energy_raw
0.35,9,0.6,-0.1528958035705058
0.35,9,0.7,-0.1532838607308732
0.35,9,0.8,-0.150723115069881
0.35,9,0.9,-0.1553192995497501
0.35,9,1.0,-0.1581113434816284
0.4,0,0.1,-0.0230774198806334
0.4,0,0.2,-0.0860589587884142
0.4,0,0.3,-0.1370411061939719
0.4,0,0.4,-0.151086287061986
0.4,0,0.5,-0.1548744117259836
0.4,0,0.6,-0.1597138827305649
0.4,0,0.7,-0.1596993037631859
0.4,0,0.8,-0.1569615935604094
0.4,0,0.9,-0.1561754381522781
0.4,0,1.0,-0.1576500526391133
0.4,1,0.1,-0.0230211685378044
0.4,1,0.2,-0.0819725734863844
0.4,1,0.3,-0.1350383142374359
0.4,1,0.4,-0.1483569387130313
0.4,1,0.5,-0.1554395803474688
0.4,1,0.6,-0.1580582386905627
0.4,1,0.7,-0.1529313862397578
0.4,1,0.8,-0.1566184299396888
0.4,1,0.9,-0.1591198991585329
0.4,1,1.0,-0.1601627808879367
0.4,2,0.1,-0.0256024153369664
0.4,2,0.2,-0.1054344287045278
0.4,2,0.3,-0.1460176309174795
0.4,2,0.4,-0.15330700870513
0.4,2,0.5,-0.1627945384871029
0.4,2,0.6,-0.1623279229612939
0.4,2,0.7,-0.1613948586582179
0.4,2,0.8,-0.1592700003590431
0.4,2,0.9,-0.159720274309293
0.4,2,1.0,-0.1599904876023621
0.4,3,0.1,-0.0234357507508574
0.4,3,0.2,-0.0858115576376477
0.4,3,0.3,-0.1332066272254334
0.4,3,0.4,-0.1473329201764609
0.4,3,0.5,-0.161409634150009
0.4,3,0.6,-0.1487283792104234
0.4,3,0.7,-0.1562773404559101
0.4,3,0.8,-0.1584286983494719
0.4,3,0.9,-0.1621188958733737
0.4,3,1.0,-0.160819309621009
0.4,4,0.1,-0.023404219776889
0.4,4,0.2,-0.0850264804007697
0.4,4,0.3,-0.1431919879423275
0.4,4,0.4,-0.1619741223382254
0.4,4,0.5,-0.1553890067549708
0.4,4,0.6,-0.1594957243024292
0.4,4,0.7,-0.1512573398312998
0.4,4,0.8,-0.1565897611929582
0.4,4,0.9,-0.1566968318293213
0.4,4,1.0,-0.1606482197584107
0.4,5,0.1,-0.0207166459596167
0.4,5,0.2,-0.0923132860437501
0.4,5,0.3,-0.1389049894360737
0.4,5,0.4,-0.1558654988020676
0.4,5,0.5,-0.1516146004693969
0.4,5,0.6,-0.1513457888845872
0.4,5,0.7,-0.155510616226345
0.4,5,0.8,-0.1585061304117732
0.4,5,0.9,-0.1584560276135843
0.4,5,1.0,-0.1526394729505289
0.4,6,0.1,-0.0227320994285404
0.4,6,0.2,-0.0893757462615086
0.4,6,0.3,-0.1416405599968356
0.4,6,0.4,-0.1508100736429386
0.4,6,0.5,-0.1638688993369316
0.4,6,0.6,-0.1555943836326575
0.4,6,0.7,-0.1507759474221552
0.4,6,0.8,-0.1576950363641007
0.4,6,0.9,-0.1558229050207097
0.4,6,1.0,-0.1598471920295956
0.4,7,0.1,-0.0182335844881565
0.4,7,0.2,-0.0857576831486602
0.4,7,0.3,-0.1407258607813524
0.4,7,0.4,-0.1486451725922452
0.4,7,0.5,-0.1541472253672805
0.4,7,0.6,-0.1584805462109095
0.4,7,0.7,-0.156731679536515
0.4,7,0.8,-0.1562041539339392
0.4,7,0.9,-0.158236479430815
0.4,7,1.0,-0.1588773469689175
0.4,8,0.1,-0.0226441328326095
0.4,8,0.2,-0.0864300231075956
0.4,8,0.3,-0.1282980445172508
0.4,8,0.4,-0.1536004506245921
0.4,8,0.5,-0.1521410692373155
0.4,8,0.6,-0.1548177062275158
0.4,8,0.7,-0.156302368934861
0.4,8,0.8,-0.1530940478736446
0.4,8,0.9,-0.155956203502415
0.4,8,1.0,-0.1599076505868374
0.4,9,0.1,-0.020101370934919
0.4,9,0.2,-0.080319942788135
0.4,9,0.3,-0.1326694707039058
0.4,9,0.4,-0.1518911680552404
0.4,9,0.5,-0.1539664135054517
0.4,9,0.6,-0.1564736612621462
0.4,9,0.7,-0.1591366861524258
0.4,9,0.8,-0.1610111886348326
0.4,9,0.9,-0.1615945225527712
0.4,9,1.0,-0.1621795639204155
