branch,r,phi,phi_rel,Q,s,eta,A,p,t,cd,G_S,G_E,qref,alpha,beta,lambda_ref,lambda_shell
full_max_envelope,1.5,269.32263265413746,1.884318199223685,1.1364272727272728,-0.95,0.98,0.0952788702572302,0.9980555332600564,-0.2343403731185452,-0.0532688394819879,269.84149937838004,-0.1459777284990605,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.55,269.31526573084955,1.8769512759357667,1.1823363636363635,-0.95,0.98,0.094570688549178,0.998069985947976,-0.236516062142373,-0.1012383528621174,269.8377691353555,-0.1508144774047584,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.6,269.30465723659097,1.86634278167719,1.2291545454545456,-0.95,0.98,0.0934227694907884,0.998093412867535,-0.2381509005252775,-0.1492079387709396,269.83166289455374,-0.1559167104755211,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.65,269.2907325471032,1.852418092189396,1.2768818181818182,-0.95,0.98,0.0918351113417727,0.9981258140542496,-0.2392348622876701,-0.197177590459083,269.82309269492964,-0.1612975189378092,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.7,269.2733762840212,1.835061829107417,1.325518181818182,-0.95,0.98,0.0898077125769004,0.998167189539247,-0.2397535616026331,-0.2451473018693264,269.811930773338,-0.1669713020952092,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.75,269.2524256870098,1.8141112320960249,1.3750636363636364,-0.95,0.98,0.0873405718587599,0.9982175393498212,-0.2396876959065788,-0.2931170675565244,269.798002892216,-0.1729539254402621,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.8,269.22766088782646,1.78934643291268,1.4255181818181817,-0.95,0.98,0.0844336880142475,0.9982768635099132,-0.2390122487111382,-0.3410868826179161,269.781078578963,-0.1792629221972885,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.85,269.20259898495766,1.7642845300438807,1.6614795454545457,-0.95,0.98,0.087223387375337,0.9982199308698912,-0.2396712169085988,-0.2952016867187242,269.79733159384926,-0.1784708508718332,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.9,269.17442558310603,1.736111128192249,1.720286363636364,-0.95,0.98,0.0845581587587104,0.9982743232906386,-0.2390512682849781,-0.3391719106041266,269.7818151279184,-0.1849174672101272,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.95,269.142652129227,1.7043376743131944,1.780115909090909,-0.95,0.98,0.0815234590380091,0.9983362559379998,-0.2378936762871161,-0.3831421628103329,269.7635407543309,-0.1916991038383594,0.063283025272499,0.1,1.0,1.0,1.0
