branch,r,phi,phi_rel,Q,s,eta,A,p,t,cd,G_S,G_E,qref,alpha,beta,lambda_ref,lambda_shell
full_max_envelope,0.4,1617.2007963132658,0.9751013720772336,0.8789540540540539,-0.9666666666666668,0.995,0.0104082922830803,0.9999476970237032,-0.0360004354102807,0.9167505646239406,1617.7126713333105,-0.0788666633558489,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.45,1617.3155188185983,1.089823877409799,0.8619972972972973,-0.9666666666666668,0.995,0.0131299295324357,0.9999340204546108,-0.0490377734946065,0.893703794159003,1617.828817082347,-0.0804804324559911,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.5,1617.4168644686465,1.191169527457987,0.8446351351351351,-0.9666666666666668,0.995,0.0161340391620154,0.9999189244263216,-0.0621507908986905,0.8675544894514587,1617.9318355592793,-0.0822825425814523,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.55,1617.507124366458,1.28142942526938,0.8268675675675676,-0.9666666666666668,0.995,0.0194013469096116,0.999902505794424,-0.0753152656713654,0.838188553241616,1618.0240411677496,-0.0842765114116791,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.6,1617.5879555766835,1.362260635495204,0.8086945945945947,-0.9666666666666668,0.995,0.0229081605716501,0.999884883615218,-0.0885040596752156,0.8054796522297235,1618.1071165240005,-0.0864667853431735,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.65,1617.6605777406653,1.4348827994767817,0.7901162162162161,-0.9666666666666668,0.995,0.0266257517019545,0.999866202252754,-0.1016864587528025,0.769287646448516,1618.182309350046,-0.088858836696254,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.7,1617.725894933255,1.5001999920664275,0.7711324324324323,-0.9666666666666668,0.995,0.0305196111427639,0.9998466351198856,-0.1148273479502833,0.7294567467737345,1618.250554653858,-0.0914592785119758,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.75,1617.784573247185,1.5588783059965865,0.7517432432432432,-0.9666666666666668,0.995,0.0345485486066285,0.9998263892029816,-0.1278861693450174,0.6858133429004598,1618.3125526914991,-0.094276000969881,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.8,1617.8371898827515,1.6114949415630235,0.7751891891891892,-0.9666666666666668,0.995,0.0381195343254436,0.9998084445511284,-0.1391247028311468,0.6446654526306894,1618.36173335247,-0.0962479295529233,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.85,1617.8846304547278,1.6589355135392907,0.7576918918918918,-0.9666666666666668,0.995,0.0421644657208157,0.9997881182627096,-0.1515965403319438,0.594626891814999,1618.4121588327864,-0.0994320658771913,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.9,1617.9266780252249,1.700983084036352,0.7397891891891891,-0.9666666666666668,0.995,0.0461716965379101,0.9997679814244326,-0.163809275030736,0.5405059838780419,1618.4575534118403,-0.1028578559902391,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,0.95,1617.9639903837974,1.7382954426088872,0.7728297297297296,-0.9666666666666668,0.995,0.0492448473513472,0.9997525384555208,-0.1731722279951271,0.4950076526331305,1618.4897722910127,-0.1051877901194255,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.0,1617.996815364463,1.771120423274397,0.7568189189189188,-0.9666666666666668,0.995,0.0528863737124624,0.999734239328078,-0.1843973660188879,0.4349767002147697,1618.525442781151,-0.1090232573589371,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.05,1618.0252081060655,1.7995131648769984,0.7951297297297297,-0.9666666666666668,0.995,0.0553890972833393,0.999721662827722,-0.1923028563301355,0.3883757788434767,1618.5485613086255,-0.1116333990005608,0.063283025272499,0.1,1.0,1.0,1.0
full_max_envelope,1.1,1618.0494182683617,1.823723327173184,0.7747945945945947,-0.9666666666666668,0.995,0.0585139982927931,0.999705959807574,-0.2026116816889372,0.3208242922483538,1618.5760029279418,-0.1160870028748392,0.063283025272499,0.1,1.0,1.0,1.0
