radius,dataset_count,phi_energy_mean,phi_energy_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,unit_count,phi_energy_sem,phi_energy_ci95_low,phi_energy_ci95_high
1.1,33,-0.004691260358801187,0.0005741450798363567,29.151515151515152,5,30,962,9.994582967640996e-05,-0.00488715418496695,-0.004495366532635423
1.11,33,-0.004716873067323199,0.0005686736911975236,29.606060606060606,18,30,977,9.899338316733927e-05,-0.004910900098331184,-0.004522846036315214
1.12,33,-0.004765060889330748,0.0005787752685101779,29.151515151515152,4,30,962,0.00010075184206738138,-0.004962534499782815,-0.00456758727887868
1.13,34,-0.00476075955508548,0.0005781555653059038,28.764705882352942,1,30,978,9.915286144222986e-05,-0.004955099163512251,-0.004566419946658709
1.14,33,-0.004777986978968793,0.0005667386094785512,29.09090909090909,4,30,960,9.865652867761782e-05,-0.004971353775176924,-0.004584620182760662
1.15,33,-0.004782339617668337,0.0005770202954388401,29.575757575757574,18,30,976,0.00010044634046885753,-0.004979214444987297,-0.004585464790349376
1.16,33,-0.00481668077492516,0.0005734374757585064,29.09090909090909,3,30,960,9.982265161719309e-05,-0.005012333172094858,-0.004621028377755462
1.17,33,-0.004819040575835421,0.0005791294492948903,29.606060606060606,18,30,977,0.00010081349702816868,-0.005016635030010631,-0.004621446121660211
1.18,33,-0.004878926770379164,0.000595025115906302,29.151515151515152,4,30,962,0.00010358057741173647,-0.005081944702106167,-0.00467590883865216
1.19,34,-0.004875436609773765,0.0005763476361915114,28.764705882352942,1,30,978,9.884280415707363e-05,-0.005069168505921629,-0.004681704713625901
1.2,33,-0.004886960894991509,0.0005780542016983673,29.09090909090909,4,30,960,0.00010062632044699394,-0.005084188483067617,-0.004689733306915401
1.21,33,-0.004891326659455256,0.000582546142762852,29.575757575757574,18,30,976,0.00010140826701819059,-0.005090086862810909,-0.004692566456099602
1.22,33,-0.0049167290623889255,0.0005851423787026553,29.03030303030303,2,30,958,0.00010186021368489948,-0.005116375081211329,-0.004717083043566522
1.23,33,-0.004923183872079116,0.000587391844682365,29.575757575757574,18,30,976,0.00010225179544979943,-0.0051235973911607224,-0.004722770352997509
1.24,33,-0.00496205185787303,0.0005813022425979451,29.151515151515152,5,30,962,0.00010119173179324068,-0.005160387652187782,-0.004763716063558278
1.25,33,-0.004955777915657399,0.0005935833938896025,29.606060606060606,18,30,977,0.0001033296058225297,-0.005158303943069557,-0.00475325188824524
1.26,33,-0.004962333124969534,0.0006154575582414686,29.12121212121212,4,30,961,0.00010713740907889224,-0.005172322446764163,-0.004752343803174905
1.27,33,-0.004997514530651371,0.0005877324553914428,29.606060606060606,19,30,977,0.0001023110881636291,-0.005198044263452084,-0.004796984797850658
1.28,33,-0.005038966017197137,0.0005935971713106688,29.03030303030303,3,30,958,0.00010333200416369404,-0.005241496745357977,-0.004836435289036297
1.29,33,-0.005026800016209918,0.0005919625867466577,29.575757575757574,17,30,976,0.00010304745951432961,-0.0052287730368580036,-0.004824826995561832
1.3,33,-0.005042846609743302,0.0005933221262512774,29.151515151515152,5,30,962,0.00010328412496447298,-0.005245283494673669,-0.004840409724812935
1.31,34,-0.005115869825379422,0.0006666775982225458,28.735294117647058,1,30,977,0.00011433426484137257,-0.005339964984468513,-0.004891774666290332
1.32,33,-0.005066141854858124,0.0006088304527501146,29.151515151515152,4,30,962,0.0001059837780891862,-0.005273870059912929,-0.0048584136498033195
1.33,33,-0.0050942454868342585,0.0005965236101707885,29.606060606060606,19,30,977,0.00010384143178076134,-0.005297774693124551,-0.004890716280543966
1.34,33,-0.005138338332593126,0.0005962835042255776,29.060606060606062,4,30,959,0.000103799634700638,-0.005341785616606376,-0.004934891048579876
1.35,33,-0.005127412924030403,0.0005987759173273464,29.606060606060606,18,30,977,0.00010423350813106719,-0.0053317105999672945,-0.0049231152480935115
1.36,33,-0.005150586577686048,0.0005996703265554349,29.151515151515152,6,30,962,0.00010438920479295796,-0.005355189419080245,-0.0049459837362918506
1.37,34,-0.0051808535029982785,0.0006013274748103962,28.735294117647058,1,30,977,0.00010312681113730057,-0.005382982052827388,-0.004978724953169169
1.38,33,-0.005191857504350582,0.0005978498814789944,29.181818181818183,5,30,963,0.00010407230598125512,-0.005395839224073842,-0.0049878757846273224
1.39,34,-0.0052475685626845025,0.0006732522974526583,28.764705882352942,1,30,978,0.00011546181645707439,-0.005473873722940368,-0.005021263402428637
1.4,33,-0.005232880193876264,0.0006009163713270189,29.060606060606062,4,30,959,0.00010460611334601116,-0.005437908176034446,-0.005027852211718082
1.41,33,-0.005227787330258507,0.000608015504363861,29.606060606060606,19,30,977,0.00010584191378438229,-0.005435237481275897,-0.005020337179241118
1.42,33,-0.005233317766504833,0.000618761666784138,29.12121212121212,4,30,961,0.00010771258054902333,-0.005444434424380919,-0.005022201108628747
1.43,33,-0.005263407589821287,0.0006057135697953921,29.606060606060606,18,30,977,0.00010544119841053984,-0.005470072338705945,-0.005056742840936629
1.44,33,-0.00531067115402083,0.0006156339526664778,29.151515151515152,4,30,962,0.00010716811540692149,-0.005520720660218396,-0.005100621647823264
1.45,34,-0.005298659996165627,0.0006124015956001975,28.764705882352942,1,30,978,0.00010502600718444872,-0.005504510970247147,-0.005092809022084107
1.46,33,-0.005317157201939978,0.0006003576992705727,29.09090909090909,4,30,960,0.00010450886102397706,-0.0055219945695469735,-0.005112319834332983
1.47,33,-0.005318227727267558,0.0006114620983047807,29.575757575757574,18,30,976,0.0001064418887786487,-0.00552685382927371,-0.005109601625261406
1.48,33,-0.0053498272710121725,0.0006064166498217063,29.09090909090909,3,30,960,0.0001055635889334699,-0.005556731905321774,-0.005142922636702571
1.49,33,-0.005351190164318736,0.0006131083331804977,29.575757575757574,17,30,976,0.00010672846148696604,-0.00556037794883319,-0.005142002379804282
1.5,33,-0.005408338692448265,0.0006271988849862036,29.151515151515152,4,30,962,0.00010918131171642565,-0.005622334063412459,-0.005194343321484071
1.51,34,-0.005405845506095859,0.0006086522225190591,28.764705882352942,1,30,978,0.00010438299500586208,-0.005610436176307349,-0.005201254835884369
1.52,33,-0.005410950174883698,0.0006091625839278322,29.09090909090909,4,30,960,0.00010604159470607308,-0.005618791700507601,-0.005203108649259795
1.53,33,-0.00541478707797166,0.0006130022540621485,29.575757575757574,18,30,976,0.00010670999548269795,-0.005623938669117748,-0.005205635486825572
1.54,33,-0.00543925629731509,0.000614383997164591,29.03030303030303,2,30,958,0.00010695052608310409,-0.005648879328437974,-0.005229633266192206
1.55,33,-0.005442490507165218,0.0006187626703839984,29.575757575757574,18,30,976,0.00010771275525333455,-0.005653607507461754,-0.0052313735068686825
1.56,33,-0.005481734982662853,0.0006114645706087367,29.151515151515152,5,30,962,0.00010644231915152618,-0.005690361928199845,-0.005273108037125862
1.57,33,-0.005472641056820476,0.0006212123739021497,29.606060606060606,18,30,977,0.00010813919389956074,-0.005684593876863615,-0.005260688236777337
1.58,33,-0.005472976842400288,0.0006446336529039774,29.12121212121212,4,30,961,0.00011221631524768333,-0.005692920820285747,-0.005253032864514828
1.59,33,-0.005509736295908944,0.0006133534700134438,29.606060606060606,19,30,977,0.0001067711343322337,-0.005719007719200122,-0.005300464872617767
1.6,33,-0.0055510845368952205,0.0006203922388606115,29.03030303030303,3,30,958,0.00010799642671396264,-0.0057627575332545875,-0.0053394115405358536
1.61,33,-0.005536754647260926,0.0006191127313564765,29.575757575757574,17,30,976,0.0001077736930468651,-0.005747991085632781,-0.0053255182088890705
1.62,33,-0.005552145106302482,0.000619499864263549,29.151515151515152,5,30,962,0.00010784108423587159,-0.00576351363140479,-0.005340776581200174
1.63,34,-0.005627073678714782,0.0006997404769534258,28.735294117647058,1,30,977,0.00012000450176445683,-0.005862282502173117,-0.005391864855256447
1.64,33,-0.005569287960546223,0.0006365234018645283,29.151515151515152,4,30,962,0.00011080450175752375,-0.00578646478399097,-0.0053521111371014765
1.65,33,-0.0055980694385223085,0.0006233736036334548,29.606060606060606,19,30,977,0.0001085154157051681,-0.005810759653304438,-0.005385379223740179
1.66,33,-0.005640935155586927,0.0006179620931577011,29.060606060606062,4,30,959,0.00010757339264636919,-0.005851779005173811,-0.005430091306000043
1.67,33,-0.00562814780222219,0.0006214705134448531,29.606060606060606,18,30,977,0.00010818413022606403,-0.005840188697465275,-0.005416106906979104
