ref_id,target_failed_ref,artifact_source,artifact_path,has_replicate_summaries,replicates,n_samples_each,n_samples_total,overall_split_logZ_per_P_diff,even_odd_replicate_split_per_P_recomputed,replicate_logZ_range_per_P,replicate_quarter_logZ_range_per_P,half_split_quarter_logZ_range_per_P,replicate_split_diff_max,replicate_split_diff_median,ess_fraction_mean,ess_fraction_min,weighted_ce_mean,weighted_ce_range,logZ_weightedCE_corr,feature_kmeans2_silhouette,feature_kmeans2_delta_ce,feature_kmeans2_delta_logZ_per_P,multi_sector_score,diagnostic_status
24,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_024/r_0p8500/unit_summary.json,False,0,,,0.0008380728247487866,,,,,,,,,,,,,,,,insufficient_retained_summary
25,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_025/r_0p8500/unit_summary.json,False,0,,,0.0013837293883986737,,,,,,,,,,,,,,,,insufficient_retained_summary
26,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_026/r_0p8500/unit_summary.json,False,0,,,0.001332608267295518,,,,,,,,,,,,,,,,insufficient_retained_summary
27,True,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_027/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.005223599532885898,0.005223599532885898,0.008901174911702118,0.007035449772919016,0.007035449772919016,0.008818015867865264,0.004154154426701799,0.7729716920403772,0.6032950575041435,0.21229810814467245,0.04704191924067591,-0.43376951713489137,0.2567515551932691,0.01618484968673159,0.0045267175733088695,2.0,multi_sector_suspect
28,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_028/r_0p8500/unit_summary.json,False,0,,,0.002132519138826756,,,,,,,,,,,,,,,,insufficient_retained_summary
29,,source_sparse,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_029/r_0p8500/unit_summary.json,False,0,,,0.0029527584982012487,,,,,,,,,,,,,,,,insufficient_retained_summary
30,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_030/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0014365467332433325,0.0014365467332433325,0.00950408020277662,0.0028844754684145,0.0028844754684145112,0.006071784089098442,0.0034720821609020708,0.8004711822550727,0.6656655591305763,0.21274420051151655,0.056195757675204794,-0.8505748966782078,0.40580190317307,0.020920265597631216,0.005800122859775733,1.0,ambiguous_summary_level
31,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_031/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.002404749103812401,0.002404749103812401,0.01122820925735396,0.005038462025856798,0.005038462025856798,0.00860999588533859,0.0023344030789003625,0.805868693942769,0.6468141913970896,0.23384793405074578,0.052236407268443585,-0.7974241737060336,0.283699644205203,0.02124423199039019,0.006341745348946912,3.0,multi_sector_suspect
32,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_032/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0037773101030130914,0.0037773101030130914,0.011431347178697981,0.007958306160165607,0.007958306160165607,0.012604992791165467,0.003145100497345448,0.8646707189196408,0.6674814891575419,0.2444906887937049,0.043174846371734854,-0.726805556794325,0.4100637839854063,0.022045465000695985,0.005975233303698548,3.0,multi_sector_suspect
33,True,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_033/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.005032340321810607,0.005032340321810607,0.009512833784817334,0.007048437153404197,0.007048437153404197,0.008135414029999528,0.0024726774731566935,0.8142279414568929,0.641338244365666,0.23491439124194644,0.037150046692170924,-0.6670139326174629,0.27724805691390053,0.014859201078165823,0.00565437263273924,3.0,multi_sector_suspect
38,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_038/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.003122696507484516,0.003122696507484516,0.010168991793313866,0.006984578349692423,0.006984578349692412,0.007744824081036133,0.0035283243459927837,0.8312676284609908,0.6944425351508934,0.22513564566519095,0.048965054771037575,-0.8364344294337623,0.36085067603886667,0.025159072718000053,0.0035815041880626927,3.0,multi_sector_suspect
40,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_040/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0007192402452124484,0.0007192402452124484,0.00425911801884994,0.0016980747167922806,0.001698074716792269,0.006404955375570767,0.0027517314865307865,0.7555577922205509,0.5866672531018652,0.20738200555799832,0.029862326301355213,-0.6252283402615232,0.403139181767257,0.016303126224180037,0.0018596010010173449,0.0,ambiguous_summary_level
41,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_041/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0004802434556782324,0.0004802434556782324,0.007646027564854951,0.0018977776469139907,0.0018977776469139907,0.007966616313214258,0.0029593309711094923,0.837171280519386,0.6733628583826542,0.21319286977433102,0.03769528978720668,-0.442318546306511,0.31651530379980886,0.015944283604317627,0.003498326861728204,0.0,ambiguous_summary_level
42,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_042/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0017738977108755528,0.0017738977108755528,0.010231253432348104,0.007444389000794091,0.00744438900079408,0.006904753729989896,0.0021195659659975063,0.850321786583022,0.6374577230114088,0.2278578768779038,0.04601238106438968,-0.835845801648439,0.32552253848870155,0.01942034406793569,0.004279102853204364,3.0,multi_sector_suspect
43,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_043/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0013028790916945199,0.0013028790916945199,0.009723364477605684,0.005763952931122122,0.0057639529311221335,0.009730037092113286,0.003588851430623604,0.8126813386221828,0.513975437807217,0.23155254061942981,0.0501619113859027,-0.8431087511530442,0.3773546454712554,0.022018831881799622,0.0035167195237427863,3.0,multi_sector_suspect
44,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_044/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.00016093015741427448,0.00016093015741427448,0.00838737857932476,0.003613860777218517,0.003613860777218517,0.00698572154354608,0.0035878965639650484,0.8382417795463375,0.5662982527914731,0.23848554437075617,0.04906904067488918,-0.7771376309797939,0.31169478056852223,0.02306809105408339,0.004191446400055185,1.0,ambiguous_summary_level
46,False,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_046/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.0017338027062689968,0.0017338027062689968,0.006644896187709829,0.003270347523955167,0.0032703475239551786,0.005839859715193957,0.0015432519002114664,0.8254087052369908,0.592366720283061,0.21007075532385358,0.036426739839780786,-0.603462525606179,0.430359901467686,0.021508430848340615,0.002387034791588268,0.0,ambiguous_summary_level
49,True,targeted_pilot,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_ref30_selector_targeted_pilot/05_pool2_pm_sais_sampling/unit_summaries/split_000/low_tv_spectral_teacher/ref_049/r_0p8500/unit_summary.json,True,16,2048.0,32768.0,0.005459735346338214,0.005459735346338214,0.012009206856284474,0.0059415485650410405,0.0059415485650410405,0.008581632705636808,0.002397167670661226,0.7592843037199755,0.5819100860875993,0.2186910107549271,0.05154512449579335,-0.8430677741916259,0.4386117795211319,0.025141686234924576,0.005904969247184649,3.0,multi_sector_suspect
