ref_id,replicate_id,seed,logZ_inf_full,logZ_per_P,split0_logZ_full_proxy,split1_logZ_full_proxy,replicate_split_logZ_per_P_diff,ess_fraction,weighted_ce,weighted_error,weighted_h,smc_mean_mh_acceptance,smc_step_count
27,11,20935533,-164.10006733759906,-0.06668023865810607,-163.40692252670274,-176.3596838778628,0.005263210626233264,0.6917438852155053,0.21896613143302002,0.09368748590724899,0.6600382793025266,0.39327256944444444,68
27,12,21935536,-162.05078808369316,-0.06584753680767702,-162.49467337163927,-161.7444356488799,0.0003048507609749613,0.7665074823306334,0.19825885421473904,0.08494123033402291,0.628386998743901,0.3810858242753623,69
27,13,22935539,-160.19389545444685,-0.06509300912411493,-170.46618002051244,-159.50076556318072,0.004455674302044583,0.7615595471071244,0.20825982313739963,0.08802643176903513,0.6439496237671177,0.3933536305147059,68
27,14,23935542,-161.47926549009733,-0.06561530495331058,-160.79153501679355,-166.00709260609437,0.0021192838639987116,0.9868038111408924,0.21157315201357185,0.08835746736749264,0.6492367037734935,0.39242508162313433,68
27,15,24935545,-160.38057482371667,-0.0651688642111811,-165.83422429780796,-159.68957026393701,0.0024968118788585734,0.9999853326092696,0.19186661557867063,0.07806760226527415,0.6176463773864087,0.3932477678571429,71
33,0,9941500,-177.9200115816119,-0.07229581941552699,-185.2662678989817,-177.2271869543321,0.0032665912005890338,0.918995718671299,0.23755079910603027,0.10322573376212624,0.6771740574096917,0.3863956227022059,69
33,1,10941503,-175.6952969301793,-0.07139183134099118,-175.00216138458293,-186.3636514580896,0.004616615226942979,0.9907438494392847,0.24690319180516931,0.10635867875175228,0.6902708977310797,0.4015982824427481,68
33,2,11941506,-176.72361234348102,-0.07180967588113817,-179.95630473804442,-176.0503878776244,0.0015871259083380883,0.7453888670876108,0.23907633250274518,0.09672233108099876,0.6793252503745588,0.3971872040719697,67
33,3,12941509,-176.49489102546482,-0.07171673751542658,-178.83600383539996,-175.85104990646346,0.0012129028561302338,0.7243372726747952,0.2403063958584287,0.09455982871411038,0.6812669094398032,0.38579397490530304,67
33,4,13941512,-171.40453911390523,-0.06964832958712118,-170.71139755524695,-182.80023531923084,0.004912164877685449,0.8262645200794597,0.24230816542448463,0.0995624305478057,0.6842770983716663,0.4076096754807692,67
33,5,14941515,-173.5592045714172,-0.07052385395018984,-178.1448501907251,-172.87116901506468,0.0021429017373670923,0.7546349483514336,0.23010916818968682,0.09663635124281235,0.66611358065422,0.38364438657407407,68
33,6,15941518,-171.48667278126894,-0.0696817036900727,-170.79416045426993,-178.15595920904684,0.0029913851096208506,0.8205708932414763,0.22825805058927973,0.09701889222477988,0.6623217878794269,0.3881438078703704,71
33,7,16941521,-157.69926364311019,-0.064079343211341,-157.00612132694218,-169.23968772931258,0.004970973751471109,0.8254225989076257,0.21576555546921122,0.08800420913536268,0.6440413456985983,0.38471383759469696,67
33,8,17941524,-174.9544823093429,-0.07109080955276022,-175.95992178994638,-174.46338020198883,0.0006081030426483347,0.7427317922896437,0.2261385357480834,0.09518777847796368,0.660129613836142,0.39058909696691174,69
