rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,radius_path_id,ref_count,phi_energy_raw_mean,reference_sd_phi_energy_raw,reference_se_phi_energy_raw,delta_phi_energy_unit_mean,reference_sd_delta_phi_energy_unit,reference_se_delta_phi_energy_unit,logZ_inf_full_mean,reference_sd_logZ_inf_full,reference_se_logZ_inf_full
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.47,r_0p4700,30,-0.03171136552066499,0.0023924208302325374,0.00043679428525453273,-0.027229147023632053,0.002029091775757008,0.0003704597789434425,-78.04167054635666,5.887747663202274,1.0749507360114048
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.48,r_0p4800,30,-0.032585379668377816,0.0020450436257530903,0.00037337217496904014,-0.02810316117134487,0.001671339495634816,0.0003051434476694986,-80.19261936387792,5.032852362978349,0.9188689225988066
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.49,r_0p4900,30,-0.03292097849115699,0.0016301130038712602,0.0002976165545009318,-0.02843875999412404,0.001413679067871714,0.00025810130484873816,-81.01852806673747,4.011708102527166,0.7324343406267921
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.5,r_0p5000,30,-0.03362615199674303,0.0016334571507202835,0.0002982271093892051,-0.029143933499710093,0.0012903977188310233,0.0002355933129189868,-82.75396006398472,4.019938047922623,0.7339369162068347
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.51,r_0p5100,30,-0.03424943953461172,0.0017245599370536414,0.0003148601264313229,-0.02976722103757878,0.0015311270313808447,0.000279544271164403,-84.28787069467958,4.24414200508899,0.7748707711474817
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.52,r_0p5200,30,-0.03532292568825715,0.002197400975244292,0.0004011886940083833,-0.0308407071912242,0.0017783678693382079,0.0003246840658596454,-86.92972011880094,5.407803800076188,0.9873253759546285
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.53,r_0p5300,30,-0.03543747125244088,0.002037588928036083,0.0003720111396027111,-0.030955252755407933,0.0018638185407894043,0.00034028515262890643,-87.21161675225714,5.014506351896813,0.9155194145622743
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.54,r_0p5400,30,-0.03563662100630507,0.0016960607982639089,0.00030965691936978723,-0.031154402509272126,0.0016515540108326303,0.0003015311288903877,-87.70172429651689,4.174005624527514,0.7620656785690527
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.55,r_0p5500,30,-0.035755408257502855,0.0018889550178990942,0.00034487442447196957,-0.03127318976046991,0.0018718703759893912,0.0003417552098850221,-87.99405972171463,4.648718299049695,0.8487359586255215
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.56,r_0p5600,30,-0.03674797110444619,0.0019040153521286216,0.00034762405273232934,-0.03226575260741327,0.0018472160595689622,0.00033725396813724244,-90.43675688804224,4.685781781588564,0.8555027937742673
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.57,r_0p5700,30,-0.037669176531878276,0.0024970356220210066,0.00045589424569161634,-0.033186958034845344,0.002177887957250697,0.00039762612063501786,-92.70384344495258,6.1452046657936785,1.1219557386470644
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.58,r_0p5800,30,-0.037502470874183194,0.001934843644272837,0.00035325250307124474,-0.03302025237715025,0.001696886108871264,0.00030980759978198617,-92.29358082136496,4.7616502085554515,0.8693544100583331
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.59,r_0p5900,30,-0.03814549254733683,0.0018867657038577792,0.0003444747122433392,-0.03366327405030387,0.0016345377062063262,0.00029842439092731893,-93.87605715899608,4.643330397193975,0.8477522668308543
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.6,r_0p6000,30,-0.03886827387399095,0.0017140704060750642,0.0003129450088531176,-0.034386055376958005,0.0017453898641123157,0.00031866313340506397,-95.65482200389185,4.218327269350758,0.770157666787527
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.61,r_0p6100,30,-0.039595585481832285,0.002080295025584217,0.0003798081705927541,-0.03511336698479934,0.0016698699005131088,0.0003048751375366457,-97.44473587078937,5.119606057962785,0.9347079078287728
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.62,r_0p6200,30,-0.04013411762982917,0.0019767916721998104,0.00036091113011739803,-0.03565189913279621,0.0017399090772433577,0.00031766248320472853,-98.77006348700966,4.864884305283716,0.8882022912189134
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.63,r_0p6300,30,-0.040012121089048364,0.002367355542397876,0.0004322180107353981,-0.03552990259201541,0.0020359275511438995,0.0003717078150692555,-98.46983000014812,5.826061989841188,1.0636885244198175
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.64,r_0p6400,30,-0.04103308351751671,0.002325740416862182,0.00042462016307229515,-0.03655086502048376,0.0021894709342824485,0.00039974087323613606,-100.98241853660873,5.723647165897831,1.0449902213209186
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.65,r_0p6500,30,-0.04161052761885885,0.002169835275456997,0.0003961559088127443,-0.03712830912182589,0.001986718024132095,0.00036272342573974713,-102.40350847001172,5.339964612899669,0.9749396915881636
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.66,r_0p6600,30,-0.04182957900786648,0.0019743529146578026,0.00036046587594471685,-0.03734736051083353,0.0017966311107314634,0.00032801846228772813,-102.9425939383595,4.858882522972832,0.8871065206999444
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.67,r_0p6700,30,-0.04225249474545496,0.0025727319089635845,0.00046971443365089426,-0.037770276248422,0.002220008550441648,0.0004053162536437453,-103.98338956856472,6.331493227959355,1.155967221214846
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.68,r_0p6800,30,-0.04239560755365757,0.002632928915567201,0.000480704853121257,-0.037913389056624634,0.002533571002528848,0.0004625646630420094,-104.3355901895514,6.479638061210859,1.1830146435314093
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.69,r_0p6900,30,-0.04273034530500646,0.0023101130452868484,0.00042176700843018675,-0.038248126807973515,0.002278859304724763,0.000416060882192764,-105.15937979562099,5.6851882044509034,1.037968607746684
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.7,r_0p7000,30,-0.04354651657678714,0.002494987111496466,0.00045552024055042377,-0.0390642980797542,0.0022064176888282427,0.00040283491314988093,-107.1679772954733,6.140163281392819,1.121035311994596
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.71,r_0p7100,30,-0.04407156755621344,0.0025664091498795345,0.0004685600610588926,-0.039589349059180476,0.0022499327780298372,0.0004107796451324019,-108.46012775584138,6.315932917853548,1.1531263102659373
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.72,r_0p7200,30,-0.04473186092812951,0.0023798059402501265,0.0004344911319865953,-0.040249642431096556,0.0022467766072365365,0.00041020340981945863,-110.08510974412681,5.856702418955571,1.0692826758190128
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.73,r_0p7300,30,-0.044327734687622695,0.0029479628605271297,0.0005382219191327216,-0.03984551619058974,0.002764538460689159,0.0005047333586700205,-109.09055506623957,7.254936599757259,1.3245641429856265
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.74,r_0p7400,30,-0.04561005340330445,0.0018634550976127412,0.00034021879728682986,-0.04112783490627149,0.0015862690288434612,0.0002896117764564589,-112.24634142553234,4.58596299522495,0.8372784601228871
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.75,r_0p7500,30,-0.0457699963442256,0.002250069712063714,0.00041080464575215,-0.04128777784719264,0.0020609937847130308,0.00037628426225509097,-112.63996100313929,5.537421561388797,1.0109902331960408
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.76,r_0p7600,30,-0.04627363616513856,0.0021224065020447463,0.00038749663912184733,-0.04179141766810561,0.0018778046890909478,0.0003428386622680291,-113.8794186024061,5.223242401532102,0.9536292288788628
