rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,radius_path_id,ref_count,smc_completed_count,q95_split_logZ_per_P_diff,max_split_logZ_per_P_diff,q95_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff,q05_ess_fraction,q05_smc_min_cess_fraction,split_logZ_per_P_diff_mean,threshold_max_split_logZ_per_P_diff,qc_claim
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.42,r_0p4200,30,30,0.0026358264476156793,0.0036135403559743,0.019039538759944127,0.0265594093572917,0.6119323958219538,0.950000000000422,0.0012626300732012797,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.43,r_0p4300,30,30,0.0031062082624734896,0.0037876180638529,0.019356961265862043,0.0283905604792347,0.653975437912246,0.950000000000399,0.0013652932288446928,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.44,r_0p4400,30,30,0.003957090817796088,0.0051280558346338,0.016340404538385114,0.0171750911514666,0.59415004159713,0.9500000000002582,0.001538945250461822,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.45,r_0p4500,30,30,0.003687412961593785,0.0039246840907107,0.02127092704385911,0.0260113296458205,0.6106553297222224,0.9500000000003578,0.0017554395882676348,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.46,r_0p4600,30,30,0.004785452696923659,0.0066904259099605,0.02083056591276718,0.0318377869140286,0.6395688134080052,0.9500000000002022,0.0017899907193420247,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.47,r_0p4700,30,30,0.004638059258997438,0.0075780381397276,0.014958602264970304,0.0179725065907299,0.6589555787955996,0.9500000000002876,0.0019373443660745198,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.48,r_0p4800,30,30,0.003405855691717683,0.0052619017670998,0.020617887908252176,0.0266846902855752,0.6373804833003569,0.950000000000266,0.0014858709449932467,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.49,r_0p4900,30,30,0.004272243212495738,0.0061829048166477,0.018845139090788963,0.0256758914774648,0.6661764024211694,0.9500000000001221,0.00205570632716944,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.5,r_0p5000,30,30,0.003769012535046268,0.0049393538742589,0.023349154872231593,0.0272187517102202,0.6112139431898695,0.9500000000002344,0.0017366699319084056,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.51,r_0p5100,30,30,0.004277136629031689,0.0054659306957099,0.019967517185920398,0.0271709287699053,0.6504690725801601,0.9500000000002632,0.0022954752847700465,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.52,r_0p5200,30,30,0.0035771545958943897,0.0039001506100134,0.01819553716704521,0.0199317576351891,0.6967364448151708,0.9500000000003056,0.001237622319309613,0.004,pass
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.53,r_0p5300,30,30,0.005238580927511729,0.0077371163811746,0.02476742462681402,0.0263578243866055,0.6499372501169638,0.950000000000355,0.0017991329006728,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.54,r_0p5400,30,30,0.004372061576736983,0.0060590179308511,0.014303834057696413,0.0148837018004922,0.6018723991757805,0.9500000000002821,0.0020826874527467808,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.55,r_0p5500,30,30,0.004842193377361985,0.0058602067293065,0.016096093748400788,0.01854689729408,0.6466631852293226,0.950000000000225,0.002514333936375747,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.56,r_0p5600,30,30,0.005617417866925574,0.0070506480090199,0.020486970959308633,0.0249800103031653,0.5439609752224264,0.9500000000001583,0.00211960687349054,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.57,r_0p5700,30,30,0.003935977140156184,0.0059605742156359,0.019147708689108273,0.0231347835704033,0.62073622829609,0.9500000000000733,0.0018790621785620997,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.58,r_0p5800,30,30,0.004996555986610139,0.0066070904086746,0.022977443316814127,0.0290060741902122,0.6314194678283486,0.9500000000003849,0.002491529567558278,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.59,r_0p5900,30,30,0.0043103196102306784,0.0058426606920665,0.020337612190138556,0.0303628004752395,0.630560539622871,0.9500000000001451,0.00197586774878354,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.6,r_0p6000,30,30,0.006698465137454679,0.0070106185806431,0.018807341833373112,0.0228123091687091,0.5457285087526205,0.9500000000004677,0.002395039389481567,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.61,r_0p6100,30,30,0.004567843368497477,0.0058770671111799,0.02106875358060509,0.0250875254122042,0.6269704868293875,0.9500000000001345,0.00210688577944708,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.62,r_0p6200,30,30,0.004750095052953364,0.0049897934594701,0.02080744930233204,0.0224934944806394,0.6333525378613147,0.9500000000001306,0.0017592060866967053,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.63,r_0p6300,30,30,0.0058764580483217175,0.0097264901824014,0.014009934399479375,0.0158965806942226,0.5707428385856136,0.9500000000001122,0.002625731605370277,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.64,r_0p6400,30,30,0.004843049567385789,0.0079616111880417,0.024172193451862615,0.0305261279541679,0.6862538651372112,0.9500000000005175,0.0020089412256899314,0.004,inspect
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.65,r_0p6500,30,30,0.003856734407626605,0.0048162240602157,0.01917062765229098,0.0215234196197666,0.5600023846490223,0.9500000000006643,0.0022489108011769735,0.004,inspect
