beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.26,1.0,100,-0.001097918981021183,-0.001097918981021183,-0.001097918981021183,-0.001097918981021183,-0.0009140149744486687,-0.0009140149744486687,-0.0010584443836197531,-0.0010584443836197531,-0.000881151361198748,-0.000183904006572514,2382.3016963406753,0.0,100,-3.082537111816256,0.33392363727672125,0.9983958596810152,-0.0012112130105368392,0.999607072691552,pass
0.26,1.01,100,0.008838174633631932,-0.0011082464628158568,0.008838174633631932,-0.0011082464628158568,0.009022078640204446,-0.0009243424562433426,0.008878637231800292,-0.0010677838646474976,0.009056059447758415,-0.000183904006572514,2382.3016963406753,0.00994642109644779,100,-3.0802106434752217,0.3513535841580351,0.9884996740843395,-0.0012102988775934073,0.9897099729619329,pass
0.26,1.02,100,0.018674448904340876,-0.0011203973987951668,0.018674448904340876,-0.0011203973987951668,0.018858352910913388,-0.0009364933922226522,0.01871491578512197,-0.0010799305180140735,0.01889217686993096,-0.000183904006572514,2382.3016963406753,0.019794846303136042,100,-3.095785507332883,0.3597511646961949,0.9787905153443971,-0.0012164186669284412,0.9800069340113255,pass
0.26,1.03,100,0.028412850677887794,-0.0011343371030509187,0.028412850677887794,-0.0011343371030509187,0.028596754684460306,-0.0009504330964784049,0.028453566028830077,-0.0010936217521086357,0.02863090595090924,-0.000183904006572514,2382.3016963406753,0.029547187780938712,100,-3.0858691414081085,0.3334758454341725,0.9692797813280751,-0.0012125222559560347,0.9704923035840312,pass
0.26,1.04,100,0.03805823785754956,-0.0011470644064770436,0.03805823785754956,-0.0011470644064770436,0.03824214186412207,-0.0009631603999045295,0.03809960510319792,-0.0011056971608286842,0.03827701833986427,-0.000183904006572514,2382.3016963406753,0.039205302264026604,100,-3.0883641750107405,0.3290561735395131,0.959947144196006,-0.001213502622794004,0.9611606468188,pass
0.26,1.05,100,0.04761198639192733,-0.0011590067896188837,0.04761198639192733,-0.0011590067896188837,0.047795890398499845,-0.0009751027830463698,0.04765319717644136,-0.0011177960051048513,0.04783047203679026,-0.000183904006572514,2382.3016963406753,0.048770993181546214,100,-3.10204500636894,0.3431499909459899,0.9507878577016793,-0.0012188781950369116,0.9520067358967162,pass
0.26,1.06,100,0.05707695637407414,-0.0011690563046663296,0.05707695637407414,-0.0011690563046663296,0.05726086038064665,-0.0009851522980938157,0.05711855154243258,-0.0011274611363078838,0.05729608744646649,-0.000183904006572514,2382.3016963406753,0.058246012678740466,100,-3.092096129878004,0.33476028978882194,0.9418105712652738,-0.0012149690097752472,0.943025540275049,pass
0.26,1.07,100,0.06644917062757232,-0.0011828929156044974,0.06644917062757232,-0.0011828929156044974,0.06663307463414483,-0.0009989889090319835,0.0664902693665369,-0.0011417941766399076,0.0666677887659246,-0.000183904006572514,2382.3016963406753,0.06763206354317682,100,-3.1006136045277914,0.32280032041312373,0.9329939017105761,-0.0012183157581641616,0.9342122174687402,pass
0.26,1.08,100,0.07573586568214417,-0.001194935359235242,0.07573586568214417,-0.001194935359235242,0.07591976968871669,-0.001011031352662728,0.0757786980622852,-0.0011521029790942303,0.07595587777153369,-0.000183904006572514,2382.3016963406753,0.07693080104137942,100,-3.1095881128160805,0.3295589684599081,0.924340262256479,-0.0012218420875505227,0.9255621043440295,pass
0.26,1.09,100,0.08493620566044889,-0.001207629010371272,0.08493620566044889,-0.001207629010371272,0.08512010966702141,-0.001023725003798758,0.0849782702137877,-0.0011655644570324677,0.08515557727055614,-0.000183904006572514,2382.3016963406753,0.08614383467082017,100,-3.111838912466628,0.32039838759594136,0.915847982403133,-0.0012227264881990681,0.9170707088913321,pass
0.26,1.1,100,0.09405445659007788,-0.0012182732418288427,0.09405445659007788,-0.0012182732418288427,0.09423836059665039,-0.0010343692352563286,0.09409734251448712,-0.001175387317419599,0.09427470435548053,-0.000183904006572514,2382.3016963406753,0.09527272983190672,100,-3.1200753617178236,0.3245055483596007,0.9075077396328309,-0.0012259628140345083,0.9087337024468655,pass
0.26,1.11,100,0.10308630455950041,-0.0012327048648115059,0.10308630455950041,-0.0012327048648115059,0.10327020856607291,-0.0010488008582389917,0.10312893338133844,-0.0011900760429734746,0.10330637722887179,-0.000183904006572514,2382.3016963406753,0.10431900942431191,100,-3.1134244231181407,0.32124498007699914,0.8993235628560996,-0.0012233494786318825,0.9005469123347315,pass
0.26,1.12,100,0.11204007213233769,-0.001244083239377957,0.11204007213233769,-0.001244083239377957,0.1122239761389102,-0.0010601792328054427,0.11208349548234496,-0.0012006598893706815,0.11226089809981381,-0.000183904006572514,2382.3016963406753,0.11328415537171564,100,-3.118895044587217,0.32032265320684516,0.8912808158679701,-0.001225499035201264,0.8925063149031714,pass
0.26,1.13,100,0.12091436759486504,-0.0012552424839128407,0.12091436759486504,-0.0012552424839128407,0.12109827160143756,-0.0010713384773403264,0.12095748672615853,-0.0012121233526193596,0.12113486722380881,-0.000183904006572514,2382.3016963406753,0.12216961007877788,100,-3.095541904349775,0.3049664209615112,0.8833917059819132,-0.0012163229486639587,0.8846080289305771,pass
0.26,1.14,100,0.1297089781187618,-0.001267799705164218,0.1297089781187618,-0.001267799705164218,0.1298928821253343,-0.0010838956985917037,0.1297523676092517,-0.0012244102146743124,0.12992977811647707,-0.000183904006572514,2382.3016963406753,0.13097677782392603,100,-3.116013387682722,0.3097782524391218,0.8756239426250446,-0.0012243667535099105,0.8768483093785545,pass
0.26,1.15,100,0.13842856007526755,-0.00127846601605015,0.13842856007526755,-0.00127846601605015,0.13861246408184005,-0.0010945620094776362,0.13847224630652083,-0.001234779784796862,0.13864944037253854,-0.000183904006572514,2382.3016963406753,0.1397070260913177,100,-3.110673848040216,0.30951179250727096,0.868001272768345,-0.0012222687025698294,0.8692235414709149,pass
0.26,1.16,100,0.14707007856621757,-0.0012916082789246996,0.14707007856621757,-0.0012916082789246996,0.14725398257279007,-0.0011077042723521857,0.14711382533694906,-0.0012478615081931886,0.14729132595892894,-0.000183904006572514,2382.3016963406753,0.14836168684514225,100,-3.1194199898071857,0.2922397621112734,0.8605045297784106,-0.001225705300513629,0.8617302350789242,pass
0.26,1.17,100,0.1556382065287441,-0.0013038512204845587,0.1556382065287441,-0.0013038512204845587,0.15582211053531664,-0.0011199472139120444,0.15568211827734874,-0.00125993947187995,0.1558594870174058,-0.000183904006572514,2382.3016963406753,0.15694205774922868,100,-3.129360782046074,0.32147925323508403,0.8531354080852371,-0.0012296113092518954,0.8543650193944891,pass
0.26,1.18,100,0.16413187510053928,-0.0013175282342137837,0.16413187510053928,-0.0013175282342137837,0.1643157791071118,-0.0011336242276412702,0.16417646232336747,-0.001272941011385576,0.16435370798238735,-0.000183904006572514,2382.3016963406753,0.16544940333475305,100,-3.1281111912739514,0.2997750791983974,0.8458955175632835,-0.001229120310913144,0.8471246378741967,pass
0.26,1.19,100,0.17255632405771487,-0.0013286320609594833,0.17255632405771487,-0.0013286320609594833,0.17274022806428738,-0.0011447280543869693,0.1726005853895229,-0.0012843707291514716,0.17277801180532307,-0.000183904006572514,2382.3016963406753,0.17388495611867436,100,-3.127970633001906,0.2973364332162075,0.8387768783565496,-0.001229065081729629,0.8400059434382792,pass
0.26,1.2,100,0.1809057964237281,-0.0013441212516434094,0.1809057964237281,-0.0013441212516434094,0.1810897004303006,-0.001160217245070895,0.18095082442852872,-0.0012990932468427757,0.18112821978920865,-0.000183904006572514,2382.3016963406753,0.1822499176753715,100,-3.121441474569542,0.28780692243609973,0.8317793943125464,-0.00122649959708037,0.8330058939096268,pass
0.26,1.21,100,0.18919081303455934,-0.001354646629253955,0.18919081303455934,-0.001354646629253955,0.18937471704113185,-0.001170742622681441,0.1892358330693685,-0.0013096265944447744,0.1894133364238011,-0.000183904006572514,2382.3016963406753,0.19054545966381328,100,-3.133309518655547,0.3099316199406124,0.8248903848032691,-0.0012311628756996255,0.8261215476789687,pass
0.26,1.22,100,0.19740500516699774,-0.0013677196454581287,0.19740500516699774,-0.0013677196454581287,0.19758890917357025,-0.0011838156388856147,0.19745019898486446,-0.0013225258275914088,0.19762747762450378,-0.000183904006572514,2382.3016963406753,0.19877272481245586,100,-3.1345935297515615,0.2861524691631525,0.8181183921845158,-0.0012316673987235998,0.8193500595832394,pass
0.26,1.23,100,0.20555579311838876,-0.001377034745550585,0.20555579311838876,-0.001377034745550585,0.2057396971249613,-0.0011931307389780712,0.20560117144550571,-0.001331656418433633,0.20577861579584267,-0.000183904006572514,2382.3016963406753,0.20693282786393935,100,-3.125316419354551,0.2959539195275279,0.8114606548162966,-0.001228022168705128,0.8126886769850017,pass
0.26,1.24,100,0.21363555752687424,-0.0013912989546618294,0.21363555752687424,-0.0013912989546618294,0.21381946153344678,-0.0012073949480893153,0.21368045832127633,-0.001346398160259762,0.21385799043524215,-0.000183904006572514,2382.3016963406753,0.21502685648153608,100,-3.138920250082611,0.2962987820678919,0.8049013685562765,-0.0012333674852976861,0.8061347360415742,pass
