beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.06,1.29,100,2.552009572934888,-0.004212933988193327,2.552009572934888,-0.004212933988193327,0.0,2.5562225069230813,pass
0.06,1.3,100,2.559707714107442,-0.004233804706761955,2.559707714107442,-0.004233804706761955,0.0,2.563941518814204,pass
0.06,1.31,100,2.567356031928661,-0.0042453486791491106,2.567356031928661,-0.0042453486791491106,0.0,2.57160138060781,pass
0.06,1.32,100,2.5749369545946164,-0.004266037343645167,2.5749369545946164,-0.004266037343645167,0.0,2.5792029919382613,pass
0.06,1.33,100,2.5824640741323504,-0.0042831579380972875,2.5824640741323504,-0.0042831579380972875,0.0,2.5867472320704477,pass
0.06,1.34,100,2.589933814348809,-0.004301146161314796,2.589933814348809,-0.004301146161314796,0.0,2.594234960510124,pass
0.06,1.35,100,2.597347018592211,-0.0043199989993458,2.597347018592211,-0.0043199989993458,0.0,2.6016670175915566,pass
0.06,1.36,100,2.6047052301130122,-0.004338994930470457,2.6047052301130122,-0.004338994930470457,0.0,2.609044225043483,pass
0.06,1.37,100,2.612013927528951,-0.004353459005389587,2.612013927528951,-0.004353459005389587,0.0,2.616367386534341,pass
0.06,1.38,100,2.6192672685589016,-0.004370019638770439,2.6192672685589016,-0.004370019638770439,0.0,2.623637288197672,pass
0.06,1.39,100,2.626458739673112,-0.00439595946544509,2.626458739673112,-0.004395959465445089,-8.673617379884035e-19,2.630854699138557,pass
0.06,1.4,100,2.6336120721194725,-0.004408299802420347,2.6336120721194725,-0.004408299802420347,0.0,2.638020371921893,pass
0.06,1.41,100,2.640712960501608,-0.004422082541695397,2.640712960501608,-0.004422082541695397,0.0,2.6451350430433034,pass
0.06,1.42,100,2.6477582173050886,-0.004441216078312078,2.6477582173050886,-0.004441216078312078,0.0,2.6521994333834007,pass
0.06,1.43,100,2.654756644102014,-0.004457604544097112,2.654756644102014,-0.004457604544097112,0.0,2.659214248646111,pass
0.06,1.44,100,2.6616999831089863,-0.004480196672740023,2.6616999831089863,-0.004480196672740023,0.0,2.666180179781726,pass
0.06,1.45,100,2.6686001886178823,-0.004497714777437234,2.6686001886178823,-0.004497714777437234,0.0,2.6730979033953197,pass
0.06,1.46,100,2.67545603293893,-0.004512049202192108,2.67545603293893,-0.004512049202192108,0.0,2.679968082141122,pass
0.06,1.47,100,2.68226995218643,-0.004521412917009122,2.68226995218643,-0.004521412917009122,0.0,2.686791365103439,pass
0.06,1.48,100,2.6890233131965915,-0.004545074968067102,2.6890233131965915,-0.004545074968067103,8.673617379884035e-19,2.6935683881646586,pass
0.06,1.49,100,2.695738060618142,-0.004561713742720175,2.695738060618142,-0.004561713742720175,0.0,2.7002997743608623,pass
0.06,1.5,100,2.702409574378449,-0.004576559847100046,2.702409574378449,-0.004576559847100046,0.0,2.706986134225549,pass
0.06,1.51,100,2.7090296975614474,-0.004598368560483853,2.7090296975614474,-0.004598368560483852,-8.673617379884035e-19,2.7136280661219314,pass
0.06,1.52,100,2.7156202834665444,-0.004605873097728401,2.7156202834665444,-0.004605873097728401,0.0,2.720226156564273,pass
0.06,1.53,100,2.7221524769977976,-0.004628503530887373,2.7221524769977976,-0.004628503530887373,0.0,2.726780980528685,pass
0.06,1.54,100,2.7286476157347983,-0.004645486019001714,2.7286476157347983,-0.004645486019001714,0.0,2.7332931017538,pass
0.06,1.55,100,2.735106150284009,-0.004656922747704611,2.735106150284009,-0.004656922747704611,0.0,2.7397630730317135,pass
0.06,1.56,100,2.7415182927678123,-0.004673143721763046,2.7415182927678123,-0.004673143721763048,1.734723475976807e-18,2.746191436489575,pass
0.06,1.57,100,2.747887159705919,-0.004691564156259018,2.747887159705919,-0.004691564156259018,0.0,2.752578723862178,pass
0.06,1.58,100,2.7542161807787644,-0.004709275977129519,2.7542161807787644,-0.004709275977129521,1.734723475976807e-18,2.758925456755894,pass
0.06,1.59,100,2.76050612698362,-0.0047260199206698465,2.76050612698362,-0.0047260199206698465,0.0,2.7652321469042898,pass
0.06,1.6,100,2.7667528835025967,-0.004746412913121323,2.7667528835025967,-0.004746412913121323,0.0,2.771499296415718,pass
0.06,1.61,100,2.7729582418649716,-0.004769156148238997,2.7729582418649716,-0.004769156148238997,0.0,2.7777273980132104,pass
0.06,1.62,100,2.7791367842494927,-0.004780151017435327,2.7791367842494927,-0.004780151017435327,0.0,2.783916935266928,pass
0.06,1.63,100,2.7852727119059146,-0.004795670913555105,2.7852727119059146,-0.004795670913555105,0.0,2.7900683828194697,pass
0.06,1.64,100,2.791376707408018,-0.004805499196267985,2.791376707408018,-0.004805499196267985,0.0,2.796182206604286,pass
0.06,1.65,100,2.7974350753709425,-0.004823788686513149,2.7974350753709425,-0.004823788686513149,0.0,2.8022588640574555,pass
0.06,1.66,100,2.803462515208006,-0.004836289115055978,2.803462515208006,-0.004836289115055978,0.0,2.808298804323062,pass
0.06,1.67,100,2.809447262888925,-0.004855205563481141,2.809447262888925,-0.004855205563481141,0.0,2.814302468452406,pass
0.06,1.68,100,2.815397884695906,-0.0048724049013583156,2.815397884695906,-0.0048724049013583156,0.0,2.8202702895972642,pass
0.06,1.69,100,2.821314852726888,-0.004887840470536929,2.821314852726888,-0.004887840470536929,0.0,2.8262026931974247,pass
0.06,1.7,100,2.8271870505821353,-0.004913046580541591,2.8271870505821353,-0.004913046580541591,0.0,2.832100097162677,pass
0.06,1.71,100,2.8330417949469493,-0.0049211171025254595,2.8330417949469493,-0.0049211171025254595,0.0,2.8379629120494747,pass
0.06,1.72,100,2.838855223505911,-0.0049363177265338235,2.838855223505911,-0.0049363177265338235,0.0,2.8437915412324446,pass
0.06,1.73,100,2.8446372575967187,-0.004949123474203081,2.8446372575967187,-0.004949123474203081,0.0,2.849586381070922,pass
0.06,1.74,100,2.850373533166091,-0.0049742879046001855,2.850373533166091,-0.0049742879046001855,0.0,2.855347821070691,pass
0.06,1.75,100,2.856087478745578,-0.004988765295509736,2.856087478745578,-0.004988765295509736,0.0,2.8610762440410875,pass
0.06,1.76,100,2.8617720330174174,-0.004999993230207358,2.8617720330174174,-0.004999993230207358,0.0,2.8667720262476246,pass
0.06,1.77,100,2.867419249651776,-0.0050162879085258304,2.867419249651776,-0.0050162879085258304,0.0,2.872435537560302,pass
0.06,1.78,100,2.8730431571291604,-0.005023984468565412,2.8730431571291604,-0.005023984468565412,0.0,2.8780671415977257,pass
0.06,1.79,100,2.878624804588453,-0.005042391278748293,2.878624804588453,-0.005042391278748293,0.0,2.8836671958672015,pass
0.06,1.8,100,2.884189575372949,-0.00504647652797145,2.884189575372949,-0.00504647652797145,0.0,2.8892360519009204,pass
0.06,1.81,100,2.8896906089733445,-0.00508344641502743,2.8896906089733445,-0.00508344641502743,0.0,2.894774055388372,pass
