rule_id,rule,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0008884396248585,-0.00088844
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0010315212629276,-0.00103152
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0003729918463777,0.000372992
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0003277549335736,-0.000327755
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0002691093118392,-0.000269109
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0004980880145244,-0.000498088
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0003555952634886,0.000355595
rule_001,very_low_tv_spectral_teacher,2461,0.25,6.563105806934432e-05,6.56311e-05
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0005896442168232,-0.000589644
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0006197095257337,0.00061971
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0006087725937836,-0.000608773
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.000575741840322,-0.000575742
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0014572344870183,0.00145723
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0008782725920188,0.000878273
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0016144894493409,0.00161449
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0011802812989906,0.00118028
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0021962817927068,-0.00219628
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0009949930777051,0.000994993
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0002493639589134,-0.000249364
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0003420654545895,-0.000342065
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0014734106171593,-0.00147341
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0003117012926505,-0.000311701
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0013267080276576,0.00132671
rule_001,very_low_tv_spectral_teacher,2461,0.25,6.407754948912002e-05,6.40775e-05
rule_001,very_low_tv_spectral_teacher,2461,0.25,0.0005706201603775,0.00057062
