selector,rule,radius,selected_ref_count,observed_ref_count,missing_ref_count,missing_refs,complete,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,observed_qc_fail,qc_pass,claim_status
dense_qc_stable_ref30,teacher_nn,0.011,30,30,0,,True,1.0,0.9715936322845828,1.1780210040747758e-06,1.0290992511678887e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.012,30,30,0,,True,1.0,0.9653493167372699,2.564465626071418e-06,2.4115939851133665e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.013,30,30,0,,True,1.0,0.9583928560496958,3.009353975591806e-06,3.2283536095938836e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.014,30,30,0,,True,1.0,0.9502913878955687,3.0650565679326313e-06,5.075661811953009e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.016,30,30,0,,True,1.0,0.9277686481969266,5.85439104788857e-06,7.973829450122924e-06,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.018,30,30,0,,True,1.0,0.90442451170843,1.1446436587881355e-05,1.0594709590498938e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.02,30,30,0,,True,1.0,0.8721069111151378,1.0958252998020346e-05,1.5719849833737853e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.025,30,30,0,,True,1.0,0.7665535445777801,9.772154380623027e-06,2.6569026798315783e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.03,30,30,0,,True,1.0,0.6272283983191386,2.929327256926195e-05,4.1776774547806915e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.04,30,30,0,,True,1.0,0.6027215278920184,3.4849003033973915e-05,8.06660795850816e-05,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.05,30,30,0,,True,1.0,0.508234231569534,7.78048393214487e-05,0.00011750165127604697,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.065,30,30,0,,True,1.0,0.5796165671931784,0.00019451832107673169,0.0001869216842659847,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.08,30,30,0,,True,1.0,0.5462405246929369,8.668261214202303e-05,0.00024363971942626574,False,True,claimable_selector_radius
dense_qc_stable_ref30,teacher_nn,0.12,30,1,29,3;5;7;8;10;11;16;17;21;24;25;28;29;31;32;33;37;39;41;42,False,1.0,0.9714473667485138,0.0002151895759866181,0.0,False,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.15,30,1,29,3;5;7;8;10;11;16;17;21;24;25;28;29;31;32;33;37;39;41;42,False,1.0,0.917989507492091,0.000567478244629846,0.0,False,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.2,30,1,29,3;5;7;8;10;11;16;17;21;24;25;28;29;31;32;33;37;39;41;42,False,1.0,0.9261654779374654,0.0019082769385028431,0.0,False,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.3,30,1,29,3;5;7;8;10;11;16;17;21;24;25;28;29;31;32;33;37;39;41;42,False,1.0,0.7055666631875606,0.002596944907216163,0.0,False,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.45,30,1,29,3;5;7;8;10;11;16;17;21;24;25;28;29;31;32;33;37;39;41;42,False,1.0,0.7090257743633238,0.0007701105651306512,0.0,False,False,missing_units
dense_qc_stable_ref30,teacher_nn,0.65,30,1,29,3;5;7;8;10;11;16;17;21;24;25;28;29;31;32;33;37;39;41;42,False,1.0,0.8074850852717771,0.0011966113864005266,0.0,False,False,missing_units
