selector,rule,ref_id,radius,radius_token
dense_qc_stable_ref30,real_even_odd,9,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,9,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,9,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,9,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,9,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,13,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,13,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,13,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,13,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,13,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,13,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,15,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,15,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,15,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,15,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,15,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,15,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,16,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,16,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,16,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,16,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,16,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,16,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,21,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,21,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,21,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,21,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,21,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,21,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,22,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,22,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,22,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,22,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,22,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,22,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,24,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,24,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,24,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,24,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,24,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,24,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,26,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,26,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,26,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,26,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,26,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,26,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,27,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,27,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,27,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,27,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,27,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,27,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,30,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,30,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,30,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,30,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,30,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,30,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,33,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,33,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,33,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,33,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,33,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,33,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,34,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,34,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,34,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,34,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,34,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,34,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,36,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,36,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,36,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,36,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,36,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,36,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,37,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,37,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,37,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,37,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,37,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,37,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,38,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,38,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,38,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,38,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,38,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,38,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,40,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,40,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,40,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,40,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,40,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,40,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,42,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,42,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,42,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,42,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,42,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,42,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,43,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,43,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,43,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,43,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,43,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,43,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,45,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,45,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,45,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,45,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,45,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,45,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,46,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,46,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,46,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,46,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,46,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,46,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,48,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,48,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,48,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,48,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,48,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,48,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,49,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,49,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,49,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,49,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,49,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,49,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,50,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,50,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,50,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,50,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,50,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,50,0.65,0p6500
dense_qc_stable_ref30,real_even_odd,55,0.12,0p1200
dense_qc_stable_ref30,real_even_odd,55,0.15,0p1500
dense_qc_stable_ref30,real_even_odd,55,0.2,0p2000
dense_qc_stable_ref30,real_even_odd,55,0.3,0p3000
dense_qc_stable_ref30,real_even_odd,55,0.45,0p4500
dense_qc_stable_ref30,real_even_odd,55,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,3,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,3,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,3,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,3,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,3,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,3,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,5,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,5,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,5,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,5,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,5,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,5,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,7,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,7,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,7,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,7,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,7,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,7,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,8,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,8,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,8,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,8,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,8,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,8,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,10,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,10,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,10,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,10,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,10,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,10,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,11,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,11,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,11,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,11,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,11,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,11,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,16,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,16,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,16,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,16,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,16,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,16,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,17,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,17,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,17,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,17,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,17,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,17,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,21,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,21,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,21,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,21,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,21,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,21,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,24,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,24,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,24,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,24,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,24,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,24,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,25,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,25,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,25,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,25,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,25,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,25,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,28,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,28,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,28,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,28,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,28,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,28,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,29,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,29,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,29,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,29,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,29,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,29,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,31,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,31,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,31,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,31,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,31,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,31,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,32,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,32,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,32,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,32,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,32,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,32,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,33,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,33,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,33,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,33,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,33,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,33,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,37,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,37,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,37,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,37,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,37,0.45,0p4500
dense_qc_stable_ref30,teacher_nn,37,0.65,0p6500
dense_qc_stable_ref30,teacher_nn,39,0.12,0p1200
dense_qc_stable_ref30,teacher_nn,39,0.15,0p1500
dense_qc_stable_ref30,teacher_nn,39,0.2,0p2000
dense_qc_stable_ref30,teacher_nn,39,0.3,0p3000
dense_qc_stable_ref30,teacher_nn,39,0.45,0p4500
