N,M,dataset_id,ref_id,lambda_ref,reference_method,burn,thin,ref_norm,ref_norm_sq,min_margin,mean_margin,ce_ref,err_ref
40,4,6,9,1.0,weight_space_hit_and_run,5000,200,6.379662994386234,40.70009992194114,0.023755794548372913,0.627264230422002,1.8444692814349493,0.0
40,4,7,0,1.0,weight_space_hit_and_run,5000,200,5.502942430685785,30.282375395441974,0.17139297738153614,0.5807816206299957,1.8456885926923856,0.0
40,4,7,1,1.0,weight_space_hit_and_run,5000,200,6.284227896542683,39.49152025568527,0.19489984406371852,0.8980915933988587,1.4649752177363347,0.0
40,4,7,2,1.0,weight_space_hit_and_run,5000,200,6.058078958867393,36.700320671871836,0.1525175437526071,0.7957705337347516,1.6078454601600605,0.0
40,4,7,3,1.0,weight_space_hit_and_run,5000,200,6.0845915313377725,37.02225410322734,0.11164048339285115,0.8036394455493084,1.577170974022573,0.0
40,4,7,4,1.0,weight_space_hit_and_run,5000,200,5.631608509025271,31.715014398925835,0.0990718327259629,0.19470388739341085,2.4119928974231817,0.0
40,4,7,5,1.0,weight_space_hit_and_run,5000,200,6.604707111246436,43.62215602534925,0.2729298177347519,1.0135681246946608,1.4705592726111825,0.0
40,4,7,6,1.0,weight_space_hit_and_run,5000,200,7.465455593666883,55.73302722101215,0.6631537442972962,0.8320578787239168,1.4570004925730364,0.0
40,4,7,7,1.0,weight_space_hit_and_run,5000,200,5.296054527475238,28.04819355799097,0.053247356622402785,0.49858082295042666,1.946708263940378,0.0
40,4,7,8,1.0,weight_space_hit_and_run,5000,200,5.201699754369956,27.057680334612467,0.6689252717147552,1.1734869703082038,1.240589476404867,0.0
40,4,7,9,1.0,weight_space_hit_and_run,5000,200,4.425381357030657,19.584000155154502,0.13738960071254827,0.6689620629817716,1.7285816053411576,0.0
40,4,8,0,1.0,weight_space_hit_and_run,5000,200,6.4748223793362,41.92332484395289,0.5455519937634532,1.1986595404500135,1.1954844598187815,0.0
40,4,8,1,1.0,weight_space_hit_and_run,5000,200,6.36807023092042,40.552318465934846,0.12792557971452775,0.4706638031799103,1.977222202063937,0.0
40,4,8,2,1.0,weight_space_hit_and_run,5000,200,6.035349032514491,36.4254379442736,0.6859384154751322,1.4671399861358534,0.9761362301438445,0.0
40,4,8,3,1.0,weight_space_hit_and_run,5000,200,6.757205704619485,45.65982893454212,1.0252999779309877,1.2123932742730799,1.0591136062877242,0.0
40,4,8,4,1.0,weight_space_hit_and_run,5000,200,6.998387377365166,48.97742588366409,0.07999172960472456,0.5931073502198989,1.8990787668559252,0.0
40,4,8,5,1.0,weight_space_hit_and_run,5000,200,4.948212364905891,24.484805608207548,0.20660700227976678,0.3424399798820076,2.1513922125285787,0.0
40,4,8,6,1.0,weight_space_hit_and_run,5000,200,5.805061535647284,33.6987394326516,0.00789876018695531,0.3427798498231627,2.1777900926232254,0.0
40,4,8,7,1.0,weight_space_hit_and_run,5000,200,5.469433652649815,29.914704480738298,0.22223106148497065,0.948469213586825,1.4018120857486536,0.0
40,4,8,8,1.0,weight_space_hit_and_run,5000,200,5.08145126105712,25.821146918498997,0.21088348238096527,0.4392058110731014,2.0096189091681236,0.0
40,4,8,9,1.0,weight_space_hit_and_run,5000,200,6.399747313935163,40.956765682220336,0.04819246614671977,0.3768958657722139,2.130604523585351,0.0
40,4,9,0,1.0,weight_space_hit_and_run,5000,200,6.393448453240038,40.87618312423743,0.08242976868991275,0.7189597971823859,1.6631319471355328,0.0
40,4,9,1,1.0,weight_space_hit_and_run,5000,200,7.6292716790815405,58.20578635323567,0.19666729309768194,0.9344732071883464,1.4070936523998556,0.0
40,4,9,2,1.0,weight_space_hit_and_run,5000,200,6.161562892460412,37.96485727774512,0.4662127393407909,1.091844764227492,1.248479372485234,0.0
40,4,9,3,1.0,weight_space_hit_and_run,5000,200,6.5494774773370175,42.89565522614487,0.3485224133836483,0.96277094572691,1.3884309324398423,0.0
40,4,9,4,1.0,weight_space_hit_and_run,5000,200,6.132778476427928,37.610971840937665,0.5418506856506412,0.8861083234517486,1.399597421016577,0.0
40,4,9,5,1.0,weight_space_hit_and_run,5000,200,5.913005161481239,34.96363003970377,0.005491219398554315,0.6076573624224433,1.913121155266433,0.0
40,4,9,6,1.0,weight_space_hit_and_run,5000,200,6.55384742313541,42.95291604573865,0.07027463760467362,0.8840192440884818,1.5300927518105012,0.0
40,4,9,7,1.0,weight_space_hit_and_run,5000,200,5.8303518538687396,33.993002739910644,0.0874679231519056,0.8864244674192113,1.5207057359421232,0.0
40,4,9,8,1.0,weight_space_hit_and_run,5000,200,5.861002669121625,34.35135228745081,0.31390090649045377,0.6823921180879092,1.6581095529870986,0.0
40,4,9,9,1.0,weight_space_hit_and_run,5000,200,6.046458435145336,36.55965960794019,0.11580100530359008,0.6429511938650497,1.7693364459925207,0.0
80,8,0,0,1.0,weight_space_hit_and_run,5000,200,9.924325671589212,98.49224003576467,0.08813416816102188,0.5683563379354564,3.7883145429214187,0.0
80,8,0,1,1.0,weight_space_hit_and_run,5000,200,9.748638206816803,95.03594688740833,0.22681597325580696,1.2358450275031079,2.3480017895240755,0.0
80,8,0,2,1.0,weight_space_hit_and_run,5000,200,8.655097684072132,74.91071592083077,0.22977326490380726,0.9327509211237222,2.9227810694153695,0.0
80,8,0,3,1.0,weight_space_hit_and_run,5000,200,9.046326630205863,81.83602550037176,0.12771930321360847,0.5666126441679322,3.709771842242832,0.0
80,8,0,4,1.0,weight_space_hit_and_run,5000,200,7.974051082346828,63.58549066387662,0.17606994221500152,0.8747948843560496,3.071244691688754,0.0
80,8,0,5,1.0,weight_space_hit_and_run,5000,200,8.466235954685375,71.6771512404074,0.0953337306910487,0.6782368279327018,3.5826145151435878,0.0
80,8,0,6,1.0,weight_space_hit_and_run,5000,200,9.176673253334378,84.21133199846255,0.03157272517133396,0.8286826274897576,3.2105127125752797,0.0
80,8,0,7,1.0,weight_space_hit_and_run,5000,200,8.990320118534145,80.82585583371979,0.051794582152379774,0.838873652057033,3.209256167901466,0.0
80,8,0,8,1.0,weight_space_hit_and_run,5000,200,9.604526697622159,92.2469330853368,0.1460780777744558,0.8911783513602017,3.1287825504407474,0.0
