noise_eta,eta,ref,source_ref_id,theta_present,dataset_present,train_error,test_error,theta_norm
noise_eta_0p05,0.05,ref_006,5,True,True,0.0,0.19287109375,15.001536517067038
noise_eta_0p05,0.05,ref_007,6,True,True,0.0,0.18798828125,15.393697743260098
noise_eta_0p05,0.05,ref_008,7,True,True,0.0,0.18310546875,15.215861207607414
noise_eta_0p05,0.05,ref_009,8,True,True,0.0,0.1962890625,16.375013587634907
noise_eta_0p05,0.05,ref_010,9,True,True,0.0,0.1962890625,16.81990674073278
noise_eta_0p05,0.05,ref_011,10,True,True,0.0,0.18896484375,16.601461842711196
noise_eta_0p05,0.05,ref_012,11,True,True,0.0,0.1806640625,16.12788939680254
noise_eta_0p05,0.05,ref_013,12,True,True,0.0,0.18603515625,15.895378826922531
noise_eta_0p05,0.05,ref_014,13,True,True,0.0,0.19140625,16.797500697741928
noise_eta_0p05,0.05,ref_015,14,True,True,0.0,0.177734375,16.93989600635136
noise_eta_0p05,0.05,ref_016,15,True,True,0.0,0.18310546875,15.101705607813312
noise_eta_0p05,0.05,ref_017,16,True,True,0.0,0.1884765625,14.329091977190169
noise_eta_0p05,0.05,ref_018,17,True,True,0.0,0.17919921875,16.5567146722712
noise_eta_0p05,0.05,ref_019,18,True,True,0.0,0.1953125,16.451800101337735
noise_eta_0p05,0.05,ref_020,19,True,True,0.0,0.19873046875,17.27695177849365
noise_eta_0p05,0.05,ref_021,20,True,True,0.0,0.193359375,17.030909831183344
noise_eta_0p05,0.05,ref_022,21,True,True,0.0,0.19775390625,15.62665838015542
noise_eta_0p05,0.05,ref_023,22,True,True,0.0,0.1806640625,16.408121827990463
noise_eta_0p05,0.05,ref_024,23,True,True,0.0,0.185546875,16.87628826279215
noise_eta_0p05,0.05,ref_025,24,True,True,0.0,0.1962890625,16.761629326778415
noise_eta_0p05,0.05,ref_026,25,True,True,0.0,0.20458984375,17.094202350735085
noise_eta_0p05,0.05,ref_027,26,True,True,0.0,0.193359375,14.869275415729213
noise_eta_0p05,0.05,ref_028,27,True,True,0.0,0.1953125,16.223039737591062
noise_eta_0p05,0.05,ref_029,28,True,True,0.0,0.1953125,14.992267552659936
noise_eta_0p05,0.05,ref_030,29,True,True,0.0,0.181640625,16.311066174071012
noise_eta_0p15,0.15,ref_001,0,True,True,0.0,0.32373046875,16.390825368719
noise_eta_0p15,0.15,ref_002,1,True,True,0.0,0.33544921875,17.65460294253998
noise_eta_0p15,0.15,ref_003,2,True,True,0.0,0.31884765625,17.539036427864783
noise_eta_0p15,0.15,ref_004,3,True,True,0.0,0.30126953125,19.20060063718636
noise_eta_0p15,0.15,ref_005,4,True,True,0.0,0.32275390625,18.736074648415578
noise_eta_0p15,0.15,ref_006,5,True,True,0.0,0.318359375,17.39996307958764
noise_eta_0p15,0.15,ref_007,6,True,True,0.0,0.34375,16.9529931069656
noise_eta_0p15,0.15,ref_008,7,True,True,0.0,0.330078125,18.13815524912504
noise_eta_0p15,0.15,ref_009,8,True,True,0.0,0.2958984375,16.99548236213929
noise_eta_0p15,0.15,ref_010,9,True,True,0.0,0.32568359375,18.12983652973311
noise_eta_0p15,0.15,ref_011,10,True,True,0.0,0.326171875,17.171061647982448
noise_eta_0p15,0.15,ref_012,11,True,True,0.0,0.30029296875,16.62128192067581
noise_eta_0p15,0.15,ref_013,12,True,True,0.0,0.314453125,16.930692123226304
noise_eta_0p15,0.15,ref_014,13,True,True,0.0,0.3115234375,17.080617091388095
noise_eta_0p15,0.15,ref_015,14,True,True,0.0,0.32470703125,17.34318765299269
noise_eta_0p15,0.15,ref_016,15,True,True,0.0,0.3232421875,15.53427692894673
noise_eta_0p15,0.15,ref_017,16,True,True,0.0,0.318359375,17.97081768405171
noise_eta_0p15,0.15,ref_018,17,True,True,0.0,0.337890625,17.314142129064223
noise_eta_0p15,0.15,ref_019,18,True,True,0.0,0.31005859375,18.27111889201374
noise_eta_0p15,0.15,ref_020,19,True,True,0.0,0.31640625,18.53892518775187
noise_eta_0p15,0.15,ref_021,20,True,True,0.0,0.33349609375,16.51441579468112
noise_eta_0p15,0.15,ref_022,21,True,True,0.0,0.318359375,16.44583456062272
noise_eta_0p15,0.15,ref_023,22,True,True,0.0,0.32568359375,16.616758540942005
noise_eta_0p15,0.15,ref_024,23,True,True,0.0,0.32568359375,18.83610406654084
noise_eta_0p15,0.15,ref_025,24,True,True,0.0,0.3056640625,18.50100455329716
noise_eta_0p15,0.15,ref_026,25,True,True,0.0,0.3349609375,17.584272783874454
noise_eta_0p15,0.15,ref_027,26,True,True,0.0,0.33203125,16.317919591057038
noise_eta_0p15,0.15,ref_028,27,True,True,0.0,0.32177734375,17.502617700035803
noise_eta_0p15,0.15,ref_029,28,True,True,0.0,0.3056640625,17.73594780342206
noise_eta_0p15,0.15,ref_030,29,True,True,0.0,0.31640625,17.969581016934253
noise_eta_0p25,0.25,ref_001,0,True,True,0.0,0.41455078125,17.321359646334237
noise_eta_0p25,0.25,ref_002,1,True,True,0.0,0.42138671875,16.69722706805894
noise_eta_0p25,0.25,ref_003,2,True,True,0.0,0.4306640625,17.20858445468207
noise_eta_0p25,0.25,ref_004,3,True,True,0.0,0.416015625,19.88451887240281
noise_eta_0p25,0.25,ref_005,4,True,True,0.0,0.42822265625,19.195102745391345
noise_eta_0p25,0.25,ref_006,5,True,True,0.0,0.42822265625,17.842209690180614
noise_eta_0p25,0.25,ref_007,6,True,True,0.0,0.4072265625,18.169732588485868
noise_eta_0p25,0.25,ref_008,7,True,True,0.0,0.4130859375,18.89796421845816
noise_eta_0p25,0.25,ref_009,8,True,True,0.0,0.42578125,17.50463595168279
noise_eta_0p25,0.25,ref_010,9,True,True,0.0,0.4189453125,19.486291085441977
noise_eta_0p25,0.25,ref_011,10,True,True,0.0,0.42626953125,17.20248747823672
noise_eta_0p25,0.25,ref_012,11,True,True,0.0,0.41796875,18.23203990962285
noise_eta_0p25,0.25,ref_013,12,True,True,0.0,0.419921875,18.37355264034565
noise_eta_0p25,0.25,ref_014,13,True,True,0.0,0.4208984375,18.512277439137726
noise_eta_0p25,0.25,ref_015,14,True,True,0.0,0.39794921875,20.10973378603027
noise_eta_0p25,0.25,ref_016,15,True,True,0.0,0.42724609375,16.910599723354455
noise_eta_0p25,0.25,ref_017,16,True,True,0.0,0.41015625,16.90117965400513
noise_eta_0p25,0.25,ref_018,17,True,True,0.0,0.40576171875,18.38346910358717
noise_eta_0p25,0.25,ref_019,18,True,True,0.0,0.42236328125,18.62035890043196
noise_eta_0p25,0.25,ref_020,19,True,True,0.0,0.41357421875,19.54581985865241
noise_eta_0p25,0.25,ref_021,20,True,True,0.0,0.42236328125,17.67934935446633
noise_eta_0p25,0.25,ref_022,21,True,True,0.0,0.4130859375,17.84502009855827
noise_eta_0p25,0.25,ref_023,22,True,True,0.0,0.40673828125,17.789339734367367
noise_eta_0p25,0.25,ref_024,23,True,True,0.0,0.4248046875,17.142079204285864
noise_eta_0p25,0.25,ref_025,24,True,True,0.0,0.40478515625,18.23174469724685
noise_eta_0p25,0.25,ref_026,25,True,True,0.0,0.4111328125,15.74542051954728
noise_eta_0p25,0.25,ref_027,26,True,True,0.0,0.4150390625,17.398879697549642
noise_eta_0p25,0.25,ref_028,27,True,True,0.0,0.40771484375,18.61389676268365
noise_eta_0p25,0.25,ref_029,28,True,True,0.0,0.42138671875,18.83917514077056
noise_eta_0p25,0.25,ref_030,29,True,True,0.0,0.41796875,18.69432338839754
