beta,radius,finite_reference_coverage_pass,ess_pass,ess_fraction_pass,split_pass,bootstrap_pass,smc_completed_pass,smc_cess_pass,smc_steps_pass,claim,finite_ref_count,finite_ref_min,aggregate_ref_level_ess,aggregate_ref_level_ess_min,q05_ess_fraction,q05_ess_fraction_min,max_split_logZ_per_P_diff,max_split_logZ_per_P_diff_allowed,bootstrap_sd_phi,bootstrap_sd_phi_max,min_smc_cess_fraction,min_smc_cess_fraction_allowed,max_smc_step_count,max_smc_step_count_allowed
0.18,0.04,True,True,True,True,True,True,True,True,pass,100,100,102361.84135151377,25600.0,0.9989459544268666,0.2,1.351646205083607e-06,0.004,5.869167792455954e-07,0.012,0.9981982092984913,0.6,1.0,120.0
0.18,0.05,True,True,True,True,True,True,True,True,pass,100,100,102320.54553098395,25600.0,0.9978245055788013,0.2,1.7144518045039894e-06,0.004,1.0193610141914694e-06,0.012,0.9971203177996008,0.6,1.0,120.0
0.18,0.06,True,True,True,True,True,True,True,True,pass,100,100,102259.02581950495,25600.0,0.9964780218029823,0.2,2.4862893667191415e-06,0.004,1.3092657267532978e-06,0.012,0.9945062904888629,0.6,1.0,120.0
0.18,0.07,True,True,True,True,True,True,True,True,pass,100,100,102180.00457816626,25600.0,0.9947015393559545,0.2,2.791700054240533e-06,0.004,1.8402860138412957e-06,0.012,0.9921200544922217,0.6,1.0,120.0
0.18,0.08,True,True,True,True,True,True,True,True,pass,100,100,102078.70326540103,25600.0,0.9920551144750395,0.2,4.6791308599200294e-06,0.004,2.4579875133258272e-06,0.012,0.98824364225728,0.6,1.0,120.0
0.18,0.09,True,True,True,True,True,True,True,True,pass,100,100,101955.7986780432,25600.0,0.9896442581910595,0.2,6.972514255213313e-06,0.004,2.7499375411515607e-06,0.012,0.9851486581965404,0.6,1.0,120.0
0.18,0.1,True,True,True,True,True,True,True,True,pass,100,100,101816.02876372506,25600.0,0.9868421421586799,0.2,4.996926066119843e-06,0.004,3.368967138530151e-06,0.012,0.981428768979426,0.6,1.0,120.0
0.22,0.01,True,True,True,True,True,True,True,True,pass,100,100,102399.90223048259,25600.0,0.9999970586961197,0.2,6.565042525552239e-08,0.004,1.9369305440491158e-07,0.012,0.9999893848760647,0.6,1.0,120.0
0.22,0.02,True,True,True,True,True,True,True,True,pass,100,100,102398.58103692425,25600.0,0.9999513325953173,0.2,3.9511588810148357e-07,0.004,1.8531723457547153e-07,0.012,0.9998837295091239,0.6,1.0,120.0
0.22,0.03,True,True,True,True,True,True,True,True,pass,100,100,102393.65814563479,25600.0,0.9998093103735057,0.2,7.1594816029087e-07,0.004,2.458887691149813e-07,0.012,0.9995161929151495,0.6,1.0,120.0
0.22,0.04,True,True,True,True,True,True,True,True,pass,100,100,102382.55939477452,25600.0,0.9994590549229131,0.2,1.5939157494361105e-06,0.004,3.485384680077501e-07,0.012,0.9989120822699252,0.6,1.0,120.0
0.22,0.05,True,True,True,True,True,True,True,True,pass,100,100,102364.18670631744,25600.0,0.9989236469156803,0.2,1.29152885003651e-06,0.004,5.717763834396637e-07,0.012,0.9979098614382794,0.6,1.0,120.0
0.22,0.06,True,True,True,True,True,True,True,True,pass,100,100,102339.29468428159,25600.0,0.9982293422176978,0.2,3.0500256968812845e-06,0.004,8.114130439990243e-07,0.012,0.9966873353317917,0.6,1.0,120.0
0.22,0.07,True,True,True,True,True,True,True,True,pass,100,100,102305.99281596075,25600.0,0.9974455477600412,0.2,2.4101631734733736e-06,0.004,1.181042599111549e-06,0.012,0.9954357901933925,0.6,1.0,120.0
0.22,0.08,True,True,True,True,True,True,True,True,pass,100,100,102265.00763901776,25600.0,0.9964448143649774,0.2,4.6873159706655995e-06,0.004,1.550786715506432e-06,0.012,0.9927636919529087,0.6,1.0,120.0
0.22,0.09,True,True,True,True,True,True,True,True,pass,100,100,102214.48184643725,25600.0,0.9950717256756401,0.2,3.723211931918999e-06,0.004,1.7973684647389828e-06,0.012,0.9898337895513757,0.6,1.0,120.0
0.22,0.1,True,True,True,True,True,True,True,True,pass,100,100,102158.4602005005,25600.0,0.9940498188652676,0.2,9.249863662714798e-06,0.004,2.2809927485783484e-06,0.012,0.98613966335185,0.6,1.0,120.0
0.26,0.01,True,True,True,True,True,True,True,True,pass,100,100,102399.96605281642,25600.0,0.9999986759022087,0.2,4.668376130025258e-08,0.004,1.6033767401803786e-07,0.012,0.9999938212999058,0.6,1.0,120.0
0.26,0.02,True,True,True,True,True,True,True,True,pass,100,100,102399.39806154178,25600.0,0.9999701051060872,0.2,3.453706411190205e-07,0.004,1.843680232890863e-07,0.012,0.9999084237898493,0.6,1.0,120.0
0.26,0.03,True,True,True,True,True,True,True,True,pass,100,100,102396.93158841669,25600.0,0.9998791522785442,0.2,5.961532618432849e-07,0.004,2.3790533267907844e-07,0.012,0.9995866610866557,0.6,1.0,120.0
0.26,0.04,True,True,True,True,True,True,True,True,pass,100,100,102391.90551592316,25600.0,0.9996601853594145,0.2,6.034573977260931e-07,0.004,3.938063070482965e-07,0.012,0.9991321749162602,0.6,1.0,120.0
0.26,0.05,True,True,True,True,True,True,True,True,pass,100,100,102383.32803541022,25600.0,0.9993377067098883,0.2,1.2525099709490579e-06,0.004,4.948816303757643e-07,0.012,0.9984433733769427,0.6,1.0,120.0
0.26,0.06,True,True,True,True,True,True,True,True,pass,100,100,102370.7195197153,25600.0,0.9988552475377244,0.2,3.983789466786162e-06,0.004,6.585379315028015e-07,0.012,0.9974418268442152,0.6,1.0,120.0
0.26,0.07,True,True,True,True,True,True,True,True,pass,100,100,102352.65137257836,25600.0,0.9981820139444657,0.2,2.4104263019590626e-06,0.004,8.106598168004252e-07,0.012,0.9957732735442849,0.6,1.0,120.0
0.26,0.08,True,True,True,True,True,True,True,True,pass,100,100,102330.97302036724,25600.0,0.9974704733205024,0.2,2.3861088797889413e-06,0.004,1.0524850482173733e-06,0.012,0.9947737938790491,0.6,1.0,120.0
0.26,0.09,True,True,True,True,True,True,True,True,pass,100,100,102302.91480416038,25600.0,0.9965499299731856,0.2,2.5920284282476357e-06,0.004,1.2660961710582575e-06,0.012,0.9903873170376966,0.6,1.0,120.0
0.26,0.1,True,True,True,True,True,True,True,True,pass,100,100,102272.30422964184,25600.0,0.9954403471463368,0.2,3.712780547835214e-06,0.004,1.5059233028544372e-06,0.012,0.990853720365252,0.6,1.0,120.0
0.3,0.01,True,True,True,True,True,True,True,True,pass,100,100,102399.98517065357,25600.0,0.9999995422084782,0.2,8.86053432704765e-08,0.004,1.3135718525503695e-07,0.012,0.9999950686392332,0.6,1.0,120.0
0.3,0.02,True,True,True,True,True,True,True,True,pass,100,100,102399.75410485346,25600.0,0.9999885846830505,0.2,1.0952641496708846e-07,0.004,1.574537114549589e-07,0.012,0.9999553052516931,0.6,1.0,120.0
0.3,0.03,True,True,True,True,True,True,True,True,pass,100,100,102398.85075386385,25600.0,0.9999588256947856,0.2,3.5192044539447856e-07,0.004,1.9311101262065133e-07,0.012,0.9998520336253034,0.6,1.0,120.0
0.3,0.04,True,True,True,True,True,True,True,True,pass,100,100,102396.55644910505,25600.0,0.9998453243600691,0.2,4.853061399860019e-07,0.004,2.6210925925175923e-07,0.012,0.9997178576955245,0.6,1.0,120.0
0.3,0.05,True,True,True,True,True,True,True,True,pass,100,100,102392.7168808067,25600.0,0.9996977644869229,0.2,5.578066758883265e-07,0.004,3.4146512795159414e-07,0.012,0.9994783863227226,0.6,1.0,120.0
0.3,0.06,True,True,True,True,True,True,True,True,pass,100,100,102385.93330806127,25600.0,0.9994637325874444,0.2,1.90133963423842e-06,0.004,4.627863439012065e-07,0.012,0.9990194515179888,0.6,1.0,120.0
0.3,0.07,True,True,True,True,True,True,True,True,pass,100,100,102376.62464943189,25600.0,0.9991926890376315,0.2,1.8046184733533104e-06,0.004,6.316659320610181e-07,0.012,0.9982551442308049,0.6,1.0,120.0
0.3,0.08,True,True,True,True,True,True,True,True,pass,100,100,102364.78893690609,25600.0,0.9987838481234251,0.2,1.894443444919284e-06,0.004,6.825910684001366e-07,0.012,0.9974120778371727,0.6,1.0,120.0
0.3,0.09,True,True,True,True,True,True,True,True,pass,100,100,102348.27936335775,25600.0,0.9984001465592031,0.2,1.976625145578784e-06,0.004,8.644557121269727e-07,0.012,0.9966204142670084,0.6,1.0,120.0
0.3,0.1,True,True,True,True,True,True,True,True,pass,100,100,102328.34679757482,25600.0,0.997752797475516,0.2,2.5646756283510925e-06,0.004,1.042141150171809e-06,0.012,0.9951578361851985,0.6,1.0,120.0
0.34,0.01,True,True,True,True,True,True,True,True,pass,100,100,102399.9788238982,25600.0,0.999998910610408,0.2,3.806932941895751e-08,0.004,1.1121754284731064e-07,0.012,0.9999971926635849,0.6,1.0,120.0
0.34,0.02,True,True,True,True,True,True,True,True,pass,100,100,102399.65951798011,25600.0,0.9999854924690775,0.2,2.332617375567281e-07,0.004,1.1736628272691856e-07,0.012,0.999952895799235,0.6,1.0,120.0
0.34,0.03,True,True,True,True,True,True,True,True,pass,100,100,102398.30626196277,25600.0,0.9999295813251322,0.2,4.621233528798027e-07,0.004,1.5316621892175817e-07,0.012,0.9997895410294025,0.6,1.0,120.0
0.34,0.04,True,True,True,True,True,True,True,True,pass,100,100,102394.79665901362,25600.0,0.9997931082118008,0.2,1.2423371463730655e-06,0.004,2.1329394907275256e-07,0.012,0.9993808360951484,0.6,1.0,120.0
0.34,0.05,True,True,True,True,True,True,True,True,pass,100,100,102388.1734449624,25600.0,0.999577659841426,0.2,1.1868616127810102e-06,0.004,2.6823061651686673e-07,0.012,0.998934469497943,0.6,1.0,120.0
0.34,0.06,True,True,True,True,True,True,True,True,pass,100,100,102377.19567967496,25600.0,0.9992019038050558,0.2,1.5021117414807542e-06,0.004,3.6335532318316184e-07,0.012,0.9984010691668217,0.6,1.0,120.0
0.34,0.07,True,True,True,True,True,True,True,True,pass,100,100,102359.87152083548,25600.0,0.9986432164555206,0.2,1.6369297440892403e-06,0.004,4.388671253239158e-07,0.012,0.9973450989753306,0.6,1.0,120.0
0.34,0.08,True,True,True,True,True,True,True,True,pass,100,100,102336.66973409563,25600.0,0.9978943524143413,0.2,1.6595777910693463e-06,0.004,5.645828787881417e-07,0.012,0.9961929737461679,0.6,1.0,120.0
0.34,0.09,True,True,True,True,True,True,True,True,pass,100,100,102304.34447470489,25600.0,0.9967251618192801,0.2,2.4617528663486894e-06,0.004,6.641756287000708e-07,0.012,0.9948021347201852,0.6,1.0,120.0
0.34,0.1,True,True,True,True,True,True,True,True,pass,100,100,102263.99207881982,25600.0,0.9960429717762402,0.2,2.3594890470243117e-06,0.004,8.188863875427831e-07,0.012,0.9935720718110624,0.6,1.0,120.0
0.38,0.01,True,True,True,True,True,True,True,True,pass,100,100,102399.98754293435,25600.0,0.9999995722419577,0.2,2.7872604727723096e-08,0.004,1.2879297561914974e-07,0.012,0.9999987598394843,0.6,1.0,120.0
0.38,0.02,True,True,True,True,True,True,True,True,pass,100,100,102399.72606182135,25600.0,0.9999901749861606,0.2,2.873028035174428e-07,0.004,1.3473750738515603e-07,0.012,0.9999540590745556,0.6,1.0,120.0
0.38,0.03,True,True,True,True,True,True,True,True,pass,100,100,102398.25278110716,25600.0,0.999942255671065,0.2,3.8793907620089943e-07,0.004,1.592597692184718e-07,0.012,0.9996822196399113,0.6,1.0,120.0
0.38,0.04,True,True,True,True,True,True,True,True,pass,100,100,102393.67951542686,25600.0,0.9998142891716746,0.2,9.423818771229161e-07,0.004,2.0811350636033784e-07,0.012,0.9986601366613949,0.6,1.0,120.0
0.38,0.05,True,True,True,True,True,True,True,True,pass,100,100,102384.9435585821,25600.0,0.9995051272256797,0.2,1.7360485356685525e-06,0.004,2.8304673643445696e-07,0.012,0.99734530628922,0.6,1.0,120.0
0.38,0.06,True,True,True,True,True,True,True,True,pass,100,100,102369.32647031498,25600.0,0.9990543372848312,0.2,1.7905801990690848e-06,0.004,3.991806620482954e-07,0.012,0.9942928171728379,0.6,1.0,120.0
0.38,0.07,True,True,True,True,True,True,True,True,pass,100,100,102345.01722618734,25600.0,0.9986596510474647,0.2,2.8131897964192528e-06,0.004,5.154083465700258e-07,0.012,0.9894843938671005,0.6,1.0,120.0
0.38,0.08,True,True,True,True,True,True,True,True,pass,100,100,102313.15362593369,25600.0,0.9981485893570949,0.2,2.649214377649724e-06,0.004,6.690144594232522e-07,0.012,0.9877059393039821,0.6,1.0,120.0
0.38,0.09,True,True,True,True,True,True,True,True,pass,100,100,102259.81898390749,25600.0,0.9968673752990656,0.2,4.996785691598145e-06,0.004,8.949019711775396e-07,0.012,0.9769916070360777,0.6,1.0,120.0
0.38,0.1,True,True,True,True,True,True,True,True,pass,100,100,102199.85932165405,25600.0,0.9957031651884465,0.2,3.0554422340453303e-06,0.004,1.0003028282601033e-06,0.012,0.9721605356776354,0.6,1.0,120.0
