rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,radius_path_id,n_units,ref_count,target_ref_count,phi_energy_raw_mean,phi_energy_raw_sd,phi_energy_raw_sem,delta_phi_energy_unit_mean,delta_phi_energy_unit_sd,delta_phi_energy_unit_sem,delta_phi_full_unit_mean,delta_phi_full_unit_sd,delta_phi_full_unit_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sd,d_phi_energy_raw_dd_sem,d_delta_phi_energy_unit_dd_mean,d_delta_phi_energy_unit_dd_sd,d_delta_phi_energy_unit_dd_sem,d_delta_phi_full_unit_dd_mean,d_delta_phi_full_unit_dd_sd,d_delta_phi_full_unit_dd_sem,d_phi_energy_direct_dd_unit_mean,d_phi_energy_direct_dd_unit_sd,d_phi_energy_direct_dd_unit_sem,d_delta_phi_energy_direct_dd_unit_mean,d_delta_phi_energy_direct_dd_unit_sd,d_delta_phi_energy_direct_dd_unit_sem,logZ_inf_full_mean,logZ_inf_full_sd,logZ_inf_full_sem,dlogZ_inf_full_dr_mean,dlogZ_inf_full_dr_sd,dlogZ_inf_full_dr_sem,split_logZ_per_P_diff_mean,split_logZ_per_P_diff_sd,split_logZ_per_P_diff_sem,split_dlogZ_dr_per_P_diff_mean,split_dlogZ_dr_per_P_diff_sd,split_dlogZ_dr_per_P_diff_sem,ess_fraction_mean,ess_fraction_sd,ess_fraction_sem,smc_min_cess_fraction_mean,smc_min_cess_fraction_sd,smc_min_cess_fraction_sem,q95_split_logZ_per_P_diff,max_split_logZ_per_P_diff,q95_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff,q05_ess_fraction,q05_smc_min_cess_fraction,smc_completed_count,finite_unit_count,sampling_status,qc_claim
rule_004,random_label,random,4,0.985558573825462,0.08,r_0p0800,30,30,30,-0.017063947853853727,0.002986265641362832,0.0005452150181590185,0.010084264185238915,0.0017605489662908926,0.00032143079414330807,-0.21296861522677085,0.0017605489662909112,0.0003214307941433115,-0.42801228350721415,0.06443701443622556,0.01176453544833559,-0.42801228350721415,0.0644370144362255,0.01176453544833558,12.13260318928898,0.0644370144362256,0.011764535448335597,-0.4360901837662003,0.05217608044614341,0.009526005407518984,-0.4360901837662003,0.05217608044614341,0.009526005407518984,-41.994375668334136,7.349199743393918,1.3417741596893424,-1073.217942248619,128.40533397795892,23.443499307904222,0.0009260533268560311,0.0006819729041184558,0.00012451064773099534,0.03799979052594404,0.028353302432323226,0.0051765811073165085,0.8060303755334955,0.13104038868842077,0.02392459227629762,0.9500000000027501,2.5193434891768127e-12,4.599670863753042e-13,0.0020326437932421644,0.0023158031218123,0.09112568375063733,0.0988725318120834,0.6257491401150831,0.950000000000268,30,30,complete,pass
rule_004,random_label,random,4,0.985558573825462,0.09,r_0p0900,30,30,30,-0.021644477500156918,0.003431782865862408,0.0006265549626975222,0.005503734538935727,0.0018045917232574638,0.000329471864638411,-0.09981396904426328,0.001804591723257462,0.0003294718646384107,-0.504213209261948,0.08802744831454475,0.016071539707165423,-0.5042132092619481,0.08802744831454475,0.016071539707165423,10.648430761338544,0.08802744831454506,0.01607153970716548,-0.48570479570344316,0.049817210643762745,0.009095336673858439,-0.48570479570344316,0.049817210643762745,0.009095336673858439,-53.26705912788628,8.445617632887382,1.5419517631986013,-1195.3195022261737,122.60015539430012,22.383623554365617,0.0016126217497203666,0.001064776611627204,0.00019440072296404573,0.04317281293664154,0.03576940825463232,0.006530570589891204,0.8155435985021867,0.12391409215745884,0.022623514489138068,0.9500000000033663,2.748439632265598e-12,5.017941281776905e-13,0.0034994183638122284,0.0040748620618333,0.09768415086491364,0.1741862154933246,0.6160306145750959,0.950000000000257,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.1,r_0p1000,30,30,30,-0.027148212039092685,0.0038781294160560096,0.0007080463206994047,0.0,0.0,0.0,0.0,0.0,0.0,-0.5528156665339395,0.10488045183118222,0.019148463103090835,-0.5528156665339394,0.10488045183118219,0.019148463103090832,9.476642091224933,0.10488045183118239,0.019148463103090867,-0.5277311075421929,0.0567755163071787,0.01036574366514806,-0.5277311075421929,0.0567755163071787,0.01036574366514806,-66.81174982820724,9.54407649291384,1.7425019952412348,-1298.7462556613368,139.72454563196678,25.510095159929378,0.0013754312565516197,0.0014866741860483134,0.00027142832911976447,0.051871542648117414,0.04418269874153146,0.008066620250730632,0.7946896265325722,0.1479268586213601,0.02700762577593216,0.950000000002726,2.718158902655355e-12,4.96265648622609e-13,0.004184862865624895,0.0062017214033416,0.10931796789391637,0.2201189004841793,0.5521006022839814,0.9500000000001884,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.11,r_0p1100,30,30,30,-0.03270079083083572,0.0046108800887571895,0.0008418276781879117,-0.005552578791742974,0.002143230817878103,0.00039129862163069445,0.08971887278023537,0.0021432308178781115,0.000391298621630696,-0.5785483434385991,0.11877196569233482,0.021684694936307158,-0.5785483434385991,0.11877196569233484,0.02168469493630716,8.53382527933931,0.11877196569233489,0.02168469493630717,-0.5612219557051802,0.05750319963696069,0.01049859985662875,-0.5612219557051802,0.05750319963696069,0.01049859985662875,-80.47664623468681,11.34737589843143,2.071737916020448,-1381.1672329904482,141.51537430656032,25.837054247163362,0.002194995068497513,0.0015906308611273845,0.0002904081344344452,0.059157877164308884,0.0460866921393812,0.00841424029517837,0.8204638924640396,0.13248721201610678,0.02418874486739706,0.9500000000033579,4.096777011595275e-12,7.479657274397786e-13,0.004468244469397888,0.0063839197186452,0.1449285404371542,0.1708343810420612,0.6129478364278576,0.950000000000123,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.12,r_0p1200,30,30,30,-0.03871917890786467,0.005113909097686102,0.0009336677899445228,-0.011570966868771923,0.00237543931384669,0.000433693898726142,0.17067650558678601,0.0023754393138466882,0.00043369389872614165,-0.6093460039649252,0.12136050578633932,0.022157295536471427,-0.6093460039649253,0.12136050578633939,0.02215729553647144,7.739964200654927,0.12136050578633957,0.022157295536471472,-0.5869088886224301,0.0648338591684902,0.011836989052231739,-0.5869088886224301,0.0648338591684902,0.011836989052231739,-95.28789929225508,12.585330289405498,2.2977564310534704,-1444.3827748998,159.55612741365434,29.1308300575423,0.0020790041532196993,0.0018989376248970684,0.00034669699081713604,0.055117711508315965,0.04946952356644006,0.00903185798879088,0.7471798561467957,0.11268666963688423,0.020573676963417994,0.9500000000028035,3.4014303209657163e-12,6.210133715249867e-13,0.006042985216467843,0.0070983657713675,0.14931407656944526,0.2016471636484365,0.6399064869141883,0.9500000000001912,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.13,r_0p1300,30,30,30,-0.044887710910134215,0.005713413286234595,0.0010431217790734693,-0.017739498871041478,0.002669752276301387,0.00048742784822701155,0.2445181567933339,0.002669752276301394,0.00048742784822701285,-0.6433811250699544,0.2245458521969458,0.04099627614749606,-0.6433811250699544,0.22454585219694587,0.04099627614749607,7.0610209955122345,0.22454585219694567,0.040996276147496034,-0.6269564399858165,0.056758619905080354,0.010362658818291414,-0.6269564399858165,0.056758619905080354,0.010362658818291414,-110.46865654984042,14.060710097423364,2.5671226982998125,-1542.9397988050946,139.68296358640274,25.502503351815164,0.0030874682930679075,0.0025821637205263375,0.00047143643896791355,0.06018106512882124,0.04564654999547959,0.008333881701603837,0.7994640037929694,0.11638912549995628,0.0212496498282086,0.9500000000034066,3.6117425666110323e-12,6.594109585448224e-13,0.007339326638938574,0.0098953255956957,0.13638617972523912,0.1498069993673784,0.6148900421508581,0.9500000000001347,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.14,r_0p1400,30,30,30,-0.051586801409263756,0.0076064258493082305,0.0013887370065521697,-0.02443858937017102,0.005145913856558062,0.0009395110327384181,0.3118969254970308,0.0051459138565580565,0.0009395110327384171,-0.6771757803416921,0.1582137463383015,0.028885745925629366,-0.6771757803416922,0.15821374633830154,0.028885745925629376,6.474959029817918,0.15821374633830157,0.028885745925629383,-0.6437359690027249,0.07359751435852584,0.013437006263491652,-0.6437359690027249,0.07359751435852584,0.013437006263491652,-126.95511826819825,18.719414015147574,3.4176817731248934,-1584.2342197157054,181.12348283633204,33.06847241445295,0.002711541848126681,0.002883049897406083,0.0005263704877407555,0.06955120466962555,0.05733750708685232,0.01046834867419378,0.7803480035431508,0.13893279547903803,0.02536554202037363,0.9500000000048255,3.2100772377651797e-12,5.860772381526212e-13,0.007321361365111421,0.0134090965356726,0.18107152335219373,0.2558208877199077,0.5714145417105416,0.9500000000005685,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.15,r_0p1500,30,30,30,-0.058431226516968054,0.007144876253175203,0.0013044699648156837,-0.031283014477875314,0.004174374042324353,0.0007621329421483577,0.37401733738969223,0.004174374042324357,0.0007621329421483585,-0.6764078713764264,0.2237058087715495,0.04084290590303824,-0.6764078713764264,0.2237058087715497,0.040842905903038275,5.9974488099792325,0.2237058087715491,0.040842905903038164,-0.6503731952506588,0.0642521360488573,0.011730781427283331,-0.6503731952506588,0.0642521360488573,0.011730781427283331,-143.79924845825852,17.583540459064167,3.2103005834113962,-1600.5684335118713,158.1245068162378,28.869453092544283,0.0033932291647011128,0.0027461409966670985,0.000501374456654763,0.08726909465789576,0.05367139230798235,0.009799010753263731,0.8227238896904421,0.14308399482906384,0.026123443861943603,0.9500000000034824,2.715736314299609e-12,4.958233465259451e-13,0.00908937343440132,0.0091953393380727,0.17554538536078698,0.1978889106765023,0.6278059434851543,0.9500000000005787,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.16,r_0p1600,30,30,30,-0.06511495883679229,0.006627965535831985,0.0012100954114473313,-0.03796674679769953,0.004273832378334616,0.0007802914668699409,0.4318459016966154,0.004273832378334613,0.0007802914668699403,-0.699876777714044,0.20049744480431658,0.03660565774715705,-0.6998767777140439,0.20049744480431653,0.036605657747157044,5.5557374373784985,0.20049744480431644,0.03660565774715703,-0.6738740825192262,0.06540760923286028,0.011941741003106916,-0.6738740825192262,0.06540760923286028,0.011941741003106916,-160.24791369734592,16.3114231836825,2.9780448075718793,-1658.4041170798155,160.96812632206914,29.38862460864612,0.00440563090073522,0.0030219362531586627,0.0005517275510658807,0.06912933600231223,0.04162917983324094,0.00760041361503507,0.7772729320889928,0.12453346605471238,0.022736596174156617,0.950000000002085,2.758884873380027e-12,5.037011595700083e-13,0.00766039253626379,0.0150400259096313,0.1375370811377452,0.1505539971032084,0.5640307186087785,0.9500000000002362,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.17,r_0p1700,30,30,30,-0.07242876207124894,0.008400018729020495,0.0015336265804501334,-0.04528055003215621,0.0057975468488737966,0.0010584823957737243,0.4851320861372622,0.005797546848873797,0.0010584823957737243,-0.7341698296704776,0.2591270558810671,0.047309911255320726,-0.7341698296704776,0.2591270558810673,0.04730991125532076,5.152588961770058,0.2591270558810667,0.04730991125532065,-0.6654208461760975,0.07209517776110344,0.01316271838236705,-0.6654208461760975,0.07209517776110344,0.01316271838236705,-178.24718345734377,20.67244609211944,3.7742550144877787,-1637.6007024393762,177.42623247007558,32.393449939005315,0.003962562492426383,0.002700569155530221,0.0004930542148621931,0.06595224668438852,0.04789868401167961,0.008745063236002989,0.751211190345078,0.12027945323861251,0.021959923247725294,0.9500000000029242,2.4644631739740905e-12,4.49947357508796e-13,0.0089754587023036,0.0097158250130331,0.1435326923074797,0.1830562965354534,0.5558077201443865,0.950000000000206,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.18,r_0p1800,30,30,30,-0.07979835543020182,0.008812686535030943,0.0016089690691528295,-0.05265014339110911,0.006431738852168977,0.0011742694844384446,0.5348976809320166,0.006431738852168971,0.0011742694844384435,-0.7610797422132155,0.26875825374919154,0.049068319364709866,-0.7610797422132154,0.2687582537491914,0.04906831936470983,4.797942248261227,0.26875825374919154,0.049068319364709866,-0.6526153206657319,0.06490593133060263,0.011850147568550786,-0.6526153206657319,0.06490593133060263,0.011850147568550786,-196.38375271372678,21.688021562711164,3.959672879185116,-1606.0863041583664,159.73349700461307,29.163213166203487,0.004909713522977736,0.004313446020376361,0.0007875238953136737,0.07139505482190943,0.050017708807484955,0.009131942462861444,0.7585366439729813,0.12194482923518614,0.022263977914408966,0.9500000000028433,2.409873653355705e-12,4.3998072022676833e-13,0.01208558835231153,0.0175324984257394,0.1621064201038006,0.1930840907386294,0.603367046822182,0.9500000000006104,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.19,r_0p1900,30,30,30,-0.08765035691551323,0.009764715753576104,0.0017827850286198964,-0.060502144876420506,0.007529259698242301,0.0013746484593472827,0.5810909311024869,0.007529259698242302,0.0013746484593472829,-0.6734318603743674,0.25574941999722983,0.04669324213378186,-0.6734318603743674,0.2557494199972297,0.04669324213378184,4.592453318785585,0.25574941999722994,0.046693242133781884,-0.6339794334617118,0.06102853158367277,0.011142234466598018,-0.6339794334617118,0.06102853158367277,0.011142234466598018,-215.70752836907823,24.030965469550814,4.387433955433569,-1560.2233857492731,150.19121622741866,27.42103902229772,0.003680027277526315,0.00281432039307444,0.0005138222544445589,0.06567623717801083,0.04483136606446333,0.008185050159092723,0.7957573384640251,0.11913162494613111,0.02175035943174706,0.950000000002878,2.8102656906018835e-12,5.130819704418285e-13,0.007903562038467038,0.0118336876105182,0.1319677611003409,0.2105550973262819,0.6507489725329271,0.950000000000213,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.2,r_0p2000,30,30,30,-0.09326699263768919,0.010488295247041611,0.001914891965526303,-0.06611878059859645,0.008146680586624542,0.0014873735753612271,0.6267467473077282,0.00814668058662453,0.0014873735753612248,-0.5904785147541948,0.27691644093812434,0.05055779374861925,-0.5904785147541947,0.27691644093812445,0.05055779374861927,4.411661023038911,0.27691644093812473,0.050557793748619316,-0.629443778120312,0.046586023811552926,0.008505405368686778,-0.629443778120312,0.046586023811552926,0.008505405368686778,-229.53006888135323,25.811694602969425,4.712549127160235,-1549.0611379540887,114.64820460023178,20.931802612338167,0.004965923429717595,0.004183386175694217,0.0007637783250609975,0.07025888538212709,0.05492613428413714,0.01002809424799326,0.8432893365096665,0.11036263281428792,0.020149367832681783,0.950000000002689,2.795264232727308e-12,5.10343091484039e-13,0.013347348504608355,0.0185860374316348,0.16942227577510602,0.2146668219759681,0.6571735402213318,0.9500000000000932,30,30,complete,inspect
rule_004,random_label,random,4,0.985558573825462,0.21,r_0p2100,30,30,30,-0.09945992721059715,0.009853933450925648,0.0017990738770755678,-0.0723117151715044,0.007409362530096418,0.0013527583314891195,0.6693241515632651,0.007409362530096418,0.0013527583314891195,-0.6419174767052561,0.33386526829953905,0.060955179538390664,-0.6419174767052561,0.33386526829953894,0.06095517953839064,4.121655101893668,0.3338652682995385,0.06095517953839056,-0.5884673844040474,0.05356029612511235,0.009778727458126859,-0.5884673844040474,0.05356029612511235,0.009778727458126859,-244.7708808652797,24.250530222728024,4.427520811482973,-1448.2182330183607,131.8118887639015,24.065448274450198,0.006301475712092741,0.0044193920146933735,0.0008068668989685878,0.0733605691628003,0.07740586975242914,0.014132313648904089,0.8109864405620255,0.1220005470998691,0.022274150558189928,0.9500000000026554,1.9762398472894745e-12,3.6081038113366997e-13,0.013259171726046723,0.0141167092840128,0.2243068142295288,0.3220271796870938,0.6416223383788566,0.9500000000002772,30,30,complete,inspect
