beta,radius,claim,finite_derivative_ref_count,finite_derivative_ref_min,coverage_pass,split_derivative_pass,max_split_dlogZ_dr_per_P_diff,max_split_dlogZ_dr_per_P_diff_allowed,bootstrap_pass,bootstrap_sd_dphi_full_dr,bootstrap_sd_dphi_full_dr_max,ce_replay_pass,ce_replay_max_abs_diff,ce_replay_max_abs_diff_allowed,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_energy_dr,dphi_entropic_dr,dphi_full_dr
0.1,1.9,pass,100,100,True,True,0.0007963657377877409,0.004,True,2.0580401627583756e-05,0.012,True,0.0,0.001,-3.973787651469231,0.5285973571713343,-0.0015614096862354542,0.5261089856271327,0.5245475759408973
0.1,2.0,pass,100,100,True,True,0.0008475672665371953,0.004,True,1.8508927787631193e-05,0.012,True,0.0,0.001,-3.9699604972322273,0.477856051813371,-0.0015599058928220933,0.499803536345776,0.49824363045295395
0.1,2.1,pass,100,100,True,True,0.0009324078990347602,0.004,True,1.7064362641852827e-05,0.012,True,0.0,0.001,-3.9328196049165562,0.452901076168913,-0.0015453122219711418,0.4760033679483581,0.474458055726387
0.1,2.2,pass,100,100,True,True,0.0008994592210991851,0.004,True,1.4775902075477677e-05,0.012,True,0.0,0.001,-3.9220509059638946,0.3861816083078344,-0.0015410809060761865,0.45436685122343273,0.45282577031735655
0.1,2.3,pass,100,100,True,True,0.0008655126715699502,0.004,True,1.724133184092371e-05,0.012,True,0.0,0.001,-3.94647656149045,0.4307874974668548,-0.0015506784131593123,0.4346117707354574,0.4330610923222981
0.1,2.4,pass,100,100,True,True,0.0011098312443406286,0.004,True,1.3949707427241193e-05,0.012,True,0.0,0.001,-3.9661568853626368,0.36738535926659466,-0.0015584113498477944,0.4165029469548134,0.4149445356049656
0.1,2.5,pass,100,100,True,True,0.0008833879383877052,0.004,True,1.3775795201832072e-05,0.012,True,0.0,0.001,-4.017435871790292,0.34967668567624427,-0.0015785602639647514,0.39984282907662083,0.3982642688126561
0.1,2.6,pass,100,100,True,True,0.0010957615121531621,0.004,True,1.3131993896754508e-05,0.012,True,0.0,0.001,-4.00749420961124,0.3500083663150524,-0.0015746539134032377,0.38446425872752005,0.3828896048141168
0.1,2.7,pass,100,100,True,True,0.0008951629745522824,0.004,True,1.3269319974512397e-05,0.012,True,0.0,0.001,-4.099222130569563,0.333612882912805,-0.0016106963184949169,0.3702248417376119,0.36861414541911697
0.1,2.8,pass,100,100,True,True,0.0006701565802533614,0.004,True,1.3084430134117816e-05,0.012,True,0.0,0.001,-4.139113792742851,0.35974056836888635,-0.0016263708419421812,0.3570025259612686,0.3553761551193264
0.1,2.9,pass,100,100,True,True,0.0006412350378228486,0.004,True,1.2286420680364142e-05,0.012,True,0.0,0.001,-4.186398430973072,0.3110900905603409,-0.0016449502675729164,0.3446920940315697,0.34304714376399675
0.1,3.0,pass,100,100,True,True,0.0011035955118007005,0.004,True,1.3696412583202712e-05,0.012,True,0.0,0.001,-4.245794886297307,0.3570827298571066,-0.001668288756894816,0.3332023575638507,0.33153406880695585
0.14,0.1,pass,100,100,True,True,0.00015845606475849134,0.004,True,0.00010044616414353188,0.012,True,0.0,0.001,-8.888548715044234,2.5658609527269687,-0.003492553522610701,9.996070726915521,9.99257817339291
0.14,0.2,pass,100,100,True,True,0.0002167299302948332,0.004,True,0.00010200412531927932,0.012,True,0.0,0.001,-9.348575448913058,2.6134091496003014,-0.0036733105889638737,4.998035363457761,4.994362052868797
0.14,0.3,pass,100,100,True,True,0.00021153393774933095,0.004,True,8.519233846447507e-05,0.012,True,0.0,0.001,-8.524297405051152,2.269692910843787,-0.0033494292357764844,3.332023575638507,3.3286741464027307
0.14,0.4,pass,100,100,True,True,0.00020662139489613818,0.004,True,7.756408783521198e-05,0.012,True,0.0,0.001,-7.714282828238721,1.9286505079008949,-0.0030311523883059808,2.4990176817288803,2.4959865293405743
0.14,0.5,pass,100,100,True,True,0.00022329392612321913,0.004,True,6.365124692690945e-05,0.012,True,0.0,0.001,-7.03013110303348,1.6395757340197321,-0.002762330492351073,1.999214145383104,1.996451814890753
0.14,0.6,pass,100,100,True,True,0.0002984016247912768,0.004,True,5.590105008702006e-05,0.012,True,0.0,0.001,-6.3924867747476615,1.389389834874576,-0.002511782622690633,1.6660117878192535,1.663500005196563
0.14,0.7,pass,100,100,True,True,0.0003507958660176791,0.004,True,4.5510806340203276e-05,0.012,True,0.0,0.001,-5.880204058069064,1.1850700071405025,-0.002310492753661715,1.4280101038450743,1.4256996110914126
0.14,0.8,pass,100,100,True,True,0.0002141812098157234,0.004,True,4.260141882942132e-05,0.012,True,0.0,0.001,-5.4311290384665405,1.0645904803803554,-0.0021340389149180905,1.2495088408644401,1.247374801949522
0.14,0.9,pass,100,100,True,True,0.0004935177930006715,0.004,True,3.314895564167824e-05,0.012,True,0.0,0.001,-5.0289102734677025,0.8896884459360116,-0.001975996178179844,1.1106745252128356,1.1086985290346558
0.14,1.0,pass,100,100,True,True,0.00027560837036764415,0.004,True,3.131650109071453e-05,0.012,True,0.0,0.001,-4.720963280277397,0.7608282401008752,-0.0018549953950009418,0.999607072691552,0.9977520772965511
0.14,1.1,pass,100,100,True,True,0.0003117480919333818,0.004,True,2.915924018103736e-05,0.012,True,0.0,0.001,-4.514575091409419,0.7204968071411603,-0.001773899839453603,0.9087337024468655,0.9069598026074118
0.14,1.2,pass,100,100,True,True,0.0005223264897283561,0.004,True,2.4628314392110675e-05,0.012,True,0.0,0.001,-4.298934693956637,0.639600422809704,-0.0016891688384898377,0.8330058939096268,0.831316725071137
0.14,1.3,pass,100,100,True,True,0.000433275378506037,0.004,True,2.0078172976659028e-05,0.012,True,0.0,0.001,-4.123205991133287,0.5231736627144579,-0.0016201202322724114,0.7689285174550401,0.7673083972227677
0.14,1.4,pass,100,100,True,True,0.0007352196667015134,0.004,True,1.8432363593249278e-05,0.012,True,0.0,0.001,-3.968714754319724,0.476518953384953,-0.0015594164064124652,0.7140050519225372,0.7124456355161247
0.14,1.5,pass,100,100,True,True,0.0006486337436546594,0.004,True,1.6407042416719274e-05,0.012,True,0.0,0.001,-3.87790724798789,0.42243918153310445,-0.0015237356573626288,0.6664047151277014,0.6648809794703388
0.14,1.6,pass,100,100,True,True,0.000423985081265408,0.004,True,1.6751268085923845e-05,0.012,True,0.0,0.001,-3.816846265876298,0.41887109410779555,-0.0014997431300103332,0.6247544204322201,0.6232546773022097
0.14,1.7,pass,100,100,True,True,0.0008506534778502988,0.004,True,1.2717823027794509e-05,0.012,True,0.0,0.001,-3.755109233913185,0.32747149164749295,-0.0014754849642095028,0.5880041604067954,0.5865286754425859
0.14,1.8,pass,100,100,True,True,0.00047243228403139916,0.004,True,1.2754626970043188e-05,0.012,True,0.0,0.001,-3.775781085659982,0.321362970924945,-0.0014836074992770067,0.5553372626064178,0.5538536551071408
