q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.5,0.1,1.4,4.0,4.0,0.7878607536897734,0,
0.9,0.1,1.4,4.0,4.0,0.9263583376809699,0,
0.99,0.1,1.4,4.0,4.0,0.9910305867081362,0,
0.5,0.1,1.5,4.0,4.0,0.7607421875,0,
0.9,0.1,1.5,4.0,4.0,0.9017526336241389,0,
0.99,0.1,1.5,6.0,6.0,1.0,0,
0.5,0.1,1.6,4.0,4.0,0.7002876964050246,0,
0.9,0.1,1.6,4.0,4.0,0.9799660602177552,0,
0.99,0.1,1.6,6.0,6.0,1.0,0,
0.5,0.1,1.7,4.0,4.0,0.6923828125,0,
0.9,0.1,1.7,4.0,4.0,0.975660150225172,0,
0.99,0.1,1.7,6.0,6.0,1.0,0,
0.5,0.1,1.8,4.0,4.0,0.6425781250000001,0,
0.9,0.1,1.8,4.0,4.0,0.9708207995499191,0,
0.99,0.1,1.8,6.0,6.0,1.0,0,
0.5,0.1,1.9,4.0,4.0,0.6191406249999999,0,
0.9,0.1,1.9,4.0,4.0,0.9555251455680507,0,
0.99,0.1,1.9,6.0,6.0,1.0,0,
0.5,0.1,2.0,4.0,4.0,0.5439453125000001,0,
0.9,0.1,2.0,4.0,4.0,0.9383667023576795,0,
0.99,0.1,2.0,6.0,6.0,1.0,0,
0.5,0.1,2.1,4.0,4.0,0.5507812500000002,0,
0.9,0.1,2.1,4.0,4.0,0.9462890625000002,0,
0.99,0.1,2.1,6.0,6.0,1.0,0,
0.5,0.1,2.2,4.0,4.0,0.7314453124999998,0,
0.9,0.1,2.2,4.0,4.0,0.9365234375000003,0,
0.99,0.1,2.2,6.0,6.0,1.0,0,
0.5,0.1,2.3,4.0,4.0,0.5468142663049897,0,
0.9,0.1,2.3,4.0,4.0,0.9101562499999998,0,
0.99,0.1,2.3,6.0,6.0,1.0,0,
0.5,0.1,2.4,4.0,4.0,0.7265624999999998,0,
0.9,0.1,2.4,4.0,4.0,0.9033203124999998,0,
0.99,0.1,2.4,6.0,6.0,1.0,0,
0.5,0.1,2.5,4.0,4.0,0.712890625,0,
0.9,0.1,2.5,4.0,4.0,0.9052734374999999,0,
0.99,0.1,2.5,6.0,6.0,1.0,0,
0.5,0.1,2.6,4.0,4.0,0.7089843749999999,0,
