run,beta,radius,dataset_count,dphi_full_dr,dphi_full_dr_sem,dphi_energy_dr,dphi_energy_dr_sem,dphi_entropic_dr
30 dataset,0.05,1.45,30,0.686885828306552,3.367646192363009e-05,-0.002498359756587427,3.367646192363009e-05,0.6893841880631394
30 dataset,0.05,1.46,30,0.6821869174470339,3.4711873809105836e-05,-0.002475461108823766,3.4711873809105836e-05,0.6846623785558577
30 dataset,0.05,1.47,30,0.6775393787766627,3.0928249643329635e-05,-0.0024654325781345325,3.0928249643329635e-05,0.6800048113547973
30 dataset,0.05,1.48,30,0.6729667132431854,3.222640473799376e-05,-0.002443471007863373,3.222640473799376e-05,0.6754101842510487
30 dataset,0.05,1.49,30,0.668437067895207,3.155819401193632e-05,-0.0024401620991232414,3.155819401193632e-05,0.6708772299943302
30 dataset,0.05,1.5,30,0.6639755611948297,3.0420143308493656e-05,-0.0024291539328716674,3.0420143308493656e-05,0.6664047151277014
30 dataset,0.05,1.51,30,0.6595791016729246,2.9508784988007362e-05,-0.002412337195652999,2.9508784988007362e-05,0.6619914388685776
30 dataset,0.05,1.52,30,0.6552379828623187,2.882164869074193e-05,-0.002398249171597097,2.882164869074193e-05,0.6576362320339159
30 dataset,0.05,1.53,30,0.6509527441764646,2.8164484437868113e-05,-0.002385211831085747,2.8164484437868113e-05,0.6533379560075504
30 dataset,0.05,1.54,30,0.6467177144629928,3.266196411141349e-05,-0.0023777872847683453,3.266196411141349e-05,0.6490955017477611
30 dataset,0.05,1.55,30,0.6425561171167893,2.972379322454678e-05,-0.0023516717164700856,2.972379322454678e-05,0.6449077888332594
30 dataset,0.05,1.56,30,0.6384160523859961,3.1994680599498864e-05,-0.0023577121598706064,3.1994680599498864e-05,0.6407737645458667
30 dataset,0.05,1.57,30,0.6343579653077844,3.017164013719526e-05,-0.0023344376804653,3.017164013719526e-05,0.6366924029882497
30 dataset,0.05,1.58,30,0.6303337864843206,2.8911634032759442e-05,-0.0023289177508389195,2.8911634032759442e-05,0.6326627042351595
30 dataset,0.05,1.59,30,0.6263618702463579,2.7135129383076894e-05,-0.0023218232703414877,2.7135129383076894e-05,0.6286836935166994
30 dataset,0.05,1.6,30,0.622453414500001,3.0748060963407124e-05,-0.00230100593221904,3.0748060963407124e-05,0.6247544204322201
30 dataset,0.05,1.61,30,0.6185788089557379,2.9225146154305037e-05,-0.0022951492377727054,2.9225146154305037e-05,0.6208739581935107
30 dataset,0.05,1.62,30,0.6147746335283261,3.022803773107415e-05,-0.0022667693676936534,3.022803773107415e-05,0.6170414028960197
30 dataset,0.05,1.63,30,0.6109879669675325,3.03794830359093e-05,-0.0022679058493706725,3.03794830359093e-05,0.6132558728169032
30 dataset,0.05,1.64,30,0.6072642473700293,2.832559383643634e-05,-0.002252260368721998,2.832559383643634e-05,0.6095165077387512
30 dataset,0.05,1.65,30,0.6035775564414675,3.00200671206856e-05,-0.002244911856442779,3.00200671206856e-05,0.6058224682979103
30 dataset,0.05,1.66,30,0.5999498294658095,2.8425878156134052e-05,-0.002223105890547143,2.8425878156134052e-05,0.6021729353563567
30 dataset,0.05,1.67,30,0.5963423938345292,2.8400405239140014e-05,-0.002224715561609756,2.8400405239140014e-05,0.598567109396139
30 dataset,0.05,1.68,30,0.5927845294709785,2.7433188900513043e-05,-0.002219680464469283,2.7433188900513043e-05,0.5950042099354478
30 dataset,0.05,1.69,30,0.5892724954296115,2.5941547988457015e-05,-0.0022109795358039148,2.5941547988457015e-05,0.5914834749654154
30 dataset,0.05,1.7,30,0.5858143684710321,2.5682338643499004e-05,-0.0021897919357632876,2.5682338643499004e-05,0.5880041604067954
30 dataset,0.05,1.71,30,0.5823875916235559,2.57511835596106e-05,-0.0021779479621471514,2.57511835596106e-05,0.584565539585703
30 dataset,0.05,1.72,30,0.5790099826894293,2.6121180904784147e-05,-0.002156920038217374,2.6121180904784147e-05,0.5811669027276466
30 dataset,0.05,1.73,30,0.5756426835840609,2.6996471091504436e-05,-0.002164872885044286,2.6996471091504436e-05,0.5778075564691052
30 dataset,0.05,1.74,30,0.5723271770771208,2.5949006123657267e-05,-0.0021596463088286804,2.5949006123657267e-05,0.5744868233859495
